Compound,CAS,smiles,Solvents normalized,Solvent count,Solvent system/raw phrase,Method notes,Extraction confidence,Review flags,Source context,record_id,compound_name_clean,smiles_status,smiles_canonical,inchi_key,largest_fragment_smiles,largest_fragment_inchikey,fragment_count,rdkit_mw,rdkit_clogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_aromatic_rings,rdkit_ring_count,rdkit_fraction_csp3,formal_charge,morgan2_2048_num_onbits,morgan2_2048_onbits,fg_carboxylic_acid,fg_sulfonic_acid,fg_phosphonic_acid,fg_acid_any,fg_phenol,fg_alcohol,fg_amide,fg_urea,fg_imide,fg_ester,fg_anhydride,fg_acyl_halide,fg_aldehyde,fg_ketone,fg_amine_nonamide,fg_basic_aromatic_n,fg_nitro,fg_aromatic_halide,fg_acetal_like,fg_boc_carbamate_like,fg_quinone_like,entry_salt_or_ionic_flag,salt_terms_detected,derivative_terms_detected,primary_recryst_class,secondary_recryst_classes,nearest_neighbor_ready,solvent_list_clean,solvent_count_calc,solvent_families,has_water,has_alcohol,has_hydrocarbon,has_aromatic_hydrocarbon,has_ether,has_ketone_or_ester_solvent,has_halogenated_solvent,has_acidic_solvent,has_polar_aprotic_or_strong_solvent,has_legacy_solvent,legacy_solvents,modernized_solvent_suggestions,solvent_safety_classes,system_type_estimated,likely_pair_families,has_colon_ratio,colon_ratios_detected,has_percent_composition,percent_values_detected,has_aqueous_word,has_hot_or_reflux_word,has_charcoal_or_carbon,has_wash_word,has_additive_or_few_drops_word,has_acid_additive_hint,has_base_additive_hint,compatibility_warning_candidates,class_default_single_panel,class_default_pair_panel,recommendation_use_weight
N-Methylphthalimide,550-44-7,CN1C(=O)c2ccccc2C1=O,ethanol; acetic acid,2,absolute EtOH or AcOH (m 134o).,,High,,Recrystallise the imide from absolute EtOH or AcOH (m 134o).,RC01436,N-Methylphthalimide,valid,CN1C(=O)c2ccccc2C1=O,ZXLYYQUMYFHCLQ-UHFFFAOYSA-N,CN1C(=O)c2ccccc2C1=O,ZXLYYQUMYFHCLQ-UHFFFAOYSA-N,1,161.160,0.912,37.38,0,2,0,1,2,0.111,0,17,314 352 650 879 935 984 987 1057 1088 1114 1145 1199 1380 1535 1750 1873 1920,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide,Y,ethanol; acetic acid,2,acidic/protic; alcohol,N,Y,N,N,N,N,N,Y,N,N,,ethanol; acetic acid,acetic acid:yellow_acidic,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
"has m 20-21o, b 185o/36mm, and the methyl ester",7356-11-8,CC1=C(C=C(C=C1)C(=O)OC)[N+](=O)[O-],methanol,1,MeOH with m 51o.,,High,review name,"crystallises as pale yellow needles from MeOH with m 51o. [Beilstein 9 H 502, 9 II 334, 9 III 2359, 9 IV 1746.] N-Methyl-4-nitrosoaniline",RC01437,"has m 20-21o, b 185o/36mm, and the methyl ester",valid,COC(=O)c1ccc(C)c([N+](=O)[O-])c1,YFPBHPCMYFCRKS-UHFFFAOYSA-N,COC(=O)c1ccc(C)c([N+](=O)[O-])c1,YFPBHPCMYFCRKS-UHFFFAOYSA-N,1,195.174,1.690,69.44,0,4,2,1,1,0.222,0,30,145 158 311 354 469 650 695 715 716 753 807 838 841 875 906 1057 1152 1195 1331 1380 1385 1391 1691 1697 1715 1722 1750 1873 1917 1963,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,,,ester_lactone_carbonyl,ester; nitro,Y,methanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,methanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
2-Naphthaldehyde,66-99-9,C1=CC=C2C=C(C=CC2=C1)C=O,ethanol; water,2,water or EtOH.,,High,,"Distil 2-naphthaldehyde with steam, then crystallise it from water or EtOH. [Beilstein 7 IV 1288.] 25 �C 394 Naphthalene",RC01438,2-Naphthaldehyde,valid,O=Cc1ccc2ccccc2c1,PJKVFARRVXDXAD-UHFFFAOYSA-N,O=Cc1ccc2ccccc2c1,PJKVFARRVXDXAD-UHFFFAOYSA-N,1,156.184,2.652,17.07,0,1,1,2,2,0.000,0,20,25 203 322 598 650 694 875 963 1004 1046 1063 1087 1088 1199 1380 1750 1849 1855 1873 2033,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,multi_aromatic,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,N,N,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
"Methyl Violet 2B [4,4'-bis-(diethylamino)-4""-methyliminotriphenylmethyl hydrochloride)",8004-87-3,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],ethanol; diethyl ether,2,EtOH by precipitation with Et2O during cooling in an ice-bath.,cooling,High,,Crystallise the dye from EtOH by precipitation with Et2O during cooling in an ice-bath.,RC01439,"Methyl Violet 2B [4,4'-bis-(diethylamino)-4""-methyliminotriphenylmethyl hydrochloride)",valid,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],ZXJXZNDDNMQXFV-UHFFFAOYSA-M,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,LGLFFNDHMLKUMI-UHFFFAOYSA-N,2,407.989,1.464,9.49,0,2,4,2,3,0.240,0,28,9 77 216 547 602 737 807 881 903 960 1057 1096 1163 1167 1379 1380 1381 1385 1391 1444 1697 1700 1750 1811 1866 1873 1963 2040,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,chloride; hydrochloride,hydrochloride,salt_or_ionic,basic; multi_aromatic,Y,ethanol; diethyl ether,2,alcohol; ether,N,Y,N,N,Y,N,N,N,N,N,,ethanol; diethyl ether,,multiple_alternative_solvents_or_unparsed_mixture,alcohol/ether,N,,N,,N,N,N,N,N,N,N,,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"Michler's ketone [4,4'-bis(dimethylamino)benzophenone]",90-94-8,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,ethanol; petroleum ether; benzene,3,EtOH or petroleum ether.; *benzene and EtOH,aqueous,High,benzene legacy,"Then crystallise it from EtOH or petroleum ether. [Suppan JCS Faraday Trans 1 71 539 1975, DOI: 10.1039/F19757100539.] It is also purified by dissolving in *benzene, then washing with water until the aqueous phase is colourless. | The *benzene is evaporated off, and the residue is recrystallised three times from *benzene and EtOH [Hoshino & Kogure J Phys Chem 92 417 1988, DOI: 10.1021/j100313a035]. [Beilstein 14 IV 255.] Naphthacene (benz[b]anthracene, 2,3-benzanthracene, rubene)",RC01440,"Michler's ketone [4,4'-bis(dimethylamino)benzophenone]",valid,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,VVBLNCFGVYUYGU-UHFFFAOYSA-N,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,VVBLNCFGVYUYGU-UHFFFAOYSA-N,1,268.360,3.050,23.55,0,3,4,2,2,0.235,0,19,9 105 650 737 807 881 960 1057 1096 1163 1379 1380 1385 1697 1700 1750 1775 1873 1917,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,,basic_amine_heterocycle,basic; multi_aromatic,Y,ethanol; petroleum ether; benzene,3,alcohol; aliphatic hydrocarbon; aromatic hydrocarbon,N,Y,Y,Y,N,N,N,N,N,Y,petroleum ether; benzene,ethanol; heptane; cyclohexane; toluene; toluene/heptane,benzene:red_legacy,multiple_alternative_solvents_or_unparsed_mixture,aromatic/hydrocarbon,N,,N,,Y,N,N,Y,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,ethyl acetate/heptane; toluene/heptane; ethanol/water; ethanol/diethyl ether if salt; methanol/diethyl ether if salt,1.0
"Naphthacene (benz[b]anthracene, 2,3-benzanthracene, rubene)",92-24-0,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,ethanol; benzene; toluene,3,"EtOH, *C6H6 or toluene.",,High,benzene legacy,"Naphthacene crystallises in orange needles from EtOH, *C6H6 or toluene.",RC01441,"Naphthacene (benz[b]anthracene, 2,3-benzanthracene, rubene)",valid,c1ccc2cc3cc4ccccc4cc3cc2c1,IFLREYGFSNHWGE-UHFFFAOYSA-N,c1ccc2cc3cc4ccccc4cc3cc2c1,IFLREYGFSNHWGE-UHFFFAOYSA-N,1,228.294,5.146,0.00,0,0,0,4,4,0.000,0,11,322 875 1087 1088 1199 1344 1380 1750 1855 1873 1933,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,lipophilic_aromatic_neutral,high_logp; multi_aromatic,Y,ethanol; benzene; toluene,3,alcohol; aromatic hydrocarbon,N,Y,Y,Y,N,N,N,N,N,Y,benzene,ethanol; toluene; toluene/heptane,benzene:red_legacy,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,toluene; toluene/heptane; ethyl acetate/heptane; acetone/heptane; heptane; cyclohexane; xylene if high-melting; anisole fallback,toluene/heptane; toluene/cyclohexane; ethyl acetate/heptane; acetone/heptane,1.0
"1,8-Naphthalic acid (naphthalene-1,8-dicarboxylic acid)",518-05-8,C1=CC2=C(C(=C1)C(=O)O)C(=CC=C2)C(=O)O,ethanol; water,2,EtOH or aqueous EtOH.,aqueous,High,,"Crystallise the acid from EtOH or aqueous EtOH. [Raecke & Schrip Org Synth 40 71 1960, DOI: 10.15227/orgsyn.040.0071; Beilstein 9 II 651, 9 III 4466.] 1,8-Naphthalic anhydride",RC01442,"1,8-Naphthalic acid (naphthalene-1,8-dicarboxylic acid)",valid,O=C(O)c1cccc2cccc(C(=O)O)c12,HRRDCWDFRIJIQZ-UHFFFAOYSA-N,O=C(O)c1cccc2cccc(C(=O)O)c12,HRRDCWDFRIJIQZ-UHFFFAOYSA-N,1,216.192,2.236,74.60,2,2,2,2,2,0.000,0,19,389 456 650 725 807 1039 1047 1060 1087 1088 1380 1447 1642 1750 1855 1873 1917 1984 1991,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; multi_aromatic,Y,ethanol; water,2,alcohol; water/aqueous,Y,Y,N,N,N,N,N,N,N,N,,ethanol; water,,aqueous_or_water_containing_system,alcohol/water,N,,N,,Y,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
"1,8-Naphthalic anhydride",81-84-5,O=C1OC(=O)c2cccc3cccc1c23,acetic anhydride,1,acetic anhydride.,aqueous,High,,"Extract it with cold aqueous Na2CO3 to remove free acid, then crystallise from acetic anhydride. [Beilstein 17 III/IV 6392, 17/11 V 492.] 2-Naphthamide (2-naphthoic acid amide)",RC01443,"1,8-Naphthalic anhydride",valid,O=C1OC(=O)c2cccc3cccc1c23,GRSMWKLPSNHDHA-UHFFFAOYSA-N,O=C1OC(=O)c2cccc3cccc1c23,GRSMWKLPSNHDHA-UHFFFAOYSA-N,1,198.177,2.150,43.37,0,3,0,2,3,0.000,0,19,314 352 536 650 656 725 960 984 1007 1039 1087 1088 1380 1750 1810 1855 1873 1975 1984,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,,ester_lactone_carbonyl,ester; hydrolysis_sensitive; multi_aromatic,Y,acetic anhydride,1,acidic/reactive,N,N,N,N,N,N,N,Y,N,N,,acetic anhydride,acetic anhydride:orange_reactive,single_or_single_reported,,N,,N,,Y,N,N,N,N,N,N,,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
1-Naphthoic acid,86-55-5,O=C(O)c1cccc2ccccc12,ethanol; water; petroleum ether; toluene,4,"toluene (3ml/g) (charcoal), petroleum ether (b 80-100o), or aqueous 50% EtOH.",aqueous; charcoal,High,,"Crystallise the acid from toluene (3ml/g) (charcoal), petroleum ether (b 80-100o), or aqueous 50% EtOH.",RC01444,1-Naphthoic acid,valid,O=C(O)c1cccc2ccccc12,LNETULKMXZVUST-UHFFFAOYSA-N,O=C(O)c1cccc2ccccc12,LNETULKMXZVUST-UHFFFAOYSA-N,1,172.183,2.538,37.30,1,1,1,2,2,0.000,0,21,389 456 650 801 807 1039 1047 1087 1088 1104 1199 1257 1357 1380 1447 1573 1750 1855 1873 1917 1991,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; multi_aromatic,Y,ethanol; water; petroleum ether; toluene,4,alcohol; aliphatic hydrocarbon; aromatic hydrocarbon; water/aqueous,Y,Y,Y,Y,N,N,N,N,N,Y,petroleum ether,ethanol; water; heptane; cyclohexane; toluene,,aqueous_or_water_containing_system,alcohol/water; aromatic/hydrocarbon,N,,Y,50%,Y,N,Y,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
1?Naphthol,90-15-3,C1=CC=C2C(=C1)C=CC=C2O,methanol; ethanol; water; carbon tetrachloride; benzene; heptane; cyclohexane,7,"aqueous MeOH (charcoal), aqueous 25% or 50% EtOH, *C6H6, cyclohexane, heptane, CCl4 or H2O.",aqueous; charcoal; sublim,High,benzene legacy,"Sublime 1-naphthol, then crystallise it from aqueous MeOH (charcoal), aqueous 25% or 50% EtOH, *C6H6, cyclohexane, heptane, CCl4 or H2O.",RC01445,1?Naphthol,valid,Oc1cccc2ccccc12,KJCVRFUGPWSIIH-UHFFFAOYSA-N,Oc1cccc2ccccc12,KJCVRFUGPWSIIH-UHFFFAOYSA-N,1,144.173,2.545,20.23,1,1,0,2,2,0.000,0,17,415 807 1039 1087 1088 1104 1199 1357 1380 1573 1593 1602 1607 1750 1831 1855 1873,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,multi_aromatic; phenol,Y,methanol; ethanol; water; carbon tetrachloride; benzene; heptane; cyclohexane,7,alcohol; aliphatic hydrocarbon; aromatic hydrocarbon; halogenated; water/aqueous,Y,Y,Y,Y,N,N,Y,N,N,Y,carbon tetrachloride; benzene,methanol; ethanol; water; heptane; cyclohexane; toluene; toluene/heptane,carbon tetrachloride:red_legacy; benzene:red_legacy,aqueous_or_water_containing_system,alcohol/water; aromatic/hydrocarbon; chlorinated/hydrocarbon,N,,Y,25%; 50%,Y,N,Y,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
2-Naphthamide (2-naphthoic acid amide),2243-82-5,NC(=O)c1ccc2ccccc2c1,ethanol,1,EtOH (197o).,,High,,"Crystallise it from EtOH (197o). [Clemo & Spence J Chem Soc 2818 1928, DOI: 10.1039/JR9280002811; Beilstein 9 H 657, 9 II 45, 9 IV 2417.] Useful for preparing antiallergic agents [Ikawa et al.",RC01446,2-Naphthamide (2-naphthoic acid amide),valid,NC(=O)c1ccc2ccccc2c1,JVXXKQIRGQDWOJ-UHFFFAOYSA-N,NC(=O)c1ccc2ccccc2c1,JVXXKQIRGQDWOJ-UHFFFAOYSA-N,1,171.199,1.939,43.09,1,1,1,2,2,0.000,0,22,140 203 309 322 598 650 807 875 1087 1088 1171 1199 1285 1380 1385 1697 1727 1750 1855 1873 1917 1950,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,amide_urea_imide_like,amide_urea_imide; multi_aromatic,Y,ethanol,1,alcohol,N,Y,N,N,N,N,N,N,N,N,,ethanol,,single_or_single_reported,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol; water; ethanol/water 90:10; acetone; ethyl acetate; acetonitrile; ethanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; ethyl acetate/heptane; acetone/heptane,1.0
2-Naphthoic acid,93-09-4,O=C(O)c1ccc2ccccc2c1,ethanol; water; acetone,3,"95% EtOH (4ml/g), aqueous 50% EtOH or Me2CO (m 185-186o).",aqueous,High,,"Crystallise the acid from 95% EtOH (4ml/g), aqueous 50% EtOH or Me2CO (m 185-186o).",RC01447,2-Naphthoic acid,valid,O=C(O)c1ccc2ccccc2c1,UOBYKYZJUGYBDK-UHFFFAOYSA-N,O=C(O)c1ccc2ccccc2c1,UOBYKYZJUGYBDK-UHFFFAOYSA-N,1,172.183,2.538,37.30,1,1,1,2,2,0.000,0,21,203 322 389 456 598 650 807 875 1087 1088 1138 1199 1249 1380 1385 1697 1750 1855 1873 1917 1950,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; multi_aromatic,Y,ethanol; water; acetone,3,alcohol; ketone/ester; water/aqueous,Y,Y,N,N,N,Y,N,N,N,N,,ethanol; water; acetone,,aqueous_or_water_containing_system,alcohol/water; acetone/water,N,,Y,50%; 95%,Y,N,N,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
Naphthalene,91-20-3,c1ccc2ccccc2c1,methanol; ethanol; diethyl ether; acetone; carbon tetrachloride; benzene; acetic acid; cyclohexane,8,"the following solvents: EtOH, MeOH, CCl4, *C6H6, glacial acetic acid, acetone or diethyl ether; its melt.; dilute EtOH.; cyclohexane.",sublim,High,benzene legacy,"Crystallise naphthalene once or more times from the following solvents: EtOH, MeOH, CCl4, *C6H6, glacial acetic acid, acetone or diethyl ether, followed by drying at 60o in an Abderhalden drying apparatus. | It has also been purified by vacuum sublimation and by fractional crystallisation from its melt. | Baly and Tuck [J Chem Soc 1902 1908, DOI: 10.1039/ CT9089301902,] purified naphthalene for spectroscopy by heating with concentrate H2SO4 and MnO2, followed by steam distillation (repeating the process), and formation of the picrate which, after recrystallisation (m 150o) is decomposed with base and the naphthalene is steam distilled. It is then crystallised from dilute EtOH. | It is then crystallised from dilute EtOH. | Also purify it by sublimation and subsequent crystallisation from cyclohexane.",RC01448,Naphthalene,valid,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,1,128.174,2.840,0.00,0,0,0,2,2,0.000,0,8,598 1087 1088 1199 1380 1750 1855 1873,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,picrate,picrate,salt_or_ionic,multi_aromatic,Y,methanol; ethanol; diethyl ether; acetone; carbon tetrachloride; benzene; acetic acid; cyclohexane,8,acidic/protic; alcohol; aliphatic hydrocarbon; aromatic hydrocarbon; ether; halogenated; ketone/ester,N,Y,Y,Y,Y,Y,Y,Y,N,Y,carbon tetrachloride; benzene,methanol; ethanol; diethyl ether; acetone; heptane; cyclohexane; toluene; toluene/heptane; acetic acid,carbon tetrachloride:red_legacy; benzene:red_legacy; acetic acid:yellow_acidic,multiple_alternative_solvents_or_unparsed_mixture,alcohol/ether; ester_or_ketone/hydrocarbon; aromatic/hydrocarbon; chlorinated/hydrocarbon,N,,N,,N,N,N,N,N,Y,N,legacy_toxic_solvent_replace,water; ethanol; methanol; ethanol/water 90:10; methanol/water 90:10; acetone; ethanol/diethyl ether; methanol/diethyl ether,ethanol/water; methanol/water; ethanol/diethyl ether; methanol/diethyl ether; acetone/water,1.0
"Naphthazarin (5,8-dihydroxy-1,4-naphthoquinone)",475-38-7,O=C1C=CC(=O)c2c(O)ccc(O)c21,ethanol; dioxane; hexane,3,EtOH or dioxane (m 228-232o).; hexane and is further purified by sublimation at 2-10mm.,sublim,High,,It crystallises in red-brown needles with a green shine from EtOH or dioxane (m 228-232o). | It also crystallises from hexane and is further purified by sublimation at 2-10mm. [Huppert et al.,RC01449,"Naphthazarin (5,8-dihydroxy-1,4-naphthoquinone)",valid,O=C1C=CC(=O)c2c(O)ccc(O)c21,RQNVIKXOOKXAJQ-UHFFFAOYSA-N,O=C1C=CC(=O)c2c(O)ccc(O)c21,RQNVIKXOOKXAJQ-UHFFFAOYSA-N,1,190.154,1.033,74.60,2,4,0,1,2,0.000,0,16,75 137 314 547 650 747 807 1154 1380 1471 1475 1602 1607 1747 1750 1873,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,,phenol_alcohol,phenol,Y,ethanol; dioxane; hexane,3,alcohol; aliphatic hydrocarbon; ether,N,Y,Y,N,Y,N,N,N,N,N,,ethanol; dioxane; hexane,,multiple_alternative_solvents_or_unparsed_mixture,,N,,N,,N,N,N,N,N,N,N,,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
"1,2-Naphthaquinone (o- , ��-naphthoquinone)",524-42-5,C1=CC=C2C(=C1)C=CC(=O)C2=O,diethyl ether; benzene; ethanol,3,"ether (red needles) or *benzene (orange leaflets).; the above stated solvents provides nice crystals but is wasteful and the solid does not keep well.; EtOH with m 169o (also reported m 142-144o, 149o, isomers?).",,High,benzene legacy,"Crystallise the quinone from ether (red needles) or *benzene (orange leaflets). [Note the variations in m.] Unlike the ���Cisomer below it is non-steam volatile. | Recrystallisation from the above stated solvents provides nice crystals but is wasteful and the solid does not keep well. | It can become very electrified if pulversised, and it is advised not to do so. [Fieser Org Synth Coll Vol 2 430 1943, Org Synth 17 68 1937, DOI: 10.15227/orgsyn.017.0068.] [Beilstein 7 IV 2417.] The dioxime [1Z,2E: 6436-72-1] crystallises in yellow needles from EtOH with m 169o (also reported m 142-144o, 149o, isomers?).",RC01450,"1,2-Naphthaquinone (o- , ��-naphthoquinone)",valid,O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,1,158.156,1.465,34.14,0,2,0,1,2,0.000,0,20,21 314 352 547 650 747 780 982 984 1023 1088 1154 1199 1380 1448 1476 1750 1873 1920 1937,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,oxime,ester_lactone_carbonyl,,Y,diethyl ether; benzene; ethanol,3,alcohol; aromatic hydrocarbon; ether,N,Y,Y,Y,Y,N,N,N,N,Y,benzene,diethyl ether; toluene; toluene/heptane; ethanol,benzene:red_legacy,multiple_alternative_solvents_or_unparsed_mixture,alcohol/ether,N,,N,,N,N,N,N,N,N,N,legacy_toxic_solvent_replace,ethyl acetate; acetone; ethanol; methanol; isopropanol; ethyl acetate/heptane; acetone/heptane; toluene/heptane,ethyl acetate/heptane; acetone/heptane; ethanol/water; toluene/heptane,1.0
1-Naphthol-2-carboxylic acid (1-hydroxy-2-naphthoic acid),86-48-6,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,ethanol; water; diethyl ether; acetonitrile,4,"EtOH/water, diethyl ether and acetonitrile, with filtration through a column of charcoal and Celite.",charcoal,High,,"Successively crystallise the acid (red crystals) from EtOH/water, diethyl ether and acetonitrile, with filtration through a column of charcoal and Celite.",RC01451,1-Naphthol-2-carboxylic acid (1-hydroxy-2-naphthoic acid),valid,O=C(O)c1ccc2ccccc2c1O,SJJCQDRGABAVBB-UHFFFAOYSA-N,O=C(O)c1ccc2ccccc2c1O,SJJCQDRGABAVBB-UHFFFAOYSA-N,1,188.182,2.244,57.53,2,2,1,2,2,0.000,0,24,67 202 203 349 389 456 650 807 872 1047 1087 1088 1104 1199 1357 1380 1538 1573 1602 1750 1855 1873 1917 1991,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,acidic_neutral,acidic; multi_aromatic; phenol,Y,ethanol; water; diethyl ether; acetonitrile,4,alcohol; ether; polar aprotic; water/aqueous,Y,Y,N,N,Y,N,N,N,Y,N,,ethanol; water; diethyl ether; acetonitrile,,aqueous_or_water_containing_system,alcohol/water; alcohol/ether,N,,N,,N,N,Y,N,N,N,N,,water; ethanol; ethanol/water 90:10; ethanol/water 75:25; methanol/water 90:10; acetone; ethyl acetate; ethanol + 1% acetic acid if basic impurity,ethanol/water; methanol/water; acetone/water; ethyl acetate/heptane; acetic acid/water if difficult,1.0
2-Naphthol,135-19-3,Oc1ccc2ccccc2c1,ethanol; water; carbon tetrachloride; benzene; toluene,5,"aqueous 25% EtOH (charcoal), H2O (solubility is 0.1 w/v% at ~20o and ~1.3w.v% at 100o), *benzene, toluene or CCl4.",aqueous; charcoal,High,benzene legacy,"Crystallise 2-naphthol from aqueous 25% EtOH (charcoal), H2O (solubility is 0.1 w/v% at ~20o and ~1.3w.v% at 100o), *benzene, toluene or CCl4.",RC01452,2-Naphthol,valid,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,Oc1ccc2ccccc2c1,JWAZRIHNYRIHIV-UHFFFAOYSA-N,1,144.173,2.545,20.23,1,1,0,2,2,0.000,0,17,203 286 322 381 598 745 807 875 1087 1088 1199 1313 1380 1602 1750 1855 1873,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,phenol_alcohol,multi_aromatic; phenol,Y,ethanol; water; carbon tetrachloride; benzene; toluene,5,alcohol; aromatic hydrocarbon; halogenated; water/aqueous,Y,Y,Y,Y,N,N,Y,N,N,Y,carbon tetrachloride; benzene,ethanol; water; heptane; cyclohexane; toluene; toluene/heptane,carbon tetrachloride:red_legacy; benzene:red_legacy,aqueous_or_water_containing_system,alcohol/water,N,,Y,25%,Y,N,Y,N,N,N,N,legacy_toxic_solvent_replace,ethanol; methanol/water 90:10; ethanol/water 90:10; acetone; ethyl acetate; ethyl acetate/heptane; toluene/heptane; water if polar,ethanol/water; methanol/water; ethyl acetate/heptane; toluene/heptane; acetone/heptane,1.0
