No.,Reaction name (book TOC),Normalized / common name,Book page,Subentry,Parent entry,Entry type,Primary class,Concise description,Representative reaction SMILES,SMILES status,RXNO ID,RXNO label,RXNO definition,Notes / discrepancies,Book source,RXNO URL
52,Cannizzaro dispropotionation,Cannizzaro disproportionation,107,No,,Reaction,Functional-group interconversion / method,Base-promoted disproportionation of a non-enolizable aldehyde into the corresponding alcohol and carboxylate.,O=Cc1ccccc1.O=Cc1ccccc1>>OCc1ccccc1.O=C(O)c1ccccc1,Representative; RDKit-parsable,RXNO:0000218,Cannizzaro reaction,The disproportionation of a non-enolisable aldehyde to the corresponding carboxylic acid and alcohol. The reaction is base-catalysed.,"The book TOC spells “dispropotionation”; the standard spelling is “disproportionation”. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 107",https://purl.obolibrary.org/obo/RXNO_0000218
53,Carroll rearrangement,Carroll rearrangement,109,No,,Reaction,Rearrangement / fragmentation,"Rearrangement of an allylic β-ketoester followed by decarboxylation to give a γ,δ-unsaturated ketone.",C=CCOC(=O)CC(C)=O>>C=CCCC(C)=O,Representative; RDKit-parsable,RXNO:0000248,Carroll rearrangement,"An adaptation of the Claisen rearrangement that transforms a beta-keto allyl ester into a gamma,delta-allyl ketone. It uses base and high temperature or milder conditions with a ruthenium or palladium complex as catalyst.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 109",https://purl.obolibrary.org/obo/RXNO_0000248
54,Castro–Stephens coupling,Castro–Stephens coupling,112,No,,Reaction,Cross-coupling / organometallic coupling,Copper-mediated coupling of an aryl halide with a copper acetylide to form an aryl alkyne.,Ic1ccccc1.C#[C-].[Cu+]>>C#Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000525,Castro-Stephens coupling,Palladium-catalysed coupling of copper(I) acetylides with aryl halides to yield arylacetylenes.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 112",https://purl.obolibrary.org/obo/RXNO_0000525
55,Chan alkyne reduction,Chan alkyne reduction,114,No,,Reaction,Reduction,Stereoselective reduction of a propargylic alcohol to an E-allylic alcohol using Red-Al or lithium aluminium hydride.,CC#CCO>>C/C=C/CO,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 114",
56,Chan–Lam coupling reaction,Chan–Lam coupling reaction,116,No,,Reaction,Cross-coupling / organometallic coupling,N-Arylation of a wide range of NH substrates by reaction with boronic acid in the presence of cupric acetate and either triethylamine or pyridine at room temperature.,OB(O)c1ccccc1.CN>>CNc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 116",
57,Chapman rearrangement,Chapman rearrangement,118,No,,Reaction,Rearrangement / fragmentation,Thermal aryl rearrangement of O-aryliminoethers to amides.,N=C(Oc1ccccc1)c1ccccc1>>O=C(Nc1ccccc1)c1ccccc1,Representative; RDKit-parsable,RXNO:0000514,Chapman rearrangement,"Rearrangement of an aryl imino ether to yield an N,N-diaryl amide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 118",https://purl.obolibrary.org/obo/RXNO_0000514
58,Chichibabin pyridine synthesis,Chichibabin pyridine synthesis,120,No,,Reaction,Heterocycle synthesis,Condensation of aldehydes with ammonia to afford pyridines.,CC=O.CC=O.CC=O.N>>Cc1cc(C)nc(C)c1,Representative; RDKit-parsable,RXNO:0000526,Chichibabin pyridine synthesis,Reaction of carbonyl compounds with ammonia or an amine to yield a pyridine.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 120",https://purl.obolibrary.org/obo/RXNO_0000526
59,Chugaev reaction,Chugaev elimination,123,No,,Reaction,Olefination / elimination,Thermal syn elimination of a xanthate ester to form an alkene.,CCC(C)OC(=S)SC>>CC=CC,Representative; RDKit-parsable,RXNO:0000538,Chugaev reaction,Elimination of a water molecule from a secondary alcohol to yield an olefin.,"The TOC says “Chugaev reaction”; the body heading and common name are “Chugaev elimination”. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 123",https://purl.obolibrary.org/obo/RXNO_0000538
60,Ciamician–Dennsted rearrangement,Ciamician–Dennsted rearrangement,125,No,,Reaction,Rearrangement / fragmentation,Dichlorocarbene addition to a pyrrole followed by ring expansion to form a 3-chloropyridine.,c1cc[nH]c1.ClCCl>>Clc1cccnc1,Representative; RDKit-parsable,RXNO:0000594,Ciamician-Dennstedt rearrangement,Expansion of a pyrrole ring by heating with a halogeno compond to form a 3-halogenopyridine.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 125",https://purl.obolibrary.org/obo/RXNO_0000594
61,Claisen condensation,Claisen condensation,127,No,,Reaction,C–C bond formation / condensation / multicomponent,Base-catalyzed condensation of esters to afford β-keto esters.,CCOC(C)=O.CCOC(C)=O>>CCOC(=O)CC(C)=O,Representative; RDKit-parsable,RXNO:0000043,Claisen condensation,A carbon-carbon coupling reaction of an ester and a carbonyl compound to form a beta-keto ester.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 127",https://purl.obolibrary.org/obo/RXNO_0000043
62,Claisen isoxazole synthesis,Claisen isoxazole synthesis,129,No,,Reaction,Heterocycle synthesis,Cyclization of β-keto esters with hydroxylamine to provide 3-hydroxy-isoxazoles (3-isoxazolols).,,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 129",
63,Claisen rearrangement,Claisen rearrangement,131,No,,Reaction,Rearrangement / fragmentation,"Thermal [3,3]-sigmatropic rearrangement of an allyl vinyl or allyl aryl ether to a γ,δ-unsaturated carbonyl compound or an ortho-allyl phenol.",C=CCOc1ccccc1>>C=CCc1ccccc1O,Representative; RDKit-parsable,RXNO:0000148,Claisen rearrangement,"The [3,3]-sigmatropic rearrangement of an allyl vinyl ether to give a gamma,delta-unsaturated carbonyl compound.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 131",https://purl.obolibrary.org/obo/RXNO_0000148
64,Abnormal Claisen rearrangement,Abnormal Claisen rearrangement,133,Yes,Claisen rearrangement,Reaction,Rearrangement / fragmentation,"A Claisen-derived sequence in which the initial rearrangement product undergoes further allyl migration, placing the terminal allyl carbon on the aromatic ring.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 133",
65,Eschenmoser–Claisen amide acetal rearrangement,Eschenmoser–Claisen rearrangement,135,Yes,Claisen rearrangement,Reaction,Rearrangement / fragmentation,"[3,3]-Sigmatropic rearrangement of an allylic alcohol-derived N,O-ketene acetal to a γ,δ-unsaturated amide.",C=CCO.COC(C)(OC)N(C)C>>C=CCCC(=O)N(C)C,Representative; RDKit-parsable,RXNO:0000152,Eschenmoser-Claisen rearrangement,"The coupling and subsequent [3,3]-sigmatropic rearrangement of an allylic alcohol and alpha,alpha-dialkoxy ethylamine to give a gamma,delta-unsaturated dialkyl amide.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 135",https://purl.obolibrary.org/obo/RXNO_0000152
66,Ireland–Claisen (silyl ketene acetal) rearrangement,Ireland–Claisen rearrangement,137,Yes,Claisen rearrangement,Reaction,Rearrangement / fragmentation,"[3,3]-Sigmatropic rearrangement of an allyl silyl ketene acetal to a γ,δ-unsaturated carboxylic acid with useful stereochemical control.",C=CCOC(C)=O>>C=CCCC(=O)O,Representative; RDKit-parsable,RXNO:0000149,Ireland-Claisen rearrangement,"The enolisation and subsequent [3,3]-sigmatropic rearrangement of an allylic acetate to give a gamma,delta-unsaturated carboxylic acid.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 137",https://purl.obolibrary.org/obo/RXNO_0000149
67,Johnson–Claisen (orthoester) rearrangement,Johnson–Claisen rearrangement,139,Yes,Claisen rearrangement,Reaction,Rearrangement / fragmentation,"Acid-catalyzed conversion of an allylic alcohol and an orthoester into a ketene acetal, followed by [3,3]-rearrangement to a γ,δ-unsaturated ester.",C=CCO.CCOC(C)(OCC)OCC>>C=CCCC(=O)OCC,Representative; RDKit-parsable,RXNO:0000153,Johnson-Claisen rearrangement,"The coupling and subsequent [3,3]-sigmatropic rearrangement of an allylic alcohol and trimethyl orthoacetate to give a gamma,delta-unsaturated alkyl ester.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 139",https://purl.obolibrary.org/obo/RXNO_0000153
68,Clemmensen reduction,Clemmensen reduction,141,No,,Reaction,Reduction,Reduction of aldehydes and ketones to the corresponding methylene compounds using amalgamated zinc and hydrogen chloride.,CC(=O)c1ccccc1>>CCc1ccccc1,Representative; RDKit-parsable,RXNO:0000038,Clemmensen reduction,A functional group reduction where an aldehyde or ketone carbonyl group is reduced to a methylene with zinc-mercury amalgam and hydrochloric acid.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 141",https://purl.obolibrary.org/obo/RXNO_0000038
69,Combes quinoline synthesis,Combes quinoline synthesis,144,No,,Reaction,Heterocycle synthesis,"Acid-catalyzed condensation and cyclization of an aniline with a 1,3-dicarbonyl compound to form a quinoline.",Nc1ccccc1.CC(=O)CC(C)=O>>Cc1cc(C)nc2ccccc12,Representative; RDKit-parsable,RXNO:0000642,Combes quinoline synthesis,Reaction of a beta-diketone with a primary arylamine to yield a quinoline. It is acid-catalysed.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 144",https://purl.obolibrary.org/obo/RXNO_0000642
70,Conrad–Limpach reaction,Conrad–Limpach reaction,147,No,,Reaction,Heterocycle synthesis,Thermal or acid-catalyzed condensation of anilines with β-ketoesters leads to quinolin-4-ones.,Nc1ccccc1.CCOC(=O)CC(C)=O>>Cc1cc(=O)c2ccccc2[nH]1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 147",
71,Cope elimination reaction,Cope elimination reaction,149,No,,Reaction,Olefination / elimination,Thermal elimination of N-oxides to olefins and N-hydroxyl amines.,C[N+](C)(CCCc1ccccc1)[O-]>>C=CCc1ccccc1.CNO,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 149",
72,Cope rearrangement,Cope rearrangement,151,No,,Reaction,Rearrangement / fragmentation,"Thermal [3,3]-sigmatropic rearrangement of a 1,5-diene that reorganizes the carbon skeleton without changing the molecular formula.",,Not encoded,RXNO:0000028,Cope rearrangement,"A [3,3]-sigmatropic rearrangement where a 1,5-hexadiene rearranges to form a 1,5-hexadiene.",,"Li, Name Reactions, 3rd ed. (2006), p. 151",https://purl.obolibrary.org/obo/RXNO_0000028
73,Oxy-Cope rearrangement,Oxy-Cope rearrangement,152,Yes,Cope rearrangement,Reaction,Rearrangement / fragmentation,"[3,3]-Sigmatropic rearrangement of a 1,5-dien-3-ol followed by tautomerization to a carbonyl compound.",C=CCC(O)C=C>>C=CCCCC=O,Representative; RDKit-parsable,RXNO:0000029,oxy-Cope rearrangement,"A [3,3]-sigmatropic rearrangement of a 3-hydroxy-1,5-hexadiene rearranges to form a 5,6-unsaturated carbonyl compound.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 152",https://purl.obolibrary.org/obo/RXNO_0000029
74,Anionic oxy-Cope rearrangement,Anionic oxy-Cope rearrangement,153,Yes,Cope rearrangement,Reaction,Rearrangement / fragmentation,"Base-accelerated oxy-Cope rearrangement of an alkoxide, followed by tautomerization to a carbonyl compound.",C=CCC(O)C=C>>C=CCCCC=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 153",
75,Corey–Bakshi–Shibata (CBS) reduction,Corey–Bakshi–Shibata (CBS) reduction,154,No,,Reaction,Reduction,Enantioselective borane reduction of ketones catalyzed by chiral oxazaborolidines.,CC(=O)c1ccccc1>>C[C@H](O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 154",
76,Corey–Chaykovsky reaction,Corey–Chaykovsky reaction,157,No,,Reaction,Cycloaddition / annulation / ring formation,"Reaction of a sulfur ylide with a carbonyl, imine, alkene, or thiocarbonyl to form an epoxide, aziridine, cyclopropane, or thiirane.",CC(=O)c1ccccc1.C[S+](C)[CH2-]>>CC1(c2ccccc2)CO1,Representative; RDKit-parsable,RXNO:0000598,Johnson-Corey-Chaykovsky reaction,Reaction of a sulfur ylide with a double-bond to produce a three-membered ring.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 157",https://purl.obolibrary.org/obo/RXNO_0000598
77,Corey–Fuchs reaction,Corey–Fuchs reaction,160,No,,Reaction,Functional-group interconversion / method,"One-carbon homologation of an aldehyde to dibromoolefin, which is then treated with n-BuLi to produce a terminal alkyne.",O=Cc1ccccc1>>C#Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000146,Corey-Fuchs reaction,"A homologation reaction of an aldehyde to yield a terminal alkyne. The reagents are tetrabromomethane, triphenylphosphine, butyllithium and water.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 160",https://purl.obolibrary.org/obo/RXNO_0000146
78,Corey–Kim oxidation,Corey–Kim oxidation,162,No,,Reaction,Oxidation / alkene functionalization,"Oxidation of alcohol to the corresponding aldehyde or ketone using NCS/DMS, followed by treatment with a base.",OCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000665,Corey-Kim oxidation,"Oxidation of primary and secondary alcohols via their alkoxysulfonium salts. Upon the addition of base, the salt rearranges intramolecularly to aldehydes and ketones, respectively.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 162",https://purl.obolibrary.org/obo/RXNO_0000665
79,Corey–Nicolaou macrolactonization,Corey–Nicolaou macrolactonization,164,No,,Reaction,Functional-group interconversion / method,"Double-activation macrolactonization of an ω-hydroxy carboxylic acid using 2,2′-dipyridyl disulfide and triphenylphosphine.",O=C(O)CCCCCO>>O=C1OCCCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 164",
80,Corey–Seebach dithiane reaction,Corey–Seebach reaction,166,No,,Reaction,C–C bond formation / condensation / multicomponent,"Dithiane as a nucleophile, serving as a masked carbonyl equivalent. This is an example of umpolung.",C1SCCCS1.O=Cc1ccccc1>>OC(c1ccccc1)C1SCCCS1,Representative; RDKit-parsable,RXNO:0000662,Corey-Seebach reaction,"A chemical reaction in which ketones are synthesized from formaldehyde or other aldehydes, involving a temporary repolarization of a carbonyl group.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 166",https://purl.obolibrary.org/obo/RXNO_0000662
81,Corey–Winter olefin synthesis,Corey–Winter olefin synthesis,168,No,,Reaction,Olefination / elimination,"Transformation of diols to the corresponding olefins by sequential treatment with 1,1’-thiocarbonyldiimidazole and trimethylphosphite.",CC(O)C(O)C>>CC=CC,Representative; RDKit-parsable,RXNO:0000660,Corey-Winter elimination,"A chemical reaction for the stereoselective synthesis of an olefin from a 1,2-diol.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 168",https://purl.obolibrary.org/obo/RXNO_0000660
82,Criegee glycol cleavage,Criegee glycol cleavage,171,No,,Reaction,Functional-group interconversion / method,"Vicinal diol is oxidized to the two corresponding carbonyl compounds using Pb(OAc)4, lead tetraacetate (LTA).",OC(c1ccccc1)C(O)c1ccccc1>>O=Cc1ccccc1.O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000257,Criegee oxidation,"The oxidative cleavage of an alpha,beta-diol using lead tetraacetate to give the corresponding carbonyl compounds.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 171",https://purl.obolibrary.org/obo/RXNO_0000257
83,Criegee mechanism of ozonolysis,Criegee mechanism of ozonolysis,173,No,,Mechanism,Oxidation / alkene functionalization,"Ozonolysis mechanism in which an alkene forms a primary ozonide, fragments to a carbonyl oxide (Criegee intermediate), and recombines to a secondary ozonide.",CC=C(C)C>>CC(C)=O.CC=O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 173",
84,Curtius rearrangement,Curtius rearrangement,175,No,,Reaction,Rearrangement / fragmentation,Thermal or photochemical rearrangement of acyl azides into amines via isocyanate intermediates.,O=C(N=[N+]=[N-])c1ccccc1>>Nc1ccccc1,Representative; RDKit-parsable,RXNO:0000054,Curtius rearrangement,"A rearrangement of an acyl azide to give an isocyanate by pyrolysis, with the elimination of molecular nitrogen.","Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 175",https://purl.obolibrary.org/obo/RXNO_0000054
85,Dakin oxidation,Dakin oxidation,177,No,,Reaction,Oxidation / alkene functionalization,Oxidation of aryl aldehydes or aryl ketones to phenols using basic hydrogen peroxide conditions.,O=Cc1ccccc1O>>Oc1ccccc1O,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 177",
86,Dakin–West reaction,Dakin–West reaction,179,No,,Reaction,Functional-group interconversion / method,"The direct conversion of an α-amino acid into the corresponding α-acetylaminoalkyl methyl ketone, via oxazoline (azalactone) intermediates.",CC(=O)OC(C)=O.NCC(=O)O>>CC(=O)NCC(C)=O,Representative; RDKit-parsable,RXNO:0000175,Dakin-West reaction,The reaction of an amino acid with an acid anhydride to give an alpha-acylamido ketone. The reaction proceeds via the mixed anhydride and an oxazolone; the product is always racemic.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 179",https://purl.obolibrary.org/obo/RXNO_0000175
87,Danheiser annulation,Danheiser annulation,181,No,,Reaction,Cycloaddition / annulation / ring formation,"Lewis-acid-promoted annulation of an α,β-unsaturated carbonyl compound with a trialkylsilylallene to form a silyl-substituted cyclopentene.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 181",
88,Darzens glycidic ester condensation,Darzens glycidic ester condensation,183,No,,Reaction,C–C bond formation / condensation / multicomponent,"Base-promoted condensation of an α-halo ester with an aldehyde or ketone, followed by intramolecular displacement to give a glycidic ester.",O=Cc1ccccc1.CCOC(=O)CCl>>CCOC(=O)C1OC1c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 183",
89,Davis chiral oxaziridine reagent,Davis oxaziridine hydroxylation,185,No,,Reagent/method,Functional-group interconversion / method,Asymmetric α-hydroxylation of enolates using a chiral N-sulfonyloxaziridine.,CC(=O)c1ccccc1>>OCC(=O)c1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 185",
90,Delépine amine synthesis,Delépine amine synthesis,187,No,,Reaction,Functional-group interconversion / method,"The reaction between alkyl halides and hexamethylenetetramine, followed by cleavage of the resulting salt with ethanolic HCl to yield primary amines.",BrCc1ccccc1>>NCc1ccccc1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 187",
91,de Mayo reaction,de Mayo reaction,189,No,,Reaction,Radical / photochemical,"Photochemical [2+2] cycloaddition of an enolized 1,3-dicarbonyl compound with an alkene, followed by retro-aldol cleavage to give a 1,5-dicarbonyl compound.",,Not encoded,,,,,"Li, Name Reactions, 3rd ed. (2006), p. 189",
92,Demjanov rearrangement,Demjanov rearrangement,191,No,,Reaction,Rearrangement / fragmentation,Carbocation rearrangement of primary amines via diazotization to give alcohols through C–C bond migration.,NCC1CCC1>>OC1CCCC1,Representative; RDKit-parsable,RXNO:0000382,Demjanov rearrangement,Substitution reaction of a primary amine via deazotisation to yield a mixture of the corresponding primary alcohol and secondary alcohol.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 191",https://purl.obolibrary.org/obo/RXNO_0000382
93,Tiffeneau–Demjanov rearrangement,Tiffeneau–Demjanov rearrangement,193,Yes,Demjanov rearrangement,Reaction,Rearrangement / fragmentation,Carbocation rearrangement of β-aminoalcohols via diazotization to afford carbonyl compounds through C–C bond migration.,NCC1(O)CCC1>>O=C1CCCC1,Representative; RDKit-parsable,RXNO:0000381,Tiffeneau-Demjanov rearrangement,Rearrangement of a beta-amino alcohol to yield a carbonyl compound. In the first step the amine is diazotised by reaction with nitrous acid.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 193",https://purl.obolibrary.org/obo/RXNO_0000381
94,Dess–Martin oxidation,Dess–Martin periodinane oxidation,195,No,,Reaction,Oxidation / alkene functionalization,Oxidation of alcohols to the corresponding carbonyl compounds using triacetoxyperiodinane.,OCc1ccccc1>>O=Cc1ccccc1,Representative; RDKit-parsable,RXNO:0000256,Dess-Martin oxidation,The oxidation of a primary alcohol to an aldehyde or a secondary alcohol to a ketone using the Dess-Martin periodinane.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 195",https://purl.obolibrary.org/obo/RXNO_0000256
95,Dieckmann condensation,Dieckmann condensation,197,No,,Reaction,C–C bond formation / condensation / multicomponent,Intramolecular Claisen condensation of a diester to form a cyclic β-ketoester.,CCOC(=O)CCCCC(=O)OCC>>CCOC(=O)C1CCCC1=O,Representative; RDKit-parsable,RXNO:0000065,Dieckmann cyclisation,An intramolecular cyclisation of a diester to give a cyclic beta-ketoester.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 197",https://purl.obolibrary.org/obo/RXNO_0000065
96,Diels–Alder reaction,Diels–Alder reaction,199,No,,Reaction,Cycloaddition / annulation / ring formation,"Concerted [4+2] cycloaddition of a conjugated diene and a dienophile to form a six-membered ring; normal, inverse-demand, and hetero variants are included.",C=CC=C.C=C>>C1=CCCCC1,Representative; RDKit-parsable,RXNO:0000006,Diels-Alder reaction,A [4+2] cycloaddition reaction where a diene reacts with a compound containing a double or triple bond (a dienophile) to form an unsaturated six-membered ring compound.,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 199",https://purl.obolibrary.org/obo/RXNO_0000006
97,Dienone–phenol rearrangement,Dienone–phenol rearrangement,202,No,,Reaction,Rearrangement / fragmentation,"Acid-promoted rearrangement of 4,4-disubstituted cyclohexadienones to 3,4- disubstituted phenols.",CC1(C)C=CC(=O)C=C1>>Cc1c(C)ccc(O)c1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 202",
98,Di-S-methane rearrangement,Di-π-methane (Zimmerman) rearrangement,204,No,,Reaction,Radical / photochemical,"Photochemical di-π-methane rearrangement of a 1,4-diene to a vinylcyclopropane.",C=CCC=C>>C=CC1CC1,Representative; RDKit-parsable,,,,"The TOC text layer renders the Greek π as “S”; the intended name is the di-π-methane rearrangement, also called the Zimmerman rearrangement. Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 204",
99,Doebner quinoline synthesis,Doebner quinoline synthesis,206,No,,Reaction,Heterocycle synthesis,"Three-component coupling of an aniline, pyruvic acid, and an aldehyde to provide a quinoline-4-carboxylic acid.",Nc1ccccc1.O=Cc1ccccc1.CC(=O)C(=O)O>>O=C(O)c1cc(-c2ccccc2)nc2ccccc12,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 206",
100,Dötz reaction,Dötz reaction,208,No,,Reaction,Cycloaddition / annulation / ring formation,"Chromium-carbene benzannulation of a Fischer carbene complex with an alkyne to form a substituted phenol, often initially isolated as a Cr(CO)₃ complex.",,Not encoded,RXNO:0000681,Dötz reaction,"A three component cyclization of an aromatic or vinylic alkoxy pentacarbonyl chromium carbene complex, an alkyne and carbon monoxide to give a Cr(CO)3 coordinated phenol.",,"Li, Name Reactions, 3rd ed. (2006), p. 208",https://purl.obolibrary.org/obo/RXNO_0000681
101,Dowd–Beckwith ring expansion,Dowd–Beckwith ring expansion,210,No,,Reaction,Cycloaddition / annulation / ring formation,Radical-mediated ring expansion of 2-halomethyl cycloalkanones.,O=C1CCCC1CBr>>O=C1CCCCC1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 210",
102,Erlenmeyer–Plöchl azlactone synthesis,Erlenmeyer–Plöchl azlactone synthesis,212,No,,Reaction,Heterocycle synthesis,Formation of 5-oxazolones (or ‘azlactones’) by intramolecular condensation of acylglycines in the presence of acetic anhydride.,CC(=O)NCC(=O)O>>CC1=NC(=O)O1,Representative; RDKit-parsable,,,,"Reaction SMILES is an illustrative net transformation; catalysts, reagents, workup species, and byproducts may be omitted.","Li, Name Reactions, 3rd ed. (2006), p. 212",
