notation,expected,detected_ids,detected_names,smiles
4-chloroanisole + acetamide,C-N,,,Clc1ccc(OC)cc1.NC(=O)C>>CC(=O)Nc1ccc(OC)cc1
4-bromopyridine + acetamide,C-N,,,Brc1ccncc1.NC(=O)C>>CC(=O)Nc1ccncc1
4-iodobenzotrifluoride + acetamide,C-N,,,Ic1ccc(C(F)(F)F)cc1.NC(=O)C>>CC(=O)Nc1ccc(C(F)(F)F)cc1
Ph-Br + propionamide,C-N,,,Brc1ccccc1.NC(=O)CC>>CCC(=O)Nc1ccccc1
4-bromochlorobenzene + propionamide,C-N,,,Brc1ccc(Cl)cc1.NC(=O)CC>>CCC(=O)Nc1ccc(Cl)cc1
Ph-Br + benzamide → N-phenylbenzamide,C-N,,,Brc1ccccc1.NC(=O)c1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
4-bromoanisole + benzamide,C-N,,,Brc1ccc(OC)cc1.NC(=O)c1ccccc1>>COc1ccc(NC(=O)c2ccccc2)cc1
4-chloropyridine + benzamide,C-N,,,Clc1ccncc1.NC(=O)c1ccccc1>>O=C(Nc1ccncc1)c1ccccc1
4-bromobenzonitrile + benzamide,C-N,,,Brc1ccc(C#N)cc1.NC(=O)c1ccccc1>>N#Cc1ccc(NC(=O)c2ccccc2)cc1
Ph-Br + 4-methoxybenzamide,C-N,,,Brc1ccccc1.NC(=O)c1ccc(OC)cc1>>COc1ccc(C(=O)Nc2ccccc2)cc1
4-bromofluorobenzene + 4-fluorobenzamide,C-N,,,Brc1ccc(F)cc1.NC(=O)c1ccc(F)cc1>>Fc1ccc(C(=O)Nc2ccc(F)cc2)cc1
Ph-Br + isobutyramide,C-N,,,Brc1ccccc1.NC(=O)CC(C)C>>CC(C)CC(=O)Nc1ccccc1
Ph-Br + pivalamide,C-N,,,Brc1ccccc1.NC(=O)C(C)(C)C>>CC(C)(C)C(=O)Nc1ccccc1
4-chlorobenzotrifluoride + isobutyramide,C-N,,,Clc1ccc(C(F)(F)F)cc1.NC(=O)CC(C)C>>CC(C)CC(=O)Nc1ccc(C(F)(F)F)cc1
Ph-Br + hydrocinnamamide,C-N,,,Brc1ccccc1.NC(=O)CCc1ccccc1>>O=C(CCc1ccccc1)Nc1ccccc1
4-bromoanisole + hydrocinnamamide,C-N,,,Brc1ccc(OC)cc1.NC(=O)CCc1ccccc1>>COc1ccc(NC(=O)CCc2ccccc2)cc1
Ph-Br + 2-pyrrolidinone → N-phenyl-2-pyrrolidinone,C-N,,,Brc1ccccc1.C1CCNC1=O>>O=C1CCCN1c1ccccc1
4-bromotoluene + 2-pyrrolidinone,C-N,,,Brc1ccc(C)cc1.C1CCNC1=O>>Cc1ccc(N2CCCC2=O)cc1
4-chloropyridine + 2-pyrrolidinone,C-N,,,Clc1ccncc1.C1CCNC1=O>>O=C1CCCN1c1ccncc1
Ph-Br + caprolactam → N-phenylcaprolactam,C-N,,,Brc1ccccc1.C1CCCCNC1=O>>O=C1CCCCN1c1ccccc1
4-bromoanisole + caprolactam,C-N,,,Brc1ccc(OC)cc1.C1CCCCNC1=O>>COc1ccc(N2CCCCC2=O)cc1
4-iodobenzotrifluoride + caprolactam,C-N,,,Ic1ccc(C(F)(F)F)cc1.C1CCCCNC1=O>>FC(F)(F)c1ccc(N2CCCCC2=O)cc1
"Ph-Br + acetamide, alternative",C-N,,,Brc1ccccc1.NC(C)=O>>CC(=O)Nc1ccccc1
Ph-Br + isonicotinamide,C-N,,,Brc1ccccc1.NC(=O)c1ccncc1>>O=C(Nc1ccccc1)c1ccncc1
4-chlorobenzonitrile + isonicotinamide,C-N,,,Clc1ccc(C#N)cc1.NC(=O)c1ccncc1>>N#Cc1ccc(NC(=O)c2ccncc2)cc1
Ph-Br + thiophene-3-carboxamide,C-N,,,Brc1ccccc1.NC(=O)c1cccs1>>O=C(Nc1ccccc1)c1cccs1
4-bromoanisole + thiophene-3-carboxamide,C-N,,,Brc1ccc(OC)cc1.NC(=O)c1cccs1>>COc1ccc(NC(=O)c2cccs2)cc1
Ph-Br + furan-3-carboxamide,C-N,,,Brc1ccccc1.NC(=O)c1ccco1>>O=C(Nc1ccccc1)c1ccco1
"2-bromotoluene + acetamide, ortho-substituted",C-N,,,Brc1ccccc1C.NC(=O)C>>CC(=O)Nc1ccccc1C
"2,6-dimethylbromobenzene + benzamide, sterically hindered",C-N,,,Brc1c(C)cccc1C.NC(=O)c1ccccc1>>Cc1cccc(C)c1NC(=O)c1ccccc1
"2-iodonaphthalene + acetamide, fused ring",C-N,,,Ic1ccc2ccccc2c1.NC(=O)C>>CC(=O)Nc1ccc2ccccc2c1
"1,4-dibromobenzene + acetamide, bis-coupling",C-N,,,Brc1ccc(Br)cc1.NC(=O)C>>CC(=O)Nc1ccc(NC(C)=O)cc1
Oxidative,Chan-Lam,chan_lam_cn,Chan-Lam C-N,c1ccccc1B(O)O.Nc1ccccc1.[O]>>c1ccccc1Nc1ccccc1
Methoxy boronic acid,Chan-Lam,chan_lam_cn,Chan-Lam C-N,c1ccc(OC)cc1B(O)O.Nc1ccccc1.[O]>>COc1ccc(Nc2ccccc2)cc1
Pyridine boronic acid,Chan-Lam,chan_lam_cn,Chan-Lam C-N,c1ccncc1B(O)O.Nc1ccccc1.[O]>>c1ccccc1Nc1ccncc1
Diphenyl ether,Ullmann Ether,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Brc1ccccc1.Oc1ccccc1>>c1ccccc1Oc1ccccc1
Ethyl pyridyl ether,Ullmann Ether,,,Ic1ccncc1.OCC>>CCOc1ccncc1
CF3 substrate,Ullmann Ether,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Brc1ccc(C(F)(F)F)cc1.Oc1ccccc1>>FC(F)(F)c1ccc(Oc2ccccc2)cc1
Methoxy benzonitrile,Ullmann Ether,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Clc1ccc(C#N)cc1.OC>>COc1ccc(C#N)cc1
Thiophene ether,Ullmann Ether,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Brc1cccs1.Oc1ccccc1>>c1cc(Oc2ccccc2)sc1
Ethyl acetate,Esterification,,,CC(=O)O.CCO>>CC(=O)OCC
Ethyl benzoate,Esterification,,,c1ccc(C(=O)O)cc1.OCC>>c1ccc(C(=O)OCC)cc1
,Acyl chloride esterification,,,CC(=O)Cl.CCO>>CC(=O)OCC
Acetanilide,Amidation,amide_coupling,Amide Coupling,CC(=O)O.Nc1ccccc1>>CC(=O)Nc1ccccc1
N-ethylbenzamide,Amidation,amide_coupling,Amide Coupling,c1ccc(C(=O)O)cc1.NCC>>c1ccc(C(=O)NCC)cc1
Ethylbenzene,Hydrogenation,epoxidation,Epoxidation,C=Cc1ccccc1.[H][H]>>CCc1ccccc1
Benzyl alcohol,Hydrogenation,,,c1ccc(C=O)cc1.[H][H]>>c1ccc(CO)cc1
Complete alkyne,Hydrogenation,,,C#Cc1ccccc1.[H][H]>>CCc1ccccc1
Nitro to amine,Hydrogenation,reduction_nitro,Nitro Reduction,c1ccc([N+](=O)[O-])cc1.[H][H]>>c1ccc(N)cc1
"1,3-butadiene",Hydrogenation,,,C=CC=C.[H][H]>>CCCC
Nitrile to benzylamine,Hydrogenation,,,c1ccc(C#N)cc1.[H][H]>>c1ccc(CN)cc1
Cyclohexanone to cyclohexanol,Hydrogenation,,,O=C1CCCCC1.[H][H]>>OC1CCCCC1
Cinnamic acid,Hydrogenation,,,C1=CC=C(C=C1)C=CC(=O)O.[H][H]>>c1ccc(CCC(=O)O)cc1
Benzaldehyde reduction,NaBH4,,,c1ccc(C=O)cc1.[BH4-].[Na+]>>c1ccc(CO)cc1
Acetophenone,NaBH4,,,CC(=O)c1ccccc1.[BH4-].[Na+]>>CC(O)c1ccccc1
Ketone reduction,LiAlH4,,,c1ccc(C(=O)C)cc1.[AlH4-].[Li+]>>c1ccc(C(O)C)cc1
Ester to alcohol,LiAlH4,,,CC(=O)OCC.[AlH4-].[Li+]>>CCO
Nitrile reduction,LiAlH4,,,c1ccc(C#N)cc1.[AlH4-].[Li+]>>c1ccc(CN)cc1
Amide to amine,LiAlH4,,,c1ccc(C(=O)Nc2ccccc2)cc1.[AlH4-].[Li+]>>c1ccccc1CNc1ccccc1
Lactone to diol,LiAlH4,claisen_condensation,Claisen Condensation,O=C1CCC(=O)O1.[AlH4-].[Li+]>>OCCCO
Selective reduction,NaBH4,claisen_condensation,Claisen Condensation,CC(=O)OC(=O)C.[BH4-].[Na+]>>CC(=O)CO
Acetophenone,Transfer Hydrogenation,reductive_amination,Reductive Amination,CC(=O)c1ccccc1.C1CCNC1>>[Ir]>>CC(O)c1ccccc1
Benzaldehyde,Transfer Hydrogenation,,,c1ccc(C=O)cc1.CCOC(=O)C=O>>[Ru]>>c1ccc(CO)cc1
Nitro reduction,Zn/HCl,reduction_nitro,Nitro Reduction,c1ccc([N+](=O)[O-])cc1.[Zn].[HCl]>>c1ccc(N)cc1
Benzene to cyclohexadiene,Birch Reduction,,,C1=CC=CC=C1>>[Na].[NH3]>>C1CCC=CC1
Anisole,Birch Reduction,,,c1ccc(OC)cc1>>[Na].[NH3]>>COC1C=CCC=C1
Selective ketone,NaBH(OAc)3,,,c1ccc(C(=O)C=C)cc1.[NaBH(OAc)3]>>c1ccc(C(O)C=C)cc1
Ketone selective,DIBAL,epoxidation,Epoxidation,CC(=O)CC=C.[DIBAL]>>CC(O)CC=C
Ester to aldehyde,DIBAL,,,CC(=O)OCC.[DIBAL]>>CC=O
Benzyl alcohol to aldehyde,Oxidation,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.[O]>>c1ccc(C=O)cc1
Secondary alcohol to ketone,Oxidation,,,CC(O)c1ccccc1.[O]>>CC(=O)c1ccccc1
Ethanol to acetaldehyde,Oxidation,,,CCO.[O]>>CC=O
,PCC Oxidation,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.Cl[Cr](=O)(=O)OC(C)(C)C>>c1ccc(C=O)cc1
,Swern-type oxidation,oxidation_alcohol,Alcohol Oxidation,CCO.OS(=O)(=O)O>>CC=O
Benzyl alcohol oxidation,MnO2,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.[MnO2]>>c1ccc(C=O)cc1
Acetone,Jones Oxidation,,,CC(O)C.[CrO3]>>CC(=O)C
Acetophenone,Dess-Martin,,,c1ccc(C(O)C)cc1.[Dess-Martin]>>c1ccc(C(=O)C)cc1
Diol to diketone,IBX,,,CC(O)CCO.[IBX]>>CC(=O)CC=O
Alcohol to acid,TEMPO,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.[TEMPO].[NaOCl]>>c1ccc(C(=O)O)cc1
Cyclohexylmethanol,PCC,,,C1CCC(CO)CC1.[PCC]>>C1CCC(C=O)CC1
Styrene epoxidation,mCPBA,epoxidation,Epoxidation,C=Cc1ccccc1.[O]>>C1OC1c1ccccc1
Isobutylene oxide,mCPBA,,,C=C(C)C.[O]>>CC1(C)CO1
Diepoxide,mCPBA,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCCCCC=C.[O]>>C1OC1CCCCC1CO1
Phenyl acetate,Baeyer-Villiger,,,CC(=O)c1ccccc1.[O]>>CC(=O)Oc1ccccc1
Caprolactone,Baeyer-Villiger,,,O=C1CCCCC1.[O]>>O=C1OCCCC1
,Sulfide to sulfoxide,,,CSc1ccccc1.[O]>>CS(=O)c1ccccc1
,Sulfide to sulfone,,,CSc1ccccc1.[mCPBA].[O]>>CS(=O)(=O)c1ccccc1
Simple,Diels-Alder,,,C=CC=C.C=C>>C1C=CCC1
Substituted,Diels-Alder,,,C=CC(=C)C.C=CC(=O)OCC>>CC1=CC(C(=O)OCC)CC(C)=C1
Naphthyl,Diels-Alder,,,c1ccc2ccccc2c1C=CC=C.C=CC(=O)C>>O=C1CCc2c(ccc3ccccc23)C1
Triazole,CuAAC Click,,,C#CCO.c1ccc([N-][N+]#N)cc1>>c1ccccc1n1cc(CO)nn1
Phenyl triazole,Click,,,C#Cc1ccccc1.C[N-][N+]#N>>Cc1nnn(-c2ccccc2)c1
Ether-substituted triazole,Click,,,C#CCCOC.CC[N-][N+]#N>>CCn1ncc(CCOC)n1
Benzyl azide + propargyl alcohol,Click,,,C#CC(C)(C)O.c1ccc(C[N-][N+]#N)cc1>>CC(C)(O)Cn1cc(Cc2ccccc2)nn1
Primary alcohol,SN2,,,CCCCBr.[OH-]>>CCCCO
isopropyl alcohol,SN2,,,CC(Br)C.[OH-]>>CC(O)C
Nitrile formation,SN2,,,CCBr.N#C>>CCC#N
Phenoxide,SN2,oxidation_alcohol,Alcohol Oxidation,CCCCBr.Oc1ccccc1>>CCCCOc1ccccc1
Thioether formation,SN2,,,CI.SC>>CSC
Finkelstein halide exchange,SN2,,,CCCBr.[I-]>>CCCI
Dinitrile,SN2,,,BrCCCCCl.[C-]#N>>N#CCCCCCN
Benzyl alcohol,SN2,,,ICc1ccccc1.[OH-]>>OCc1ccccc1
Azide substitution,SN2,,,BrCC(=O)OC.[N-]=[N+]=[N-]>>[N-]=[N+]=[N-]CC(=O)OC
Thioether Formation,C-S Coupling,,,Brc1ccccc1.Sc1ccccc1>>c1ccccc1Sc1ccccc1
Thioether Formation,C-S Coupling,,,Clc1ccc(C)cc1.Sc1ccccc1>>Cc1ccc(Sc2ccccc2)cc1
Pyridine thioether,C-S Coupling,,,Brc1ccncc1.SCC>>CCSc1ccncc1
Benzyl thioether,C-S Coupling,,,Ic1ccc(C(F)(F)F)cc1.SCc1ccccc1>>FC(F)(F)c1ccc(SCc2ccccc2)cc1
Methyl thioether,C-S Coupling,,,Brc1ccc(OC)cc1.SC>>CSc1ccc(OC)cc1
tert-Butyl,SN1,,,CC(C)(C)Br.O>>CC(C)(C)O
Benzyl tertiary,SN1,,,c1ccc(C(C)(C)Cl)cc1.O>>c1ccc(C(C)(C)O)cc1
Nitrofluorobenzene,SNAr,reduction_nitro,Nitro Reduction,Fc1ccc([N+](=O)[O-])cc1.[OH-]>>[O-][N+](=O)c1ccc(O)cc1
Cyanuric chloride,SNAr,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Clc1nc(Cl)nc(Cl)n1.OC>>COc1nc(Cl)nc(Cl)n1
Dinitrofluorobenzene,SNAr,snar_cn|reduction_nitro,SNAr C-N|Nitro Reduction,Fc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1.NC>>[O-][N+](=O)c1cc([N+](=O)[O-])cc(NC)c1
Trifluoromethyl activation,SNAr,oxidation_alcohol,Alcohol Oxidation,Fc1ccc(C(F)(F)F)cc1.Oc1ccccc1>>FC(F)(F)c1ccc(Oc2ccccc2)cc1
Pyridine,SNAr,ullmann_ether|oxidation_alcohol,Ullmann Ether Synthesis|Alcohol Oxidation,Clc1ccncc1.OC>>COc1ccncc1
,Allylic SN2,epoxidation,Epoxidation,C=CCC(Br)C.[OH-]>>C=CCC(C)O
Thiol,Allylic substitution,epoxidation,Epoxidation,C=CCCC(Cl)C.SC>>C=CCCC(C)SC
Iodide exchange,Finkelstein,,,CCCCBr.[I-]>>CCCCI
Benzyl,Finkelstein,,,c1ccc(CCl)cc1.[I-]>>c1ccc(CI)cc1
Alcohol to chloride,Appel,oxidation_alcohol,Alcohol Oxidation,c1ccc(CO)cc1.ClP(c1ccccc1)(c1ccccc1)c1ccccc1.C(Cl)(Cl)(Cl)Cl>>c1ccc(CCl)cc1
Alcohol to bromide,Appel,,,CCCCO.BrP(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCCBr
Ether,Mitsunobu,oxidation_alcohol|claisen_condensation,Alcohol Oxidation|Claisen Condensation,c1ccc(CO)cc1.Oc1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COc2ccccc2)cc1
Amide,Mitsunobu,claisen_condensation,Claisen Condensation,CCCO.NC(=O)c1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCNC(=O)c1ccccc1
Propene from 2-bromopropane,E2,,,CC(Br)C>>CC=C
Zaitsev product,E2,,,CC(Br)C(C)C>>CC=C(C)C
Styrene formation,E2,,,c1ccc(C(C)Br)cc1>>C=Cc1ccccc1
Propene,E2,,,CCCBr>>CC=C
tert-Butyl,E1,,,CC(C)(C)Br>>CC(C)=C
Aldol product,Aldol,,,CC=O.CC=O>>CC(O)CC=O
Mixed aldol,Aldol,,,CC(=O)C.CC=O>>CC(O)C(C)C=O
Benzaldehyde,Aldol,,,c1ccc(C=O)cc1.CC(=O)C>>c1ccc(C(O)C(C)C=O)cc1
Propionaldehyde,Aldol,,,CCC=O.CC(=O)C>>CCC(O)C(C)C=O
Dehydration to cinnamaldehyde,Aldol,,,c1ccc(C=O)cc1.CC=O>>c1ccc(/C=C/C=O)cc1
Propene,Wittig,,,CC=O.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[base]>>C=CC
Diene,Wittig,,,c1ccc(C=O)cc1.C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(/C=C/C=C)cc1
"α,β-Unsaturated ester",Wittig,,,CC(=O)C.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCOC(=O)C=C(C)C
Propiophenone,Wittig,,,c1ccc(C=O)cc1.[Ph3P]=CHC>>c1ccc(C=CC)cc1
Simple,Mannich,reductive_amination,Reductive Amination,CC=O.NC.C=O>>CC(=O)CN
Pyrrolidine,Mannich,reductive_amination,Reductive Amination,c1ccc(C=O)cc1.C1CCNC1.C=O>>c1ccc(C(=O)CN1CCCC1)cc1
"Benzaldehyde + aniline, secondary amine",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccccc1.Nc1ccccc1>>c1ccc(CNc2ccccc2)cc1
"Acetaldehyde + methylamine, primary to secondary",Reductive Amination,reductive_amination,Reductive Amination,CC=O.NC>>CCNC
Benzaldehyde + ethylamine,Reductive Amination,reductive_amination,Reductive Amination,c1ccc(C=O)cc1.NCC>>c1ccc(CNCC)cc1
p-Anisaldehyde + methylamine,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccc(OC)cc1.NC>>COc1ccc(CNC)cc1
Benzaldehyde + butylamine,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccccc1.NCCCC>>c1ccc(CNCCCC)cc1
"Acetophenone + aniline, ketone substrate",Reductive Amination,reductive_amination,Reductive Amination,CC(=O)c1ccccc1.Nc1ccccc1>>c1ccc(NC(C)c2ccccc2)cc1
"Acetone + methylamine, ketone to sec-amine",Reductive Amination,reductive_amination,Reductive Amination,CC(=O)C.NC>>CC(C)NC
Cyclohexanone + aniline,Reductive Amination,reductive_amination,Reductive Amination,O=C1CCCCC1.Nc1ccccc1>>C1CCC(Nc2ccccc2)CC1
"p-Nitrobenzaldehyde, EWG substrate",Reductive Amination,reductive_amination|reduction_nitro,Reductive Amination|Nitro Reduction,O=Cc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(CNc2ccccc2)cc1
p-Chlorobenzaldehyde + propylamine,Reductive Amination,buchwald_hartwig|reductive_amination,Buchwald-Hartwig|Reductive Amination,O=Cc1ccc(Cl)cc1.NCCC>>Clc1ccc(CNCCC)cc1
"Pyridine-4-carbaldehyde, heteroaryl aldehyde",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccncc1.Nc1ccccc1>>c1ccc(NCc2ccncc2)cc1
"Pyrimidine-5-carbaldehyde, diazine substrate",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1cnccn1.NC>>CNc1cnccn1
"Benzaldehyde + glycine, amino acid",Reductive Amination,amide_coupling|reductive_amination,Amide Coupling|Reductive Amination,c1ccc(C=O)cc1.NCC(=O)O>>O=C(O)CNCc1ccccc1
"Benzaldehyde + isopropylamine, branched",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccccc1.NC(C)C>>c1ccc(CNC(C)C)cc1
"Acetaldehyde + piperidine, cyclic sec-amine",Reductive Amination,reductive_amination,Reductive Amination,CC=O.C1CCNCC1>>CCN1CCCCC1
"Benzaldehyde + p-anisidine, EDG amine",Reductive Amination,reductive_amination,Reductive Amination,c1ccc(C=O)cc1.Nc1ccc(OC)cc1>>COc1ccc(NCc2ccccc2)cc1
"Trifluoromethyl benzaldehyde, EWG",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(CNc2ccccc2)cc1
Butanone + aniline,Reductive Amination,reductive_amination,Reductive Amination,CC(=O)CC.Nc1ccccc1>>CCC(C)Nc1ccccc1
Cyclopentanone + methylamine,Reductive Amination,reductive_amination,Reductive Amination,O=C1CCCC1.NC>>CC1CCCNC1
Indole-3-carbaldehyde,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1c[nH]c2ccccc12.Nc1ccccc1>>c1ccc(NCc2c[nH]c3ccccc23)cc1
Benzofuran-2-carbaldehyde,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1coc2ccccc12.NC>>CNc1coc2ccccc12
Benzothiophene-2-carbaldehyde,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1csc2ccccc12.Nc1ccccc1>>c1ccc(NCc2csc3ccccc23)cc1
Isobutyraldehyde + aniline,Reductive Amination,reductive_amination,Reductive Amination,CC(C)C=O.Nc1ccccc1>>CC(C)CNc1ccccc1
Benzaldehyde + benzylamine,Reductive Amination,reductive_amination,Reductive Amination,c1ccc(C=O)cc1.NCc1ccccc1>>c1ccc(CNCc2ccccc2)cc1
Phenylacetaldehyde + aniline,Reductive Amination,reductive_amination,Reductive Amination,O=CCc1ccccc1.Nc1ccccc1>>c1ccc(CCCNc2ccccc2)cc1
"Butyraldehyde + alanine, chiral amino acid",Reductive Amination,amide_coupling|reductive_amination,Amide Coupling|Reductive Amination,CCCC=O.NC(C)C(=O)O>>CCCCNC(C)C(=O)O
2-Naphthaldehyde + aniline,Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccc2ccccc2c1.Nc1ccccc1>>c1ccc(NCc2ccc3ccccc3c2)cc1
p-Methoxyacetophenone + methylamine,Reductive Amination,reductive_amination,Reductive Amination,CC(=O)c1ccc(OC)cc1.NC>>COc1ccc(C(C)NC)cc1
"Dimethylamino benzaldehyde, EDG",Reductive Amination,reductive_amination,Reductive Amination,O=Cc1ccc(N(C)C)cc1.Nc1ccccc1>>CN(C)c1ccc(CNc2ccccc2)cc1
"1,5-diketone",Michael,,,C=CC(=O)C.CC(=O)CC(=O)C>>CC(=O)C(CC(=O)C)CC(=O)C
Malonate,Michael,,,C=CC(=O)OCC.CC(=O)CC(=O)OCC>>CCOC(=O)C(CC(=O)OCC)CC(=O)OCC
Chalcone,Michael,,,c1ccc(C=CC(=O)C)cc1.CC(=O)CC>>c1ccc(C(CC(C)=O)CC(=O)CC)cc1
Acetoacetate,Claisen,claisen_condensation,Claisen Condensation,CC(=O)OCC.CC(=O)OCC>>CC(=O)CC(=O)OCC
Benzoylacetate,Claisen,claisen_condensation,Claisen Condensation,c1ccc(C(=O)OC)cc1.CC(=O)OC>>c1ccc(C(=O)CC(=O)OC)cc1
Malononitrile,Knoevenagel,,,c1ccc(C=O)cc1.CC(C#N)C#N>>c1ccc(/C=C(C#N)C#N)cc1
Malonate,Knoevenagel,claisen_condensation,Claisen Condensation,CC=O.CC(C(=O)OCC)C(=O)OCC>>C/C=C(C(=O)OCC)C(=O)OCC
Nitroaldol,Henry,,,c1ccc(C=O)cc1.C[N+](=O)[O-]>>c1ccc(C(O)C[N+](=O)[O-])cc1
Nitropropanol,Henry,,,CC=O.CC[N+](=O)[O-]>>CC(O)CC[N+](=O)[O-]
,Reformatsky,,,c1ccc(C=O)cc1.BrCC(=O)OCC.[Zn]>>c1ccc(C(O)CC(=O)OCC)cc1
Acetaldehyde,Reformatsky,,,CC=O.BrCC(=O)OCC.[Zn]>>CC(O)CC(=O)OCC
Cinnamate,HWE,,,c1ccc(C=O)cc1.CCOP(=O)(OCC)CC(=O)OCC>>c1ccc(/C=C/C(=O)OCC)cc1
Crotonate,HWE,,,CC=O.CCOP(=O)(OCC)CC(=O)OCC>>C/C=C/C(=O)OCC
Tertiary alcohol,Grignard,,,CC=O.[Mg]Br.CC>>CC(O)(C)C
Secondary alcohol,Grignard,,,c1ccc(C=O)cc1.[Mg]Br.C>>c1ccc(C(O)C)cc1
Phenyl addition,Grignard,,,CC(=O)C.[Mg]Br.c1ccccc1>>CC(O)(c1ccccc1)C
,Ring-Closing Metathesis,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCCCC=C>>C=C.C1CCC=CC1
,Cross-Metathesis,,,C=CC=C.C=C>>C=CCC=C
,Rearrangement,,,CC(C)C(C([O-])=O)C(C)C>>CC(C)CC(C)(C)C(=O)O
,Ugi-type reaction,amide_coupling|reductive_amination,Amide Coupling|Reductive Amination,CC=O.NC.CC(=O)O>>CC1=C(C)OC(=O)C(C)(N)C1
,Carbazole synthesis,reduction_nitro,Nitro Reduction,c1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>c1ccc2[nH]c3ccccc3c2c1
,Quinoline synthesis,reductive_amination,Reductive Amination,Nc1ccccc1.c1ccc(C=O)cc1>>c1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1
Pyrrole,Paal-Knorr,reductive_amination,Reductive Amination,CC(=O)CC(=O)C.NC>>Cc1ccc(C)n1C
Simple pyrrole,Paal-Knorr,,,CC(=O)CCC(=O)C.N>>Cc1ccc(C)[nH]1
Diphenylpyrrole,Paal-Knorr,reductive_amination,Reductive Amination,c1ccc(C(=O)CCC(=O)c2ccccc2)cc1.NC>>c1ccc(-c2ccc(-c3ccccc3)n2C)cc1
Dihydropyridine,Hantzsch,claisen_condensation,Claisen Condensation,CC(=O)CC(=O)OCC.CC(=O)CC(=O)OCC.CC=O.N>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1
Dihydropyrimidinone,Biginelli,,,O=C(N)N.CC(=O)CC(=O)OCC.c1ccc(C=O)cc1>>CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
Acetaldehyde,Biginelli,,,O=C(N)N.CC(=O)CC(=O)OCC.CC=O>>CCOC(=O)C1=C(C)NC(=O)NC1C
,Fischer Indole,,,c1ccc(C(C)=O)cc1.c1ccc(NN)cc1>>Cc1c2ccccc2[nH]c1-c1ccccc1
3-Ethyl,Fischer Indole,,,CC(=O)CC.c1ccccc1NN>>CCc1c2ccccc2[nH]c1C
Tetrahydroisoquinoline,Pictet-Spengler,reductive_amination|oxidation_alcohol,Reductive Amination|Alcohol Oxidation,NCCc1ccc(O)cc1.CC=O>>Cc1nccc2ccc(O)cc12
β-Carboline,Pictet-Spengler,,,NCCc1c[nH]c2ccccc12.C=O>>c1ccc2[nH]cc3c2c1CCN3
,Benzimidazole from o-phenylenediamine,reductive_amination,Reductive Amination,c1ccc(c(N)c1)N.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3[nH]2)cc1
Acetic acid,Benzimidazole,amide_coupling,Amide Coupling,c1ccc(c(N)c1)N.CC(=O)O>>Cc1nc2ccccc2[nH]1
,Benzoxazole,reductive_amination|oxidation_alcohol,Reductive Amination|Alcohol Oxidation,c1ccc(c(N)c1)O.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3o2)cc1
