example,expected,detected_ids,detected_names,smiles
Benzyl alcohol oxidation,MnO2,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1>>c1ccc(C=O)cc1
Acetone,Jones Oxidation,,,CC(O)C>>CC(=O)C
Acetophenone,Dess-Martin,halogenation_aromatic,Aromatic Halogenation,c1ccc(C(O)C)cc1>>c1ccc(C(=O)C)cc1
Diol to diketone,IBX,,,CC(O)CCO>>CC(=O)CC=O
Alcohol to acid,TEMPO,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1>>c1ccc(C(=O)O)cc1
Cyclohexylmethanol,PCC,,,C1CCC(CO)CC1>>C1CCC(C=O)CC1
Styrene epoxidation,mCPBA,epoxidation|ring_closing_metathesis|halogenation_aromatic,Epoxidation|Ring-Closing Metathesis|Aromatic Halogenation,C=Cc1ccccc1.[O]>>C1OC1c1ccccc1
Isobutylene oxide,mCPBA,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=C(C)C.[O]>>CC1(C)CO1
Diepoxide,mCPBA,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCCCCC=C.[O]>>C1OC1CCCCC1CO1
Phenyl acetate,Baeyer-Villiger,halogenation_aromatic,Aromatic Halogenation,CC(=O)c1ccccc1.[O]>>CC(=O)Oc1ccccc1
Caprolactone,Baeyer-Villiger,,,O=C1CCCCC1.[O]>>O=C1OCCCC1
,Sulfide to sulfoxide,halogenation_aromatic,Aromatic Halogenation,CSc1ccccc1.[O]>>CS(=O)c1ccccc1
,Sulfide to sulfone,halogenation_aromatic,Aromatic Halogenation,CSc1ccccc1.[O]>>CS(=O)(=O)c1ccccc1
Simple,DielsâAlder,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CC=C.C=C>>C1C=CCC1
Substituted,DielsâAlder,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CC(=C)C.C=CC(=O)OCC>>CC1=CC(C(=O)OCC)CC(C)=C1
Naphthyl,DielsâAlder,epoxidation|halogenation_aromatic|ring_closing_metathesis,Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,c1ccc2ccccc2c1C=CC=C.C=CC(=O)C>>O=C1CCc2c(ccc3ccccc23)C1
Triazole,CuAAC Click,halogenation_aromatic,Aromatic Halogenation,C#CCO.c1ccc([N-][N+]#N)cc1>>c1ccccc1n1cc(CO)nn1
Phenyl triazole,Click,halogenation_aromatic,Aromatic Halogenation,C#Cc1ccccc1.C[N-][N+]#N>>Cc1nnn(-c2ccccc2)c1
Ether-substituted triazole,Click,,,C#CCCOC.CC[N-][N+]#N>>CCn1ncc(CCOC)n1
Benzyl azide + propargyl alcohol,Click,halogenation_aromatic,Aromatic Halogenation,C#CC(C)(C)O.c1ccc(C[N-][N+]#N)cc1>>CC(C)(O)Cn1cc(Cc2ccccc2)nn1
Primary alcohol,SN2,,,CCCCBr>>CCCCO
isopropyl alcohol,SN2,,,CC(Br)C>>CC(O)C
Nitrile formation,SN2,,,CCBr.N#C>>CCC#N
Phenoxide,SN2,halogenation_aromatic,Aromatic Halogenation,CCCCBr.Oc1ccccc1>>CCCCOc1ccccc1
Thioether formation,SN2,,,CI.SC>>CSC
Finkelstein halide exchange,SN2,,,CCCBr.[I-]>>CCCI
Dinitrile,SN2,,,BrCCCCCl.[C-]#N>>N#CCCCCCN
Benzyl alcohol,SN2,halogenation_aromatic,Aromatic Halogenation,ICc1ccccc1>>OCc1ccccc1
Azide substitution,SN2,,,BrCC(=O)OC.[N-]=[N+]=[N-]>>[N-]=[N+]=[N-]CC(=O)OC
Thioether Formation,CâS coupling,halogenation_aromatic,Aromatic Halogenation,Brc1ccccc1.Sc1ccccc1>>c1ccccc1Sc1ccccc1
Thioether Formation,CâS coupling,halogenation_aromatic,Aromatic Halogenation,Clc1ccc(C)cc1.Sc1ccccc1>>Cc1ccc(Sc2ccccc2)cc1
Pyridine thioether,CâS coupling,halogenation_aromatic,Aromatic Halogenation,Brc1ccncc1.SCC>>CCSc1ccncc1
Benzyl thioether,CâS coupling,halogenation_aromatic,Aromatic Halogenation,Ic1ccc(C(F)(F)F)cc1.SCc1ccccc1>>FC(F)(F)c1ccc(SCc2ccccc2)cc1
Methyl thioether,CâS coupling,halogenation_aromatic,Aromatic Halogenation,Brc1ccc(OC)cc1.SC>>CSc1ccc(OC)cc1
tert-Butyl,SN1,,,CC(C)(C)Br.O>>CC(C)(C)O
Benzyl tertiary,SN1,halogenation_aromatic,Aromatic Halogenation,c1ccc(C(C)(C)Cl)cc1.O>>c1ccc(C(C)(C)O)cc1
Nitrofluorobenzene,SNAr,halogenation_aromatic|reduction_nitro,Aromatic Halogenation|Nitro Reduction,Fc1ccc([N+](=O)[O-])cc1>>[O-][N+](=O)c1ccc(O)cc1
Cyanuric chloride,SNAr,,,Clc1nc(Cl)nc(Cl)n1.OC>>COc1nc(Cl)nc(Cl)n1
Dinitrofluorobenzene,SNAr,snar_cn|halogenation_aromatic|reduction_nitro,SNAr C-N|Aromatic Halogenation|Nitro Reduction,Fc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1.NC>>[O-][N+](=O)c1cc([N+](=O)[O-])cc(NC)c1
Trifluoromethyl activation,SNAr,halogenation_aromatic,Aromatic Halogenation,Fc1ccc(C(F)(F)F)cc1.Oc1ccccc1>>FC(F)(F)c1ccc(Oc2ccccc2)cc1
Pyridine,SNAr,halogenation_aromatic,Aromatic Halogenation,Clc1ccncc1.OC>>COc1ccncc1
,Allylic SN2,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCC(Br)C>>C=CCC(C)O
Thiol,Allylic substitution,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCCC(Cl)C.SC>>C=CCCC(C)SC
Iodide exchange,Finkelstein,,,CCCCBr.[I-]>>CCCCI
Benzyl,Finkelstein,halogenation_aromatic,Aromatic Halogenation,c1ccc(CCl)cc1.[I-]>>c1ccc(CI)cc1
Alcohol to chloride,Appel,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.ClP(c1ccccc1)(c1ccccc1)c1ccccc1.C(Cl)(Cl)(Cl)Cl>>c1ccc(CCl)cc1
Alcohol to bromide,Appel,halogenation_aromatic,Aromatic Halogenation,CCCCO.BrP(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCCBr
Ether,Mitsunobu,claisen_condensation|halogenation_aromatic|oxidation_alcohol,Claisen Condensation|Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.Oc1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COc2ccccc2)cc1
Amide,Mitsunobu,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,CCCO.NC(=O)c1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCNC(=O)c1ccccc1
Propene from 2-bromopropane,E2,,,CC(Br)C>>CC=C
Zaitsev product,E2,,,CC(Br)C(C)C>>CC=C(C)C
Styrene formation,E2,halogenation_aromatic,Aromatic Halogenation,c1ccc(C(C)Br)cc1>>C=Cc1ccccc1
Propene,E2,,,CCCBr>>CC=C
tert-Butyl,E1,,,CC(C)(C)Br>>CC(C)=C
Aldol product,Aldol,,,CC=O.CC=O>>CC(O)CC=O
Mixed aldol,Aldol,,,CC(=O)C.CC=O>>CC(O)C(C)C=O
Benzaldehyde,Aldol,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.CC(=O)C>>c1ccc(C(O)C(C)C=O)cc1
Propionaldehyde,Aldol,,,CCC=O.CC(=O)C>>CCC(O)C(C)C=O
Dehydration to cinnamaldehyde,Aldol,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.CC=O>>c1ccc(/C=C/C=O)cc1
Propene,Wittig,halogenation_aromatic,Aromatic Halogenation,CC=O.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>C=CC
Diene,Wittig,epoxidation|halogenation_aromatic|ring_closing_metathesis,Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,c1ccc(C=O)cc1.C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(/C=C/C=C)cc1
"Î±,Î²-Unsaturated ester",Wittig,halogenation_aromatic,Aromatic Halogenation,CC(=O)C.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCOC(=O)C=C(C)C
Propiophenone,Wittig,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(C=CC)cc1
Simple,Mannich,reductive_amination,Reductive Amination,CC=O.NC.C=O>>CC(=O)CN
Pyrrolidine,Mannich,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C=O)cc1.C1CCNC1.C=O>>c1ccc(C(=O)CN1CCCC1)cc1
"Benzaldehyde + aniline, secondary amine",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccccc1.Nc1ccccc1>>c1ccc(CNc2ccccc2)cc1
"Acetaldehyde + methylamine, primary to secondary",Reductive Amination,reductive_amination,Reductive Amination,CC=O.NC>>CCNC
Benzaldehyde + ethylamine,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C=O)cc1.NCC>>c1ccc(CNCC)cc1
p-Anisaldehyde + methylamine,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccc(OC)cc1.NC>>COc1ccc(CNC)cc1
Benzaldehyde + butylamine,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccccc1.NCCCC>>c1ccc(CNCCCC)cc1
"Acetophenone + aniline, ketone substrate",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,CC(=O)c1ccccc1.Nc1ccccc1>>c1ccc(NC(C)c2ccccc2)cc1
"Acetone + methylamine, ketone to sec-amine",Reductive Amination,reductive_amination,Reductive Amination,CC(=O)C.NC>>CC(C)NC
Cyclohexanone + aniline,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=C1CCCCC1.Nc1ccccc1>>C1CCC(Nc2ccccc2)CC1
"p-Nitrobenzaldehyde, EWG substrate",Reductive Amination,reductive_amination|halogenation_aromatic|reduction_nitro,Reductive Amination|Aromatic Halogenation|Nitro Reduction,O=Cc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(CNc2ccccc2)cc1
p-Chlorobenzaldehyde + propylamine,Reductive Amination,buchwald_hartwig|reductive_amination|halogenation_aromatic,Buchwald-Hartwig|Reductive Amination|Aromatic Halogenation,O=Cc1ccc(Cl)cc1.NCCC>>Clc1ccc(CNCCC)cc1
"Pyridine-4-carbaldehyde, heteroaryl aldehyde",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccncc1.Nc1ccccc1>>c1ccc(NCc2ccncc2)cc1
"Pyrimidine-5-carbaldehyde, diazine substrate",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1cnccn1.NC>>CNc1cnccn1
"Benzaldehyde + glycine, amino acid",Reductive Amination,amide_coupling|reductive_amination|halogenation_aromatic,Amide Coupling|Reductive Amination|Aromatic Halogenation,c1ccc(C=O)cc1.NCC(=O)O>>O=C(O)CNCc1ccccc1
"Benzaldehyde + isopropylamine, branched",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccccc1.NC(C)C>>c1ccc(CNC(C)C)cc1
"Acetaldehyde + piperidine, cyclic sec-amine",Reductive Amination,reductive_amination,Reductive Amination,CC=O.C1CCNCC1>>CCN1CCCCC1
"Benzaldehyde + p-anisidine, EDG amine",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C=O)cc1.Nc1ccc(OC)cc1>>COc1ccc(NCc2ccccc2)cc1
"Trifluoromethyl benzaldehyde, EWG",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(CNc2ccccc2)cc1
Butanone + aniline,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,CC(=O)CC.Nc1ccccc1>>CCC(C)Nc1ccccc1
Cyclopentanone + methylamine,Reductive Amination,reductive_amination,Reductive Amination,O=C1CCCC1.NC>>CC1CCCNC1
Indole-3-carbaldehyde,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1c[nH]c2ccccc12.Nc1ccccc1>>c1ccc(NCc2c[nH]c3ccccc23)cc1
Benzofuran-2-carbaldehyde,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1coc2ccccc12.NC>>CNc1coc2ccccc12
Benzothiophene-2-carbaldehyde,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1csc2ccccc12.Nc1ccccc1>>c1ccc(NCc2csc3ccccc23)cc1
Isobutyraldehyde + aniline,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,CC(C)C=O.Nc1ccccc1>>CC(C)CNc1ccccc1
Benzaldehyde + benzylamine,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C=O)cc1.NCc1ccccc1>>c1ccc(CNCc2ccccc2)cc1
Phenylacetaldehyde + aniline,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=CCc1ccccc1.Nc1ccccc1>>c1ccc(CCCNc2ccccc2)cc1
"Butyraldehyde + alanine, chiral amino acid",Reductive Amination,amide_coupling|reductive_amination,Amide Coupling|Reductive Amination,CCCC=O.NC(C)C(=O)O>>CCCCNC(C)C(=O)O
2-Naphthaldehyde + aniline,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccc2ccccc2c1.Nc1ccccc1>>c1ccc(NCc2ccc3ccccc3c2)cc1
p-Methoxyacetophenone + methylamine,Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,CC(=O)c1ccc(OC)cc1.NC>>COc1ccc(C(C)NC)cc1
"Dimethylamino benzaldehyde, EDG",Reductive Amination,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=Cc1ccc(N(C)C)cc1.Nc1ccccc1>>CN(C)c1ccc(CNc2ccccc2)cc1
"1,5-diketone",Michael,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CC(=O)C.CC(=O)CC(=O)C>>CC(=O)C(CC(=O)C)CC(=O)C
Malonate,Michael,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CC(=O)OCC.CC(=O)CC(=O)OCC>>CCOC(=O)C(CC(=O)OCC)CC(=O)OCC
Chalcone,Michael,epoxidation|halogenation_aromatic|ring_closing_metathesis,Epoxidation|Aromatic Halogenation|Ring-Closing Metathesis,c1ccc(C=CC(=O)C)cc1.CC(=O)CC>>c1ccc(C(CC(C)=O)CC(=O)CC)cc1
Acetoacetate,Claisen,claisen_condensation,Claisen Condensation,CC(=O)OCC.CC(=O)OCC>>CC(=O)CC(=O)OCC
Benzoylacetate,Claisen,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,c1ccc(C(=O)OC)cc1.CC(=O)OC>>c1ccc(C(=O)CC(=O)OC)cc1
Malononitrile,Knoevenagel,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.CC(C#N)C#N>>c1ccc(/C=C(C#N)C#N)cc1
Malonate,Knoevenagel,claisen_condensation,Claisen Condensation,CC=O.CC(C(=O)OCC)C(=O)OCC>>C/C=C(C(=O)OCC)C(=O)OCC
Nitroaldol,Henry,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.C[N+](=O)[O-]>>c1ccc(C(O)C[N+](=O)[O-])cc1
Nitropropanol,Henry,,,CC=O.CC[N+](=O)[O-]>>CC(O)CC[N+](=O)[O-]
,Reformatsky,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.BrCC(=O)OCC.[Zn]>>c1ccc(C(O)CC(=O)OCC)cc1
Acetaldehyde,Reformatsky,,,CC=O.BrCC(=O)OCC.[Zn]>>CC(O)CC(=O)OCC
Cinnamate,HWE,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.CCOP(=O)(OCC)CC(=O)OCC>>c1ccc(/C=C/C(=O)OCC)cc1
Crotonate,HWE,,,CC=O.CCOP(=O)(OCC)CC(=O)OCC>>C/C=C/C(=O)OCC
Tertiary alcohol,Grignard,,,CC=O.[Mg]Br.CC>>CC(O)(C)C
Secondary alcohol,Grignard,halogenation_aromatic,Aromatic Halogenation,c1ccc(C=O)cc1.[Mg]Br.C>>c1ccc(C(O)C)cc1
Phenyl addition,Grignard,halogenation_aromatic,Aromatic Halogenation,CC(=O)C.[Mg]Br.c1ccccc1>>CC(O)(c1ccccc1)C
,Ring-Closing Metathesis,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CCCCC=C>>C=C.C1CCC=CC1
,Cross-Metathesis,epoxidation|ring_closing_metathesis,Epoxidation|Ring-Closing Metathesis,C=CC=C.C=C>>C=CCC=C
,Rearrangement,,,CC(C)C(C([O-])=O)C(C)C>>CC(C)CC(C)(C)C(=O)O
,Ugi-type reaction,amide_coupling|reductive_amination,Amide Coupling|Reductive Amination,CC=O.NC.CC(=O)O>>CC1=C(C)OC(=O)C(C)(N)C1
,Carbazole synthesis,halogenation_aromatic|reduction_nitro,Aromatic Halogenation|Nitro Reduction,c1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>c1ccc2[nH]c3ccccc3c2c1
,Quinoline synthesis,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,Nc1ccccc1.c1ccc(C=O)cc1>>c1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1
Pyrrole,Paal-Knorr,reductive_amination,Reductive Amination,CC(=O)CC(=O)C.NC>>Cc1ccc(C)n1C
Simple pyrrole,Paal-Knorr,,,CC(=O)CCC(=O)C.N>>Cc1ccc(C)[nH]1
Diphenylpyrrole,Paal-Knorr,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C(=O)CCC(=O)c2ccccc2)cc1.NC>>c1ccc(-c2ccc(-c3ccccc3)n2C)cc1
Dihydropyridine,Hantzsch,claisen_condensation,Claisen Condensation,CC(=O)CC(=O)OCC.CC(=O)CC(=O)OCC.CC=O.N>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1
Dihydropyrimidinone,Biginelli,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,O=C(N)N.CC(=O)CC(=O)OCC.c1ccc(C=O)cc1>>CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
Acetaldehyde,Biginelli,reductive_amination,Reductive Amination,O=C(N)N.CC(=O)CC(=O)OCC.CC=O>>CCOC(=O)C1=C(C)NC(=O)NC1C
,Fischer Indole,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(C(C)=O)cc1.c1ccc(NN)cc1>>Cc1c2ccccc2[nH]c1-c1ccccc1
3-Ethyl,Fischer Indole,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,CC(=O)CC.c1ccccc1NN>>CCc1c2ccccc2[nH]c1C
Tetrahydroisoquinoline,Pictet-Spengler,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,NCCc1ccc(O)cc1.CC=O>>Cc1nccc2ccc(O)cc12
Î²-Carboline,Pictet-Spengler,halogenation_aromatic,Aromatic Halogenation,NCCc1c[nH]c2ccccc12.C=O>>c1ccc2[nH]cc3c2c1CCN3
,Benzimidazole from o-phenylenediamine,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(c(N)c1)N.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3[nH]2)cc1
Acetic acid,Benzimidazole,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,c1ccc(c(N)c1)N.CC(=O)O>>Cc1nc2ccccc2[nH]1
,Benzoxazole,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(c(N)c1)O.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3o2)cc1
Acetic acid,Benzoxazole,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,c1ccc(c(N)c1)O.CC(=O)O>>Cc1nc2ccccc2o1
,Benzothiazole,reductive_amination|halogenation_aromatic,Reductive Amination|Aromatic Halogenation,c1ccc(c(N)c1)S.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3s2)cc1
,Imidazole,reductive_amination,Reductive Amination,CC(=O)C=O.NC=O.N>>Cc1nccn1C
Aniline,Boc Protection,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,c1ccc(N)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)Nc1ccccc1
Phenethylamine,Boc Protection,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,NCCc1ccccc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)NCCc1ccccc1
TFA or HCl,Boc Deprotection,halogenation_aromatic,Aromatic Halogenation,CC(C)(C)OC(=O)Nc1ccccc1>>c1ccc(N)cc1
Aniline,Cbz Protection,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,c1ccc(N)cc1.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(Nc1ccccc1)OCc1ccccc1
Glycine,Cbz Protection,amide_coupling|claisen_condensation|halogenation_aromatic,Amide Coupling|Claisen Condensation|Aromatic Halogenation,NCC(=O)O.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(NCC(=O)O)OCc1ccccc1
Hydrogenolysis,Cbz Deprotection,halogenation_aromatic,Aromatic Halogenation,O=C(Nc1ccccc1)OCc1ccccc1.[H][H].[Pd]>>c1ccc(N)cc1
,FMOC Protection,claisen_condensation|halogenation_aromatic,Claisen Condensation|Aromatic Halogenation,c1ccc(N)cc1.O=C1OC(=O)c2ccccc21>>O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
Base,FMOC Deprotection,halogenation_aromatic,Aromatic Halogenation,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21>>c1ccc(N)cc1
Benzyl alcohol,TBS Protection,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCc1ccccc1
Diol,TBS Protection,,,OCCO.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCCO[Si](C)(C)C(C)(C)C
TBAF,TBS Deprotection,halogenation_aromatic,Aromatic Halogenation,CC(C)(C)[Si](C)(C)OCc1ccccc1.[F-]>>c1ccc(CO)cc1
,PMB Protection,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.BrCc1ccc(OC)cc1>>COc1ccc(COCc2ccccc2)cc1
DDQ,PMB Deprotection,halogenation_aromatic,Aromatic Halogenation,COc1ccc(COCc2ccccc2)cc1>>c1ccc(CO)cc1
Glycerol,Acetonide Protection,,,OCC(O)CO.CC(=O)C>>CC1(C)OCC(CO)O1
Acid,Acetonide Deprotection,,,CC1(C)OCC(CO)O1.[H+]>>OCC(O)CO
,Bn Protection,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.BrCc1ccccc1>>c1ccc(COCc2ccccc2)cc1
Hydrogenolysis,Bn Deprotection,halogenation_aromatic,Aromatic Halogenation,c1ccc(COCc2ccccc2)cc1.[H][H].[Pd]>>c1ccc(CO)cc1
,Trityl Protection,halogenation_aromatic|oxidation_alcohol,Aromatic Halogenation|Alcohol Oxidation,c1ccc(CO)cc1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
,Trityl Deprotection,halogenation_aromatic,Aromatic Halogenation,c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.[H+]>>c1ccc(CO)cc1
,Amide: Benzoic acid + aniline,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
,Amide: Acetic acid + benzylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,CC(=O)O.NCc1ccccc1>>CC(=O)NCc1ccccc1
,Amide: Phenylacetic acid + cyclohexylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)CCc1ccccc1.NC1CCCCC1>>O=C(N1CCCCC1)CCc1ccccc1
,Amide: Pivalic acid + p-toluidine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,CC(C)(C)C(=O)O.Nc1ccc(C)cc1>>CC(C)(C)C(=O)Nc1ccc(C)cc1
,Amide: 4-Fluorobenzoic acid + phenethylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc(F)cc1.NCCc1ccccc1>>O=C(NCCc1ccccc1)c1ccc(F)cc1
,Amide: p-Methoxybenzoic acid + cyclopropylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc(OC)cc1.NC1CC1>>COc1ccc(C(=O)NC2CC2)cc1
,Amide: 4-Cyanobenzoic acid + butylamine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc(C#N)cc1.NCCCC>>N#Cc1ccc(C(=O)NCCCC)cc1
,Amide: 4-Nitrobenzoic acid + tert-butylamine,amide_coupling|halogenation_aromatic|reduction_nitro,Amide Coupling|Aromatic Halogenation|Nitro Reduction,O=C(O)c1ccc([N+](=O)[O-])cc1.NC(C)(C)C>>CC(C)(C)NC(=O)c1ccc([N+](=O)[O-])cc1
,Amide: 3-Chlorobenzoic acid + 4-picolylamine,amide_coupling|buchwald_hartwig|halogenation_aromatic,Amide Coupling|Buchwald-Hartwig|Aromatic Halogenation,O=C(O)c1cccc(Cl)c1.NCc1ccncc1>>O=C(NCc1ccncc1)c1cccc(Cl)c1
,Amide: 2-Naphthoic acid + 4-aminopiperidine,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccc2ccccc2c1.NC1CCNCC1>>O=C(N1CCC(N)CC1)c1ccc2ccccc2c1
,Amide: Isonicotinic acid + aniline,amide_coupling|halogenation_aromatic,Amide Coupling|Aromatic Halogenation,O=C(O)c1ccncc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccncc1
