reaction_type,example,rxn_smiles
Buchwald-Hartwig amination,4-iodobenzotrifluoride + caprolactam,Ic1ccc(C(F)(F)F)cc1.C1CCCCNC1=O>>FC(F)(F)c1ccc(N2CCCCC2=O)cc1
Buchwald-Hartwig amination,"Ph-Br + acetamide, alternative",Brc1ccccc1.NC(C)=O>>CC(=O)Nc1ccccc1
Buchwald-Hartwig amination,Ph-Br + isonicotinamide,Brc1ccccc1.NC(=O)c1ccncc1>>O=C(Nc1ccccc1)c1ccncc1
Buchwald-Hartwig amination,4-chlorobenzonitrile + isonicotinamide,Clc1ccc(C#N)cc1.NC(=O)c1ccncc1>>N#Cc1ccc(NC(=O)c2ccncc2)cc1
Buchwald-Hartwig amination,Ph-Br + thiophene-3-carboxamide,Brc1ccccc1.NC(=O)c1cccs1>>O=C(Nc1ccccc1)c1cccs1
Buchwald-Hartwig amination,4-bromoanisole + thiophene-3-carboxamide,Brc1ccc(OC)cc1.NC(=O)c1cccs1>>COc1ccc(NC(=O)c2cccs2)cc1
Buchwald-Hartwig amination,Ph-Br + furan-3-carboxamide,Brc1ccccc1.NC(=O)c1ccco1>>O=C(Nc1ccccc1)c1ccco1
Buchwald-Hartwig amination,"2-bromotoluene + acetamide, ortho-substituted",Brc1ccccc1C.NC(=O)C>>CC(=O)Nc1ccccc1C
Buchwald-Hartwig amination,"2,6-dimethylbromobenzene + benzamide, sterically hindered",Brc1c(C)cccc1C.NC(=O)c1ccccc1>>Cc1cccc(C)c1NC(=O)c1ccccc1
Buchwald-Hartwig amination,"2-iodonaphthalene + acetamide, fused ring",Ic1ccc2ccccc2c1.NC(=O)C>>CC(=O)Nc1ccc2ccccc2c1
Buchwald-Hartwig amination,"1,4-dibromobenzene + acetamide, bis-coupling",Brc1ccc(Br)cc1.NC(=O)C>>CC(=O)Nc1ccc(NC(C)=O)cc1
ChanLam coupling,Oxidative,c1ccccc1B(O)O.Nc1ccccc1.[O]>>c1ccccc1Nc1ccccc1
ChanLam coupling,Methoxy boronic acid,c1ccc(OC)cc1B(O)O.Nc1ccccc1.[O]>>COc1ccc(Nc2ccccc2)cc1
ChanLam coupling,Pyridine boronic acid,c1ccncc1B(O)O.Nc1ccccc1.[O]>>c1ccccc1Nc1ccncc1
Ullmann CO coupling,Diphenyl ether,Brc1ccccc1.Oc1ccccc1>>c1ccccc1Oc1ccccc1
Ullmann CO coupling,Ethyl pyridyl ether,Ic1ccncc1.OCC>>CCOc1ccncc1
Ullmann CO coupling,CF3 substrate,Brc1ccc(C(F)(F)F)cc1.Oc1ccccc1>>FC(F)(F)c1ccc(Oc2ccccc2)cc1
Ullmann CO coupling,Methoxy benzonitrile,Clc1ccc(C#N)cc1.OC>>COc1ccc(C#N)cc1
Ullmann CO coupling,Thiophene ether,Brc1cccs1.Oc1ccccc1>>c1cc(Oc2ccccc2)sc1
Esterification,Ethyl acetate,CC(=O)O.CCO>>CC(=O)OCC
Esterification,Ethyl benzoate,c1ccc(C(=O)O)cc1.OCC>>c1ccc(C(=O)OCC)cc1
Acyl chloride esterification,,CC(=O)Cl.CCO>>CC(=O)OCC
Amidation,Acetanilide,CC(=O)O.Nc1ccccc1>>CC(=O)Nc1ccccc1
Amidation,N-ethylbenzamide,c1ccc(C(=O)O)cc1.NCC>>c1ccc(C(=O)NCC)cc1
Hydrogenation,Ethylbenzene,C=Cc1ccccc1.[H][H]>>CCc1ccccc1
Hydrogenation,Benzyl alcohol,c1ccc(C=O)cc1.[H][H]>>c1ccc(CO)cc1
Hydrogenation,Complete alkyne,C#Cc1ccccc1.[H][H]>>CCc1ccccc1
Hydrogenation,Nitro to amine,c1ccc([N+](=O)[O-])cc1.[H][H]>>c1ccc(N)cc1
Hydrogenation,"1,3-butadiene",C=CC=C.[H][H]>>CCCC
Hydrogenation,Nitrile to benzylamine,c1ccc(C#N)cc1.[H][H]>>c1ccc(CN)cc1
Hydrogenation,Cyclohexanone to cyclohexanol,O=C1CCCCC1.[H][H]>>OC1CCCCC1
Hydrogenation,Cinnamic acid,C1=CC=C(C=C1)C=CC(=O)O.[H][H]>>c1ccc(CCC(=O)O)cc1
NaBH4,Benzaldehyde reduction,c1ccc(C=O)cc1.[Na+]>>c1ccc(CO)cc1
NaBH4,Acetophenone,CC(=O)c1ccccc1.[Na+]>>CC(O)c1ccccc1
LiAlH4,Ketone reduction,c1ccc(C(=O)C)cc1.[Li+]>>c1ccc(C(O)C)cc1
LiAlH4,Ester to alcohol,CC(=O)OCC.[Li+]>>CCO
LiAlH4,Nitrile reduction,c1ccc(C#N)cc1.[Li+]>>c1ccc(CN)cc1
LiAlH4,Amide to amine,c1ccc(C(=O)Nc2ccccc2)cc1.[Li+]>>c1ccccc1CNc1ccccc1
LiAlH4,Lactone to diol,O=C1CCC(=O)O1.[Li+]>>OCCCO
NaBH4,Selective reduction,CC(=O)OC(=O)C.[Na+]>>CC(=O)CO
Transfer Hydrogenation,Acetophenone,CC(=O)c1ccccc1.C1CCNC1>>CC(O)c1ccccc1
Transfer Hydrogenation,Benzaldehyde,c1ccc(C=O)cc1.CCOC(=O)C=O>>c1ccc(CO)cc1
Zn/HCl,Nitro reduction,c1ccc([N+](=O)[O-])cc1.[Zn]>>c1ccc(N)cc1
Birch Reduction,Benzene to cyclohexadiene,C1=CC=CC=C1>>C1CCC=CC1
Birch Reduction,Anisole,c1ccc(OC)cc1>>COC1C=CCC=C1
NaBH(OAc)3,Selective ketone,c1ccc(C(=O)C=C)cc1>>c1ccc(C(O)C=C)cc1
DIBAL,Ketone selective,CC(=O)CC=C>>CC(O)CC=C
DIBAL,Ester to aldehyde,CC(=O)OCC>>CC=O
Oxidation,Benzyl alcohol to aldehyde,c1ccc(CO)cc1.[O]>>c1ccc(C=O)cc1
Oxidation,Secondary alcohol to ketone,CC(O)c1ccccc1.[O]>>CC(=O)c1ccccc1
Oxidation,Ethanol to acetaldehyde,CCO.[O]>>CC=O
PCC Oxidation,,c1ccc(CO)cc1.Cl[Cr](=O)(=O)OC(C)(C)C>>c1ccc(C=O)cc1
Swern-type oxidation,,CCO.OS(=O)(=O)O>>CC=O
MnO2,Benzyl alcohol oxidation,c1ccc(CO)cc1>>c1ccc(C=O)cc1
Jones Oxidation,Acetone,CC(O)C>>CC(=O)C
Dess-Martin,Acetophenone,c1ccc(C(O)C)cc1>>c1ccc(C(=O)C)cc1
IBX,Diol to diketone,CC(O)CCO>>CC(=O)CC=O
TEMPO,Alcohol to acid,c1ccc(CO)cc1>>c1ccc(C(=O)O)cc1
PCC,Cyclohexylmethanol,C1CCC(CO)CC1>>C1CCC(C=O)CC1
mCPBA,Styrene epoxidation,C=Cc1ccccc1.[O]>>C1OC1c1ccccc1
mCPBA,Isobutylene oxide,C=C(C)C.[O]>>CC1(C)CO1
mCPBA,Diepoxide,C=CCCCCC=C.[O]>>C1OC1CCCCC1CO1
Baeyer-Villiger,Phenyl acetate,CC(=O)c1ccccc1.[O]>>CC(=O)Oc1ccccc1
Baeyer-Villiger,Caprolactone,O=C1CCCCC1.[O]>>O=C1OCCCC1
Sulfide to sulfoxide,,CSc1ccccc1.[O]>>CS(=O)c1ccccc1
Sulfide to sulfone,,CSc1ccccc1.[O]>>CS(=O)(=O)c1ccccc1
DielsAlder,Simple,C=CC=C.C=C>>C1C=CCC1
DielsAlder,Substituted,C=CC(=C)C.C=CC(=O)OCC>>CC1=CC(C(=O)OCC)CC(C)=C1
DielsAlder,Naphthyl,c1ccc2ccccc2c1C=CC=C.C=CC(=O)C>>O=C1CCc2c(ccc3ccccc23)C1
CuAAC Click,Triazole,C#CCO.c1ccc([N-][N+]#N)cc1>>c1ccccc1n1cc(CO)nn1
Click,Phenyl triazole,C#Cc1ccccc1.C[N-][N+]#N>>Cc1nnn(-c2ccccc2)c1
Click,Ether-substituted triazole,C#CCCOC.CC[N-][N+]#N>>CCn1ncc(CCOC)n1
Click,Benzyl azide + propargyl alcohol,C#CC(C)(C)O.c1ccc(C[N-][N+]#N)cc1>>CC(C)(O)Cn1cc(Cc2ccccc2)nn1
SN2,Primary alcohol,CCCCBr>>CCCCO
SN2,isopropyl alcohol,CC(Br)C>>CC(O)C
SN2,Nitrile formation,CCBr.N#C>>CCC#N
SN2,Phenoxide,CCCCBr.Oc1ccccc1>>CCCCOc1ccccc1
SN2,Thioether formation,CI.SC>>CSC
SN2,Finkelstein halide exchange,CCCBr.[I-]>>CCCI
SN2,Dinitrile,BrCCCCCl.[C-]#N>>N#CCCCCCN
SN2,Benzyl alcohol,ICc1ccccc1>>OCc1ccccc1
SN2,Azide substitution,BrCC(=O)OC.[N-]=[N+]=[N-]>>[N-]=[N+]=[N-]CC(=O)OC
CS coupling,Thioether Formation,Brc1ccccc1.Sc1ccccc1>>c1ccccc1Sc1ccccc1
CS coupling,Thioether Formation,Clc1ccc(C)cc1.Sc1ccccc1>>Cc1ccc(Sc2ccccc2)cc1
CS coupling,Pyridine thioether,Brc1ccncc1.SCC>>CCSc1ccncc1
CS coupling,Benzyl thioether,Ic1ccc(C(F)(F)F)cc1.SCc1ccccc1>>FC(F)(F)c1ccc(SCc2ccccc2)cc1
CS coupling,Methyl thioether,Brc1ccc(OC)cc1.SC>>CSc1ccc(OC)cc1
SN1,tert-Butyl,CC(C)(C)Br.O>>CC(C)(C)O
SN1,Benzyl tertiary,c1ccc(C(C)(C)Cl)cc1.O>>c1ccc(C(C)(C)O)cc1
SNAr,Nitrofluorobenzene,Fc1ccc([N+](=O)[O-])cc1>>[O-][N+](=O)c1ccc(O)cc1
SNAr,Cyanuric chloride,Clc1nc(Cl)nc(Cl)n1.OC>>COc1nc(Cl)nc(Cl)n1
SNAr,Dinitrofluorobenzene,Fc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1.NC>>[O-][N+](=O)c1cc([N+](=O)[O-])cc(NC)c1
SNAr,Trifluoromethyl activation,Fc1ccc(C(F)(F)F)cc1.Oc1ccccc1>>FC(F)(F)c1ccc(Oc2ccccc2)cc1
SNAr,Pyridine,Clc1ccncc1.OC>>COc1ccncc1
Allylic SN2,,C=CCC(Br)C>>C=CCC(C)O
Allylic substitution,Thiol,C=CCCC(Cl)C.SC>>C=CCCC(C)SC
Finkelstein,Iodide exchange,CCCCBr.[I-]>>CCCCI
Finkelstein,Benzyl,c1ccc(CCl)cc1.[I-]>>c1ccc(CI)cc1
Appel,Alcohol to chloride,c1ccc(CO)cc1.ClP(c1ccccc1)(c1ccccc1)c1ccccc1.C(Cl)(Cl)(Cl)Cl>>c1ccc(CCl)cc1
Appel,Alcohol to bromide,CCCCO.BrP(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCCBr
Mitsunobu,Ether,c1ccc(CO)cc1.Oc1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COc2ccccc2)cc1
Mitsunobu,Amide,CCCO.NC(=O)c1ccccc1.N=NC(C(=O)OCC)C(=O)OCC.P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCCNC(=O)c1ccccc1
E2,Propene from 2-bromopropane,CC(Br)C>>CC=C
E2,Zaitsev product,CC(Br)C(C)C>>CC=C(C)C
E2,Styrene formation,c1ccc(C(C)Br)cc1>>C=Cc1ccccc1
E2,Propene,CCCBr>>CC=C
E1,tert-Butyl,CC(C)(C)Br>>CC(C)=C
Aldol,Aldol product,CC=O.CC=O>>CC(O)CC=O
Aldol,Mixed aldol,CC(=O)C.CC=O>>CC(O)C(C)C=O
Aldol,Benzaldehyde,c1ccc(C=O)cc1.CC(=O)C>>c1ccc(C(O)C(C)C=O)cc1
Aldol,Propionaldehyde,CCC=O.CC(=O)C>>CCC(O)C(C)C=O
Aldol,Dehydration to cinnamaldehyde,c1ccc(C=O)cc1.CC=O>>c1ccc(/C=C/C=O)cc1
Wittig,Propene,CC=O.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>C=CC
Wittig,Diene,c1ccc(C=O)cc1.C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(/C=C/C=C)cc1
Wittig,"脦卤,脦虏-Unsaturated ester",CC(=O)C.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCOC(=O)C=C(C)C
Wittig,Propiophenone,c1ccc(C=O)cc1.C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(C=CC)cc1
Mannich,Simple,CC=O.NC.C=O>>CC(=O)CN
Mannich,Pyrrolidine,c1ccc(C=O)cc1.C1CCNC1.C=O>>c1ccc(C(=O)CN1CCCC1)cc1
Reductive Amination,"Benzaldehyde + aniline, secondary amine",O=Cc1ccccc1.Nc1ccccc1>>c1ccc(CNc2ccccc2)cc1
Reductive Amination,"Acetaldehyde + methylamine, primary to secondary",CC=O.NC>>CCNC
Reductive Amination,Benzaldehyde + ethylamine,c1ccc(C=O)cc1.NCC>>c1ccc(CNCC)cc1
Reductive Amination,p-Anisaldehyde + methylamine,O=Cc1ccc(OC)cc1.NC>>COc1ccc(CNC)cc1
Reductive Amination,Benzaldehyde + butylamine,O=Cc1ccccc1.NCCCC>>c1ccc(CNCCCC)cc1
Reductive Amination,"Acetophenone + aniline, ketone substrate",CC(=O)c1ccccc1.Nc1ccccc1>>c1ccc(NC(C)c2ccccc2)cc1
Reductive Amination,"Acetone + methylamine, ketone to sec-amine",CC(=O)C.NC>>CC(C)NC
Reductive Amination,Cyclohexanone + aniline,O=C1CCCCC1.Nc1ccccc1>>C1CCC(Nc2ccccc2)CC1
Reductive Amination,"p-Nitrobenzaldehyde, EWG substrate",O=Cc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(CNc2ccccc2)cc1
Reductive Amination,p-Chlorobenzaldehyde + propylamine,O=Cc1ccc(Cl)cc1.NCCC>>Clc1ccc(CNCCC)cc1
Reductive Amination,"Pyridine-4-carbaldehyde, heteroaryl aldehyde",O=Cc1ccncc1.Nc1ccccc1>>c1ccc(NCc2ccncc2)cc1
Reductive Amination,"Pyrimidine-5-carbaldehyde, diazine substrate",O=Cc1cnccn1.NC>>CNc1cnccn1
Reductive Amination,"Benzaldehyde + glycine, amino acid",c1ccc(C=O)cc1.NCC(=O)O>>O=C(O)CNCc1ccccc1
Reductive Amination,"Benzaldehyde + isopropylamine, branched",O=Cc1ccccc1.NC(C)C>>c1ccc(CNC(C)C)cc1
Reductive Amination,"Acetaldehyde + piperidine, cyclic sec-amine",CC=O.C1CCNCC1>>CCN1CCCCC1
Reductive Amination,"Benzaldehyde + p-anisidine, EDG amine",c1ccc(C=O)cc1.Nc1ccc(OC)cc1>>COc1ccc(NCc2ccccc2)cc1
Reductive Amination,"Trifluoromethyl benzaldehyde, EWG",O=Cc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(CNc2ccccc2)cc1
Reductive Amination,Butanone + aniline,CC(=O)CC.Nc1ccccc1>>CCC(C)Nc1ccccc1
Reductive Amination,Cyclopentanone + methylamine,O=C1CCCC1.NC>>CC1CCCNC1
Reductive Amination,Indole-3-carbaldehyde,O=Cc1c[nH]c2ccccc12.Nc1ccccc1>>c1ccc(NCc2c[nH]c3ccccc23)cc1
Reductive Amination,Benzofuran-2-carbaldehyde,O=Cc1coc2ccccc12.NC>>CNc1coc2ccccc12
Reductive Amination,Benzothiophene-2-carbaldehyde,O=Cc1csc2ccccc12.Nc1ccccc1>>c1ccc(NCc2csc3ccccc23)cc1
Reductive Amination,Isobutyraldehyde + aniline,CC(C)C=O.Nc1ccccc1>>CC(C)CNc1ccccc1
Reductive Amination,Benzaldehyde + benzylamine,c1ccc(C=O)cc1.NCc1ccccc1>>c1ccc(CNCc2ccccc2)cc1
Reductive Amination,Phenylacetaldehyde + aniline,O=CCc1ccccc1.Nc1ccccc1>>c1ccc(CCCNc2ccccc2)cc1
Reductive Amination,"Butyraldehyde + alanine, chiral amino acid",CCCC=O.NC(C)C(=O)O>>CCCCNC(C)C(=O)O
Reductive Amination,2-Naphthaldehyde + aniline,O=Cc1ccc2ccccc2c1.Nc1ccccc1>>c1ccc(NCc2ccc3ccccc3c2)cc1
Reductive Amination,p-Methoxyacetophenone + methylamine,CC(=O)c1ccc(OC)cc1.NC>>COc1ccc(C(C)NC)cc1
Reductive Amination,"Dimethylamino benzaldehyde, EDG",O=Cc1ccc(N(C)C)cc1.Nc1ccccc1>>CN(C)c1ccc(CNc2ccccc2)cc1
Michael,"1,5-diketone",C=CC(=O)C.CC(=O)CC(=O)C>>CC(=O)C(CC(=O)C)CC(=O)C
Michael,Malonate,C=CC(=O)OCC.CC(=O)CC(=O)OCC>>CCOC(=O)C(CC(=O)OCC)CC(=O)OCC
Michael,Chalcone,c1ccc(C=CC(=O)C)cc1.CC(=O)CC>>c1ccc(C(CC(C)=O)CC(=O)CC)cc1
Claisen,Acetoacetate,CC(=O)OCC.CC(=O)OCC>>CC(=O)CC(=O)OCC
Claisen,Benzoylacetate,c1ccc(C(=O)OC)cc1.CC(=O)OC>>c1ccc(C(=O)CC(=O)OC)cc1
Knoevenagel,Malononitrile,c1ccc(C=O)cc1.CC(C#N)C#N>>c1ccc(/C=C(C#N)C#N)cc1
Knoevenagel,Malonate,CC=O.CC(C(=O)OCC)C(=O)OCC>>C/C=C(C(=O)OCC)C(=O)OCC
Henry,Nitroaldol,c1ccc(C=O)cc1.C[N+](=O)[O-]>>c1ccc(C(O)C[N+](=O)[O-])cc1
Henry,Nitropropanol,CC=O.CC[N+](=O)[O-]>>CC(O)CC[N+](=O)[O-]
Reformatsky,,c1ccc(C=O)cc1.BrCC(=O)OCC.[Zn]>>c1ccc(C(O)CC(=O)OCC)cc1
Reformatsky,Acetaldehyde,CC=O.BrCC(=O)OCC.[Zn]>>CC(O)CC(=O)OCC
HWE,Cinnamate,c1ccc(C=O)cc1.CCOP(=O)(OCC)CC(=O)OCC>>c1ccc(/C=C/C(=O)OCC)cc1
HWE,Crotonate,CC=O.CCOP(=O)(OCC)CC(=O)OCC>>C/C=C/C(=O)OCC
Grignard,Tertiary alcohol,CC=O.[Mg]Br.CC>>CC(O)(C)C
Grignard,Secondary alcohol,c1ccc(C=O)cc1.[Mg]Br.C>>c1ccc(C(O)C)cc1
Grignard,Phenyl addition,CC(=O)C.[Mg]Br.c1ccccc1>>CC(O)(c1ccccc1)C
Ring-Closing Metathesis,,C=CCCCC=C>>C=C.C1CCC=CC1
Cross-Metathesis,,C=CC=C.C=C>>C=CCC=C
Rearrangement,,CC(C)C(C([O-])=O)C(C)C>>CC(C)CC(C)(C)C(=O)O
Ugi-type reaction,,CC=O.NC.CC(=O)O>>CC1=C(C)OC(=O)C(C)(N)C1
Carbazole synthesis,,c1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>c1ccc2[nH]c3ccccc3c2c1
Quinoline synthesis,,Nc1ccccc1.c1ccc(C=O)cc1>>c1ccc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1
Paal-Knorr,Pyrrole,CC(=O)CC(=O)C.NC>>Cc1ccc(C)n1C
Paal-Knorr,Simple pyrrole,CC(=O)CCC(=O)C.N>>Cc1ccc(C)[nH]1
Paal-Knorr,Diphenylpyrrole,c1ccc(C(=O)CCC(=O)c2ccccc2)cc1.NC>>c1ccc(-c2ccc(-c3ccccc3)n2C)cc1
Hantzsch,Dihydropyridine,CC(=O)CC(=O)OCC.CC(=O)CC(=O)OCC.CC=O.N>>CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1
Biginelli,Dihydropyrimidinone,O=C(N)N.CC(=O)CC(=O)OCC.c1ccc(C=O)cc1>>CCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
Biginelli,Acetaldehyde,O=C(N)N.CC(=O)CC(=O)OCC.CC=O>>CCOC(=O)C1=C(C)NC(=O)NC1C
Fischer Indole,,c1ccc(C(C)=O)cc1.c1ccc(NN)cc1>>Cc1c2ccccc2[nH]c1-c1ccccc1
Fischer Indole,3-Ethyl,CC(=O)CC.c1ccccc1NN>>CCc1c2ccccc2[nH]c1C
Pictet-Spengler,Tetrahydroisoquinoline,NCCc1ccc(O)cc1.CC=O>>Cc1nccc2ccc(O)cc12
Pictet-Spengler,脦虏-Carboline,NCCc1c[nH]c2ccccc12.C=O>>c1ccc2[nH]cc3c2c1CCN3
Benzimidazole from o-phenylenediamine,,c1ccc(c(N)c1)N.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3[nH]2)cc1
Benzimidazole,Acetic acid,c1ccc(c(N)c1)N.CC(=O)O>>Cc1nc2ccccc2[nH]1
Benzoxazole,,c1ccc(c(N)c1)O.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3o2)cc1
Benzoxazole,Acetic acid,c1ccc(c(N)c1)O.CC(=O)O>>Cc1nc2ccccc2o1
Benzothiazole,,c1ccc(c(N)c1)S.c1ccc(C=O)cc1>>c1ccc(-c2nc3ccccc3s2)cc1
Imidazole,,CC(=O)C=O.NC=O.N>>Cc1nccn1C
Boc Protection,Aniline,c1ccc(N)cc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)Nc1ccccc1
Boc Protection,Phenethylamine,NCCc1ccccc1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)NCCc1ccccc1
Boc Deprotection,TFA or HCl,CC(C)(C)OC(=O)Nc1ccccc1>>c1ccc(N)cc1
Cbz Protection,Aniline,c1ccc(N)cc1.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(Nc1ccccc1)OCc1ccccc1
Cbz Protection,Glycine,NCC(=O)O.O=C(OCc1ccccc1)OCc1ccccc1>>O=C(NCC(=O)O)OCc1ccccc1
Cbz Deprotection,Hydrogenolysis,O=C(Nc1ccccc1)OCc1ccccc1.[H][H].[Pd]>>c1ccc(N)cc1
FMOC Protection,,c1ccc(N)cc1.O=C1OC(=O)c2ccccc21>>O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21
FMOC Deprotection,Base,O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc21>>c1ccc(N)cc1
TBS Protection,Benzyl alcohol,c1ccc(CO)cc1.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCc1ccccc1
TBS Protection,Diol,OCCO.CC(C)(C)[Si](C)(C)Cl>>CC(C)(C)[Si](C)(C)OCCO[Si](C)(C)C(C)(C)C
TBS Deprotection,TBAF,CC(C)(C)[Si](C)(C)OCc1ccccc1.[F-]>>c1ccc(CO)cc1
PMB Protection,,c1ccc(CO)cc1.BrCc1ccc(OC)cc1>>COc1ccc(COCc2ccccc2)cc1
PMB Deprotection,DDQ,COc1ccc(COCc2ccccc2)cc1>>c1ccc(CO)cc1
Acetonide Protection,Glycerol,OCC(O)CO.CC(=O)C>>CC1(C)OCC(CO)O1
Acetonide Deprotection,Acid,CC1(C)OCC(CO)O1.[H+]>>OCC(O)CO
Bn Protection,,c1ccc(CO)cc1.BrCc1ccccc1>>c1ccc(COCc2ccccc2)cc1
Bn Deprotection,Hydrogenolysis,c1ccc(COCc2ccccc2)cc1.[H][H].[Pd]>>c1ccc(CO)cc1
Trityl Protection,,c1ccc(CO)cc1.ClC(c1ccccc1)(c1ccccc1)c1ccccc1>>c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Trityl Deprotection,,c1ccc(COC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.[H+]>>c1ccc(CO)cc1
Amide: Benzoic acid + aniline,,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
Amide: Acetic acid + benzylamine,,CC(=O)O.NCc1ccccc1>>CC(=O)NCc1ccccc1
Amide: Phenylacetic acid + cyclohexylamine,,O=C(O)CCc1ccccc1.NC1CCCCC1>>O=C(N1CCCCC1)CCc1ccccc1
Amide: Pivalic acid + p-toluidine,,CC(C)(C)C(=O)O.Nc1ccc(C)cc1>>CC(C)(C)C(=O)Nc1ccc(C)cc1
Amide: 4-Fluorobenzoic acid + phenethylamine,,O=C(O)c1ccc(F)cc1.NCCc1ccccc1>>O=C(NCCc1ccccc1)c1ccc(F)cc1
Amide: p-Methoxybenzoic acid + cyclopropylamine,,O=C(O)c1ccc(OC)cc1.NC1CC1>>COc1ccc(C(=O)NC2CC2)cc1
Amide: 4-Cyanobenzoic acid + butylamine,,O=C(O)c1ccc(C#N)cc1.NCCCC>>N#Cc1ccc(C(=O)NCCCC)cc1
Amide: 4-Nitrobenzoic acid + tert-butylamine,,O=C(O)c1ccc([N+](=O)[O-])cc1.NC(C)(C)C>>CC(C)(C)NC(=O)c1ccc([N+](=O)[O-])cc1
Amide: 3-Chlorobenzoic acid + 4-picolylamine,,O=C(O)c1cccc(Cl)c1.NCc1ccncc1>>O=C(NCc1ccncc1)c1cccc(Cl)c1
Amide: 2-Naphthoic acid + 4-aminopiperidine,,O=C(O)c1ccc2ccccc2c1.NC1CCNCC1>>O=C(N1CCC(N)CC1)c1ccc2ccccc2c1
Amide: Isonicotinic acid + aniline,,O=C(O)c1ccncc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccncc1
Amide: Pyrimidine-2-carboxylic acid + 4-fluorobenzylamine,,O=C(O)c1cnccn1.NCc1ccc(F)cc1>>O=C(NCc1ccc(F)cc1)c1cnccn1
Amide: Thiophene-3-carboxylic acid + morpholine,,O=C(O)c1cccs1.NC1CCOCC1>>O=C(N1CCOCC1)c1cccs1
Amide: Pyrrole-3-carboxylic acid + 2-phenoxyethylamine,,O=C(O)c1cc[nH]c1.NCCOc1ccccc1>>O=C(NCCOc1ccccc1)c1cc[nH]c1
"Amide: Pyrrole-2-carboxylic acid + 4,4-dimethylcyclohexylamine",,O=C(O)c1ccc[nH]1.NC1CCC(C)(C)CC1>>O=C(NC1CCC(C)(C)CC1)c1ccc[nH]1
Amide: Octanoic acid + p-anisidine,,CCCCCCCC(=O)O.Nc1ccc(OC)cc1>>CCCCCCCC(=O)Nc1ccc(OC)cc1
Amide: Isovaleric acid + 4-chlorobenzylamine,,CC(C)CC(=O)O.NCc1ccc(Cl)cc1>>CC(C)CC(=O)NCc1ccc(Cl)cc1
Amide: 2-Methylbutyric acid + N-methylpiperazine,,CCC(C)C(=O)O.NC1CCN(C)CC1>>CCC(C)C(=O)N1CCN(C)CC1
Amide: Cyclohexanecarboxylic acid + tryptamine,,O=C(O)C1CCCCC1.NCCc1ccc[nH]1>>O=C(NCCc1ccc[nH]1)C1CCCCC1
Amide: Leucine + benzylamine,,CC(C)CC(N)C(=O)O.NCc1ccccc1>>CC(C)CC(N)C(=O)NCc1ccccc1
Amide: Phenylalanine + cyclohexylamine,,N[C@@H](Cc1ccccc1)C(=O)O.NC1CCCCC1>>N[C@@H](Cc1ccccc1)C(=O)N1CCCCC1
"Amide: Benzoic acid + N,N-dimethylaniline tertiary amide",,O=C(O)c1ccccc1.CN(C)c1ccccc1>>CN(C)c1ccccc1.O=C(N(C)c1ccccc1)c1ccccc1
Amide: Acetic acid + pyrrolidine,,CC(=O)O.N1CCCC1>>CC(=O)N1CCCC1
Amide: 4-Bromobenzoic acid + morpholine,,O=C(O)c1ccc(Br)cc1.N1CCOCC1>>O=C(N1CCOCC1)c1ccc(Br)cc1
Amide: EDC/HOBt coupling,,O=C(O)c1ccccc1.Nc1ccccc1>>O=C(Nc1ccccc1)c1ccccc1
Amide: DCC/NHS coupling,,CC(C)(C)C(=O)O.NCc1ccccc1>>CC(C)(C)C(=O)NCc1ccccc1
Amide: HATU/DIPEA coupling,,O=C(O)c1ccc(OC)cc1.NC1CCCCC1>>COc1ccc(C(=O)N1CCCCC1)cc1
SN2 substitution,Bromoethane propionitrile,CCBr.[C-]#N>>CCC#N
