name,smiles,motif_count,motifs,alt_motifs,error
9-Fluorenemethanol,OCC1c2ccccc2-c2ccccc21,3,Ar-R / Ar-Ar / RCH2-OH,Alkyl-OH,
Fluoxetine hydrochloride,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5,Ar-CF3 / Ar-OR / Ar-R / RCH2-NHR / CH3-NHR,Ar-R / Alkyl-F / Alkyl-X / R2CH-OR / Alkyl-OR / Alkyl-NHR / Alkyl-NHR,
Tetrafluoroisophthalonitrile,N#Cc1c(F)c(F)c(F)c(C#N)c1F,6,Ar-CN / Ar-CN / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X,
"sulfone,phenyl-trifluoromethyl",O=S(=O)(c1ccccc1)C(F)(F)F,5,Ar-SR / Alkyl-SO2R / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-SR / Alkyl-OSO2R / Alkyl-X / Alkyl-X / Alkyl-X,
(3-(methoxycarbonyl)phenyl)boronic acid,COC(=O)c1cccc(B(O)O)c1,2,Ar-B(OH)2 / Ar-CO2R,,
4-Ethynylbenzonitrile,C#Cc1ccc(C#N)cc1,2,Ar-C#CH / Ar-CN,Ar-C#C / Alkynyl-H / Any-C#C,
4-Bromomethylbiphenyl,BrCc1ccc(-c2ccccc2)cc1,3,Ar-R / Ar-Ar / Bn-Br,RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
epsilon-Caprolactone monomer,O=C1CCCCCO1,3,RCH2-CO2R / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-Ester / Alkyl-H / Alkyl-H,
Benzyl chloroformate,O=C(Cl)OCc1ccccc1,2,Acyl-Cl / Ar-R,,
2-(4-Chlorophenyl)-3-methylbutyryl chloride,CC(C)C(C(=O)Cl)c1ccc(Cl)cc1,4,Acyl-Cl / Ar-R / Ar-Cl / Alkyl-H-acidic,Ar-X / Alkyl-H,
2-Thiophenecarbonyl chloride,O=C(Cl)c1cccs1,2,Ar-COCl / Thiophene,Acyl-Cl / Ar-COX,
3-butyn-2-ol,C#CC(C)O,2,Alkyl-C#CH / R2CH-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
Phenyl Vinyl Sulfide,C=CSc1ccccc1,1,Alkenyl-SR,Ar-SR / Any-Dienophile / Motif-C=C,
4-Octyne,CCCC#CCCC,4,Propargyl-H / Propargyl-H / Propargyl-H / Propargyl-H,Alkyl-C#C / Alkyl-H / Any-C#C / Alkyl-H / Alkyl-C#C / Alkyl-H / Alkyl-H,
Bis(2-Methoxyethyl)Aminosulfur Trifluoride,COCCN(CCOC)S(F)(F)F,3,RCH2-OR / RCH2-OR / RCH2-NR2,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Alkyl-NR2,
Triisopropylsilylacetylene,C#C[Si](C(C)C)(C(C)C)C(C)C,2,Alkynyl-Si / Alkyl-Si,Any-C#C,
Triphenylphosphine Sulfide,S=P(c1ccccc1)(c1ccccc1)c1ccccc1,1,Ar-H,,
4'-Methylacetanilide,CC(=O)Nc1ccc(C)cc1,5,Ar-Amide / Ar-R / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CONHR / Alkyl-H / Alkyl-H / Alkyl-H,
cinnamonitrile,N#CC=Cc1ccccc1,2,Alkenyl-CN / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
Cinnamaldehyde,O=CC=Cc1ccccc1,2,Alkenyl-CHO / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
3-Butyn-2-one,C#CC(C)=O,4,Alkynyl-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Any-C#C / Alkyl-H / Alkyl-H / Alkyl-H,
Coumarin,O=c1ccc2ccccc2o1,1,Ar-H,,
Dibenzoyl peroxide,O=C(OOC(=O)c1ccccc1)c1ccccc1,1,Ar-H,,
纬-Butyrolactone,O=C1CCCO1,3,RCH2-CO2R / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-Ester / Alkyl-H / Alkyl-H,
Dimethylzinc,[CH3-].[CH3-].[Zn+2],0,,,
1-Phenyl-1-trimethylsilyloxyethylene,C=C(O[Si](C)(C)C)c1ccccc1,2,Ar-C=C / Alkyl-Si,Ar-Alkenyl / Any-Dienophile / Motif-C=C,
Perfluorobutyl iodide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,8,Alkyl-CF3 / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-I,Alkyl-F / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
D(+)-10-Camphorsulfonyl chloride,CC1(C)C2CCC1(CS(=O)(=O)Cl)C(=O)C2,6,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / Alkyl-SO2Cl,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / R3C-COR,
Diisopropyl azodicarboxylate,CC(C)OC(=O)N=NC(=O)OC(C)C,1,Alkyl-H,,
"4,4,5,5-Tetramethyl-1,3,2-dioxaborolane",CC1(C)O[B]OC1(C)C,1,Alkyl-H,,
4-Penten-1-ol,C=CCCCO,2,Alkyl-C=CH2 / RCH2-OH,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-OH,
2-Cyclohexen-1-one,O=C1C=CCCC1,4,Alkenyl-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-C=C,RCH2-COR / Alkyl-COR / Any-Dienophile / Motif-C=C / Cyclohexene / Alkyl-H / Alkyl-H,
(iodomethyl)(triphenyl)phosphonium iodide,IC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,2,Ar-Phosphonium / RCH2-I,Alkyl-I / RCH2-X / Alkyl-X,
3-Bromo-1-propanol,OCCCBr,2,RCH2-OH / RCH2-Br,Alkyl-OH / Alkyl-Br / RCH2-X / Alkyl-X,
"4,4'-Dimethoxybenzhydrol",COc1ccc(C(O)c2ccc(OC)cc2)cc1,4,Ar-OR / Ar-OR / Ar-R / R2CH-OH,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Alkyl-OH,
Cinnamoyl chloride,O=C(Cl)C=Cc1ccccc1,2,Ar-C=C / Acyl-Cl,Ar-Alkenyl / Any-Dienophile / Motif-C=C,
4-Chlorophenylacetylene,C#Cc1ccc(Cl)cc1,2,Ar-C#CH / Ar-Cl,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
Methyl 4-ethynylbenzoate,C#Cc1ccc(C(=O)OC)cc1,2,Ar-C#CH / Ar-CO2R,Ar-C#C / Alkynyl-H / Any-C#C,
1-(1-Propynyl)cyclohexanol,CC#CC1(O)CCCCC1,3,R3C-OH / Alkyl-C#C / Alkyl-C#C,Alkyl-OH / Any-C#C,
4-Ethynyltoluene,C#Cc1ccc(C)cc1,2,Ar-C#CH / Ar-R,Ar-C#C / Alkynyl-H / Any-C#C,
2-Fluorophenylacetylene,C#Cc1ccccc1F,2,Ar-C#CH / Ar-F,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
2-Ethynylthiophene,C#Cc1cccs1,2,Ar-C#CH / Thiophene,Ar-C#C / Alkynyl-H / Any-C#C,
2-Bromophenylacetylene,C#Cc1ccccc1Br,2,Ar-C#CH / Ar-Br,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
4-Methoxyphenylacetylene,C#Cc1ccc(OC)cc1,2,Ar-C#CH / Ar-OR,Ar-C#C / Alkynyl-H / Any-C#C / CH3-OR / Alkyl-OR,
3-Chlorophenylacetylene,C#Cc1cccc(Cl)c1,2,Ar-C#CH / Ar-Cl,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
4-Ethynylbenzaldehyde,C#Cc1ccc(C=O)cc1,2,Ar-C#CH / Ar-CHO,Ar-C#C / Alkynyl-H / Any-C#C,
Ethynylcyclopropane,C#CC1CC1,1,Alkyl-C#CH,Alkynyl-H / Alkyl-C#C / Any-C#C,
4-Ethynylbiphenyl,C#Cc1ccc(-c2ccccc2)cc1,2,Ar-C#CH / Ar-Ar,Ar-C#C / Alkynyl-H / Any-C#C,
"1,1-Diphenyl-2-propyn-1-ol",C#CC(O)(c1ccccc1)c1ccccc1,3,Alkyl-C#CH / Ar-R / R3C-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
1-Ethyl-4-ethynylbenzene,C#Cc1ccc(CC)cc1,2,Ar-C#CH / Ar-R,Ar-C#C / Alkynyl-H / Any-C#C,
2-Chlorophenylacetylene,C#Cc1ccccc1Cl,2,Ar-C#CH / Ar-Cl,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
Bis[(trifluoromethyl)sulphonyl]amine,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,8,Alkyl-SO2NHR / Alkyl-SO2NHR / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
3-Fluorophenylacetylene,C#Cc1cccc(F)c1,2,Ar-C#CH / Ar-F,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
Chloro(dimethylsulfide)gold(I),CSC.[Au+],1,CH3-SR,Alkyl-SR,
2-morpholin-4-ium-4-ylethyl-[2-(1-naphthylmethyl)-3-tetrahydrofuran-2-yl-propyl]ammonium,c1ccc2c(CC(CNCCN3CCOCC3)CC3CCCO3)cccc2c1,5,Ar-R / RCH2-OR / RCH2-OR / RCH2-NR2 / RCH2-NHR,Alkyl-OR / R2CH-OR / Alkyl-NR2 / Alkyl-NHR,
2-amino-6-bromobenzonitrile,N#Cc1c(N)cccc1Br,3,Ar-CN / Ar-NH2 / Ar-Br,Ar-X,
Triphenylsilane,c1ccc([Si](c2ccccc2)c2ccccc2)cc1,1,Ar-Si,,
4-Aminobenzyl alcohol,Nc1ccc(CO)cc1,3,Ar-NH2 / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
1-Aminodecane,CCCCCCCCCCN,1,RCH2-NH2,Alkyl-NH2,
"N,N-Dimethyl-2-naphthylamine",CN(C)c1ccc2ccccc2c1,2,Ar-NR2 / CH3-NR2,Alkyl-NR2,
Ethyl chlorooxoacetate,CCOC(=O)C(=O)Cl,1,Acyl-Cl,,
2-Methyl-3-butyn-2-ol,C#CC(C)(C)O,2,Alkyl-C#CH / R3C-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
Benzophenone imine,N=C(c1ccccc1)c1ccccc1,1,Ar-Imino,,
5-Hexen-2-one,C=CCCC(C)=O,7,Alkyl-C=CH2 / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
N-Methyl-p-toluidine,CNc1ccc(C)cc1,3,Ar-NHR / Ar-R / CH3-NHR,Alkyl-NHR,
Methyl 4-vinylbenzoate,C=Cc1ccc(C(=O)OC)cc1,2,Ar-C=CH2 / Ar-CO2R,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C,
pyridine hydrofluoride,F.c1ccncc1,1,Pyridine,,
4-Aminotetrahydropyran,NC1CCOCC1,2,RCH2-OR / R2CH-NH2,Alkyl-OR / Alkyl-NH2,
Phenylacetylene,C#Cc1ccccc1,1,Ar-C#CH,Ar-C#C / Alkynyl-H / Any-C#C,
Fluorene,c1ccc2c(c1)Cc1ccccc1-2,2,Ar-R / Ar-Ar,,
Methacryloyl chloride,C=C(C)C(=O)Cl,2,Acyl-Cl / Alkyl-C=C,,
"2,3,5,6-Tetrafluorophenol",Oc1c(F)c(F)cc(F)c1F,5,Ar-OH / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X,
sodium benzenesulfonate,O=S(=O)(O)c1ccccc1,1,Ar-H,,
"2,4,6-Trimethylpyridine",Cc1cc(C)nc(C)c1,4,Ar-R / Ar-R / Ar-R / Pyridine,,
3-(Mercapto)propyltrimethoxysilane,CO[Si](CCCS)(OC)OC,2,RCH2-SH / Alkyl-Si,Alkyl-SH,
6-Chloronicotinic Acid,O=C(O)c1ccc(Cl)nc1,3,Ar-CO2H / Ar-Cl / Pyridine,Ar-X,
Ethyl Propiolate,C#CC(=O)OCC,1,Alkynyl-CO2R,Any-C#C,
6-Bromoindole,Brc1ccc2cc[nH]c2c1,3,Ar-Br / AromN-H / Indole,Ar-X / Pyrrole,
2-Bromobenzophenone,O=C(c1ccccc1)c1ccccc1Br,2,Ar-COR / Ar-Br,Ar-X,
5-Aminoindole,Nc1ccc2[nH]ccc2c1,3,Ar-NH2 / AromN-H / Indole,Pyrrole,
1-Methylindole,Cn1ccc2ccccc21,1,Alkyl-AromN,,
Bis(trimethylsilyl)acetylene,C[Si](C)(C)C#C[Si](C)(C)C,4,Alkynyl-Si / Alkynyl-Si / Alkyl-Si / Alkyl-Si,Any-C#C,
4-Hydroxyindole,Oc1cccc2[nH]ccc12,3,Ar-OH / AromN-H / Indole,Pyrrole,
Diethyl (2-oxopropyl)phosphonate,CCOP(=O)(CC(C)=O)OCC,6,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR,
"2,6-Di-tert-butyl-4-methylpyridine",Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1,4,Ar-R / Ar-R / Ar-R / Pyridine,,
5-Methoxyindole,COc1ccc2[nH]ccc2c1,3,Ar-OR / AromN-H / Indole,CH3-OR / Alkyl-OR / Pyrrole,
Trimethylpentafluoroethylsilane,C[Si](C)(C)C(F)(F)C(F)(F)F,4,Alkyl-CF3 / Alkyl-Si / Alkyl-F / Alkyl-F,Alkyl-F / Alkyl-X / Alkyl-X / Alkyl-X,
Acetaldehyde,CC=O,4,Alkyl-CHO / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
"1,3-Cyclohexanedione",O=C1CCCC(=O)C1,8,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-COR,
N-Iodosuccinimide,Oc1ccc(O)n1I,2,Ar-OH / Ar-OH,,
Benzoxazole,c1ccc2ocnc2c1,1,Oxazole,,
2-bromo-5-nitrobenzaldehyde,O=Cc1cc([N+](=O)[O-])ccc1Br,3,Ar-NO2 / Ar-CHO / Ar-Br,Ar-NR2 / Ar-X,
2-Bromo-5-fluorobenzaldehyde,O=Cc1cc(F)ccc1Br,3,Ar-CHO / Ar-Br / Ar-F,Ar-X / Ar-X,
2-bromo-5-chlorobenzaldehyde,O=Cc1cc(Cl)ccc1Br,3,Ar-CHO / Ar-Br / Ar-Cl,Ar-X / Ar-X,
Diethyl Benzylidenemalonate,CCOC(=O)C(=Cc1ccccc1)C(=O)OCC,3,Alkenyl-CO2R / Alkenyl-CO2R / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
5-Iodoindole,Ic1ccc2[nH]ccc2c1,3,Ar-I / AromN-H / Indole,Ar-X / Pyrrole,
2-Bromo-4-chlorobenzaldehyde,O=Cc1ccc(Cl)cc1Br,3,Ar-CHO / Ar-Br / Ar-Cl,Ar-X / Ar-X,
4-(Tetrahydro-2H-pyran-2-yloxy)phenylboronic acid,OB(O)c1ccc(OC2CCCCO2)cc1,3,Ar-B(OH)2 / Ar-OR / RCH2-OR,R2CH-OR / Alkyl-OR / R2CH-OR,
4-(Trifluoromethyl)-N-methylaniline,CNc1ccc(C(F)(F)F)cc1,3,Ar-CF3 / Ar-NHR / CH3-NHR,Ar-R / Alkyl-F / Alkyl-X / Alkyl-NHR,
2-bromo-3-chlorobenzaldehyde,O=Cc1cccc(Cl)c1Br,3,Ar-CHO / Ar-Br / Ar-Cl,Ar-X / Ar-X,
4-Bromo-N-methylaniline,CNc1ccc(Br)cc1,3,Ar-NHR / Ar-Br / CH3-NHR,Ar-X / Alkyl-NHR,
2-bromo-5-methoxybenzaldehyde,COc1ccc(Br)c(C=O)c1,3,Ar-CHO / Ar-OR / Ar-Br,CH3-OR / Alkyl-OR / Ar-X,
N-Methyl-o-toluidine,CNc1ccccc1C,3,Ar-NHR / Ar-R / CH3-NHR,Alkyl-NHR,
N-(Cyclohexylthio)phthalimide,O=C1c2ccccc2C(=O)N1SC1CCCCC1,2,Ar-CONR2 / Ar-CONR2,,
5-Bromo-1-pentene,C=CCCCBr,2,Alkyl-C=CH2 / RCH2-Br,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-Br / RCH2-X / Alkyl-X,
"Tris(2,2'-bipyridine)ruthenium dichloride",[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,9,Ar-Ar / Ar-Ar / Ar-Ar / Pyridine / Pyridine / Pyridine / Pyridine / Pyridine / Pyridine,,
"3,3-Dimethyl-1-butyne",C#CC(C)(C)C,1,Alkyl-C#CH,Alkynyl-H / Alkyl-C#C / Any-C#C,
Trimethyl(trifluoromethyl)silane,C[Si](C)(C)C(F)(F)F,4,Alkyl-Si / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
4-Bromo-1-butyne,C#CCCBr,4,Alkyl-C#CH / Propargyl-H / Propargyl-H / RCH2-Br,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
Ethyl Benzoylacetate,CCOC(=O)CC(=O)c1ccccc1,4,Ar-COR / RCH2-CO2R / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Alkyl-Ester / Alkyl-H / Alkyl-H,
purine,c1ncc2[nH]cnc2n1,3,AromN-H / Pyrimidine / Imidazole,,
10-Undecyn-1-ol,C#CCCCCCCCCCO,4,Alkyl-C#CH / Propargyl-H / Propargyl-H / RCH2-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H / Alkyl-OH,
tert-Butyllithium,C[C](C)C,1,Alkyl-H,,
toluenediisocyanate,Cc1c(N=C=O)cccc1N=C=O,1,Ar-R,,
Allylboronic acid pinacol ester,C=CCB1OC(C)(C)C(C)(C)O1,2,Alkyl-C=CH2 / Alkyl-Bpin,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / RCH2-B(OR)2,
2-bromo-5-(trifluoromethyl)benzaldehyde,O=Cc1cc(C(F)(F)F)ccc1Br,3,Ar-CF3 / Ar-CHO / Ar-Br,Ar-R / Alkyl-F / Alkyl-X / Ar-X,
4-Nitrophenylacetylene,C#Cc1ccc([N+](=O)[O-])cc1,2,Ar-C#CH / Ar-NO2,Ar-C#C / Alkynyl-H / Any-C#C / Ar-NR2,
3-Thienylboronic acid,OB(O)c1ccsc1,2,Ar-B(OH)2 / Thiophene,,
"3,5-dichloropyridine 1-oxide",[O-][n+]1cc(Cl)cc(Cl)c1,3,Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
"1-(trifluoromethyl)-1,2-benziodoxol-3(1H)-one",O=C1OI(C(F)(F)F)c2ccccc21,5,Ar-I / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-I,Ar-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
N-Benzyl-p-toluenesulfonamide,Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1,4,Ar-SO2NHR / Ar-R / Ar-R / Alkyl-Sulfonamide,,
4-Iodobenzaldehyde,O=Cc1ccc(I)cc1,2,Ar-CHO / Ar-I,Ar-X,
Perfluorohexyl iodide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,12,Alkyl-CF3 / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-I,Alkyl-F / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
2-Hydroxy-1-naphthaldehyde,O=Cc1c(O)ccc2ccccc12,2,Ar-CHO / Ar-OH,,
4-(hydroxymethyl)benzaldehyde,O=Cc1ccc(CO)cc1,3,Ar-CHO / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
Trimethylsilylisothiocyanate,C[Si](C)(C)N=C=S,1,Alkyl-Si,,
Malononitrile,N#CCC#N,4,RCH2-CN / RCH2-CN / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CN / Alkyl-CN / Alkyl-H / Alkyl-H,
3-Bromobenzaldehyde,O=Cc1cccc(Br)c1,2,Ar-CHO / Ar-Br,Ar-X,
6-Heptenoic acid,C=CCCCCC(=O)O,4,Alkyl-C=CH2 / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-CO2H / Alkyl-H / Alkyl-H,
3-Buten-1-ol,C=CCCO,2,Alkyl-C=CH2 / RCH2-OH,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-OH,
4-Iodo-m-xylene,Cc1ccc(I)c(C)c1,3,Ar-R / Ar-R / Ar-I,Ar-X,
3-(Trifluoromethyl)benzaldehyde,O=Cc1cccc(C(F)(F)F)c1,2,Ar-CF3 / Ar-CHO,Ar-R / Alkyl-F / Alkyl-X,
4-Pentenoic Acid,C=CCCC(=O)O,4,Alkyl-C=CH2 / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-CO2H / Alkyl-H / Alkyl-H,
(Cyclohex-1-en-1-yl)boronic acid,OB(O)C1=CCCCC1,3,Alkenyl-B(OH)2 / Alkyl-C=C / Alkyl-C=C,Any-Dienophile / Motif-C=C / Cyclohexene,
1-Bromo-4-vinylbenzene,C=Cc1ccc(Br)cc1,2,Ar-C=CH2 / Ar-Br,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C / Ar-X,
Ethynyltrimethylsilane,C#C[Si](C)(C)C,2,Alkynyl-Si / Alkyl-Si,Any-C#C,
pentafluorobenzaldehyde,O=Cc1c(F)c(F)c(F)c(F)c1F,6,Ar-CHO / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X / Ar-X,
o-Tolualdehyde,Cc1ccccc1C=O,2,Ar-CHO / Ar-R,,
"2-Isopropoxy-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",CC(C)OB1OC(C)(C)C(C)(C)O1,1,Alkyl-H,,
8-Bromo-1-octene,C=CCCCCCCBr,2,Alkyl-C=CH2 / RCH2-Br,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-Br / RCH2-X / Alkyl-X,
Trimethylsilylcyanide(Trimethylsilylnitrile),C[Si](C)(C)C#N,1,Alkyl-Si,,
2-Propynylamine,C#CCN,4,Alkyl-C#CH / Propargyl-NH2 / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / RCH2-NH2 / Alkyl-NH2 / Alkyl-H / Alkyl-H,
Methyl sulfide,CSC,1,CH3-SR,Alkyl-SR,
Tris(pentafluorophenyl)borane,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,15,Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X,
Propiolic Acid,C#CC(=O)O,1,Alkynyl-H,Any-C#C,
dodecylbenzenesulfonylazide,CCCCCCCCCCCCc1ccccc1S(=O)(=O)N=[N+]=[N-],1,Ar-R,,
1-(Trimethylsilyl)-1-propyne,CC#C[Si](C)(C)C,3,Alkynyl-Si / Alkyl-C#C / Alkyl-Si,Any-C#C,
2-Bromo-6-methylpyridine,Cc1cccc(Br)n1,3,Ar-R / Ar-Br / Pyridine,Ar-X,
Dibromomethane,BrCBr,2,Alkyl-Br / Alkyl-Br,Alkyl-X / Alkyl-X,
Propargyl bromide,C#CCBr,4,Alkyl-C#CH / Propargyl-Br / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X / Alkyl-H / Alkyl-H,
4-Isopropylphenylboronic acid,CC(C)c1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-R,,
4-(Trifluoromethoxy)phenylboronic acid,OB(O)c1ccc(OC(F)(F)F)cc1,2,Ar-OCF3 / Ar-B(OH)2,Ar-OR / Alkyl-OR / Alkyl-F / Alkyl-X,
3-(Benzyloxy)phenylboronic acid,OB(O)c1cccc(OCc2ccccc2)c1,4,Ar-B(OH)2 / Ar-OR / Ar-R / Bn-OR,RCH2-OR / Alkyl-OR,
4-Chlorophenylboronic acid,OB(O)c1ccc(Cl)cc1,2,Ar-B(OH)2 / Ar-Cl,Ar-X,
3-Fluorostyrene,C=Cc1cccc(F)c1,2,Ar-C=CH2 / Ar-F,Ar-C=C / Alkenyl-H / Ar-Alkenyl / Any-Dienophile / Motif-C=C / Ar-X,
Catecholborane,[B]1Oc2ccccc2O1,1,Ar-H,,
tert-Butyl Hypochlorite,CC(C)(C)OCl,1,Alkyl-H,,
9-Ethynyl-9-fluorenol,C#CC1(O)c2ccccc2-c2ccccc21,4,Alkyl-C#CH / Ar-R / Ar-Ar / R3C-OH,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-OH,
2-Bromoethanol,OCCBr,2,RCH2-OH / RCH2-Br,Alkyl-OH / Alkyl-Br / RCH2-X / Alkyl-X,
2-Methylpyridine,Cc1ccccn1,2,Ar-R / Pyridine,,
Cyclohexanol,OC1CCCCC1,1,R2CH-OH,Alkyl-OH,
"2,6-Dichloropyridine",Clc1cccc(Cl)n1,3,Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
propargyl p-toluenesulfonate,C#CCOS(=O)(=O)c1ccc(C)cc1,4,Alkyl-C#CH / Ar-R / Propargyl-H / Propargyl-H,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H,
Phenylboronic acid,OB(O)c1ccccc1,1,Ar-B(OH)2,,
2-Aminobenzyl Alcohol,Nc1ccccc1CO,3,Ar-NH2 / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
Ethyl vinyl ketone,C=CC(=O)CC,3,Alkenyl-COR / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Any-Dienophile / Motif-C=C / Alkyl-H / Alkyl-H,
