name,smiles,role,reaction_types,notes,input_smiles,featurization_success,featurization_error,canonical_smiles,valid_smiles,motif_count,motifs,unique_motif_count,unique_motifs,grouped_motifs_json,ranked_motifs,analysis_count,aryl_analysis_json
5-Bromoindole,Brc1ccc2[nH]ccc2c1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira,Indole scaffold; NH can coordinate,Brc1ccc2[nH]ccc2c1,True,,Brc1ccc2[nH]ccc2c1,True,7,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,3,HeteroAr-Br;HeteroAr-H;AromN-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 5, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 10, ""bond"": [2, 10]}, {""a_atom_idx"": 3, ""b_atom_idx"": 11, ""bond"": [3, 11]}, {""a_atom_idx"": 6, ""b_atom_idx"": 13, ""bond"": [6, 13]}, {""a_atom_idx"": 7, ""b_atom_idx"": 14, ""bond"": [7, 14]}, {""a_atom_idx"": 9, ""b_atom_idx"": 15, ""bond"": [9, 15]}], ""undocumented"": false}, {""compound_id"": ""AromN-H"", ""count"": 1, ""rank_score"": 317.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 12, ""bond"": [5, 12]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;AromN-H,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Indole"", ""Pyrrole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}"
2-Bromobenzothiazole,Brc1nc2ccccc2s1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Fused bicyclic heterocycle,Brc1nc2ccccc2s1,True,,Brc1nc2ccccc2s1,True,5,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 10, ""bond"": [4, 10]}, {""a_atom_idx"": 5, ""b_atom_idx"": 11, ""bond"": [5, 11]}, {""a_atom_idx"": 6, ""b_atom_idx"": 12, ""bond"": [6, 12]}, {""a_atom_idx"": 7, ""b_atom_idx"": 13, ""bond"": [7, 13]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 1}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Thiazole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}"
2-Iodobenzoxazole,Ic1nc2ccccc2o1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Oxygen-containing fused heterocycle,Ic1nc2ccccc2o1,True,,Ic1nc2ccccc2o1,True,5,HeteroAr-I;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-I;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-I""], ""compound_id"": ""HeteroAr-I"", ""count"": 1, ""rank_score"": 688.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 4, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 4, ""b_atom_idx"": 10, ""bond"": [4, 10]}, {""a_atom_idx"": 5, ""b_atom_idx"": 11, ""bond"": [5, 11]}, {""a_atom_idx"": 6, ""b_atom_idx"": 12, ""bond"": [6, 12]}, {""a_atom_idx"": 7, ""b_atom_idx"": 13, ""bond"": [7, 13]}], ""undocumented"": false}]",HeteroAr-I;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 1, ""S"": 0}, ""hetero_ring_sizes"": [5], ""heteroaromatic"": true, ""heterocycle_types"": [""Oxazole""], ""is_heterocycle"": true, ""ring_size_counts"": {""5"": 1, ""6"": 1}, ""ring_sizes"": [5, 6]}"
3-Bromoquinoline,Brc1ccnc2ccccc12,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Quinoline scaffold,Brc1ccnc2ccccc12,True,,Brc1ccnc2ccccc12,True,7,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 6, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 11, ""bond"": [2, 11]}, {""a_atom_idx"": 3, ""b_atom_idx"": 12, ""bond"": [3, 12]}, {""a_atom_idx"": 6, ""b_atom_idx"": 13, ""bond"": [6, 13]}, {""a_atom_idx"": 7, ""b_atom_idx"": 14, ""bond"": [7, 14]}, {""a_atom_idx"": 8, ""b_atom_idx"": 15, ""bond"": [8, 15]}, {""a_atom_idx"": 9, ""b_atom_idx"": 16, ""bond"": [9, 16]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Quinoline""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
3-Bromoquinoxaline,Brc1cnc2ccccc2n1,electrophile,Suzuki-Miyaura,Diaza-naphthalene,Brc1cnc2ccccc2n1,True,,Brc1cnc2ccccc2n1,True,6,HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Br;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Br""], ""compound_id"": ""HeteroAr-Br"", ""count"": 1, ""rank_score"": 636.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 5, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 11, ""bond"": [2, 11]}, {""a_atom_idx"": 5, ""b_atom_idx"": 12, ""bond"": [5, 12]}, {""a_atom_idx"": 6, ""b_atom_idx"": 13, ""bond"": [6, 13]}, {""a_atom_idx"": 7, ""b_atom_idx"": 14, ""bond"": [7, 14]}, {""a_atom_idx"": 8, ""b_atom_idx"": 15, ""bond"": [8, 15]}], ""undocumented"": false}]",HeteroAr-Br;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 2, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyrimidine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Selective coupling possible at different positions,Clc1ccc(Cl)nc1,True,,Clc1ccc(Cl)nc1,True,5,HeteroAr-Cl;HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H,2,HeteroAr-Cl;HeteroAr-H,"[{""alt_compound_ids"": [""Ar-Cl""], ""compound_id"": ""HeteroAr-Cl"", ""count"": 2, ""rank_score"": 531.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [0, 1]}, {""a_atom_idx"": 4, ""b_atom_idx"": 5, ""bond"": [4, 5]}], ""undocumented"": false}, {""alt_compound_ids"": [""Ar-H""], ""compound_id"": ""HeteroAr-H"", ""count"": 3, ""rank_score"": 371.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 8, ""bond"": [2, 8]}, {""a_atom_idx"": 3, ""b_atom_idx"": 9, ""bond"": [3, 9]}, {""a_atom_idx"": 7, ""b_atom_idx"": 10, ""bond"": [7, 10]}], ""undocumented"": false}]",HeteroAr-Cl;HeteroAr-Cl;HeteroAr-H;HeteroAr-H;HeteroAr-H,0,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 1, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [6], ""heteroaromatic"": true, ""heterocycle_types"": [""Pyridine""], ""is_heterocycle"": true, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig; Sonogashira; Heck,Excellent leaving group; very reactive,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,True,,O=S(=O)(Oc1ccccc1)C(F)(F)F,True,1,Ar-OTf,1,Ar-OTf,"[{""alt_compound_ids"": [""Alkyl-F"", ""Alkyl-S*"", ""Ar-O*"", ""Ar-OMs"", ""Ar-OSO2R""], ""compound_id"": ""Ar-OTf"", ""count"": 1, ""rank_score"": 831.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-OTf,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-rich triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,True,,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,True,2,Ar-OTf;Ar-OR,2,Ar-OTf;Ar-OR,"[{""alt_compound_ids"": [""Alkyl-F"", ""Alkyl-S*"", ""Ar-O*"", ""Ar-OMs"", ""Ar-OSO2R""], ""compound_id"": ""Ar-OTf"", ""count"": 1, ""rank_score"": 831.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-O*"", ""Alkyl-OR"", ""Ar-O*"", ""CH3-OR""], ""compound_id"": ""Ar-OR"", ""count"": 1, ""rank_score"": 280.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-OTf;Ar-OR,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Good leaving group; cheaper than triflate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,True,,Cc1ccc(S(=O)(=O)Oc2ccccc2)cc1,True,1,Ar-OTs,1,Ar-OTs,"[{""alt_compound_ids"": [""Ar-Alkyl"", ""Ar-O*"", ""Ar-OSO2R"", ""Ar-S*""], ""compound_id"": ""Ar-OTs"", ""count"": 1, ""rank_score"": 887.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}]",Ar-OTs,1,"{""aromatic_ring_count"": 2, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 2}, ""ring_sizes"": [6]}"
Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Mesylate leaving group,c1ccc(OS(=O)(=O)C)cc1,True,,CS(=O)(=O)Oc1ccccc1,True,4,Ar-OMs;R_acidic-H;R_acidic-H;R_acidic-H,2,Ar-OMs;R_acidic-H,"[{""alt_compound_ids"": [""Alkyl-S*"", ""Ar-O*"", ""Ar-OSO2R""], ""compound_id"": ""Ar-OMs"", ""count"": 1, ""rank_score"": 648.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-H""], ""compound_id"": ""R_acidic-H"", ""count"": 3, ""rank_score"": 380.0, ""sites"": [{""a_atom_idx"": 8, ""b_atom_idx"": 14, ""bond"": [5, 8]}, {""a_atom_idx"": 8, ""b_atom_idx"": 15, ""bond"": [5, 8]}, {""a_atom_idx"": 8, ""b_atom_idx"": 16, ""bond"": [5, 8]}], ""undocumented"": false}]",Ar-OMs;R_acidic-H;R_acidic-H;R_acidic-H,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,electrophile,Suzuki-Miyaura; Buchwald-Hartwig,Electron-poor triflate; highly reactive,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,True,,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,True,2,Ar-OTf;Ar-CN,2,Ar-OTf;Ar-CN,"[{""alt_compound_ids"": [""Alkyl-F"", ""Alkyl-S*"", ""Ar-O*"", ""Ar-OMs"", ""Ar-OSO2R""], ""compound_id"": ""Ar-OTf"", ""count"": 1, ""rank_score"": 831.0, ""sites"": [{""a_atom_idx"": 5, ""b_atom_idx"": 6, ""bond"": [5, 6]}], ""undocumented"": false}, {""compound_id"": ""Ar-CN"", ""count"": 1, ""rank_score"": 372.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-OTf;Ar-CN,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Vinyl bromide,C=CBr,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille; Negishi; Kumada,Simple vinyl halide,C=CBr,True,,C=CBr,True,1,Alkenyl-Br,1,Alkenyl-Br,"[{""compound_id"": ""Alkenyl-Br"", ""count"": 1, ""rank_score"": 385.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [0, 1]}], ""undocumented"": false}]",Alkenyl-Br,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Vinyl chloride,C=CCl,electrophile,Suzuki-Miyaura; Heck,Less reactive vinyl halide,C=CCl,True,,C=CCl,True,1,Alkenyl-Cl,1,Alkenyl-Cl,"[{""compound_id"": ""Alkenyl-Cl"", ""count"": 1, ""rank_score"": 380.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [0, 1]}], ""undocumented"": false}]",Alkenyl-Cl,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Vinyl iodide,C=CI,electrophile,Suzuki-Miyaura; Sonogashira; Heck; Stille,Most reactive vinyl halide,C=CI,True,,C=CI,True,1,Alkenyl-I,1,Alkenyl-I,"[{""compound_id"": ""Alkenyl-I"", ""count"": 1, ""rank_score"": 387.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [0, 1]}], ""undocumented"": false}]",Alkenyl-I,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
(E)-1-Bromopropene,C/C=C/Br,electrophile,Suzuki-Miyaura; Sonogashira; Heck,Stereodefined vinyl bromide,C/C=C/Br,True,,C/C=C/Br,True,2,Alkyl-Alkenyl;Alkenyl-Br,2,Alkyl-Alkenyl;Alkenyl-Br,"[{""compound_id"": ""Alkyl-Alkenyl"", ""count"": 1, ""rank_score"": 407.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}, {""compound_id"": ""Alkenyl-Br"", ""count"": 1, ""rank_score"": 385.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 3, ""bond"": [1, 2]}], ""undocumented"": false}]",Alkyl-Alkenyl;Alkenyl-Br,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
2-Bromopropene,C=C(Br)C,electrophile,Suzuki-Miyaura; Sonogashira,Geminal disubstituted vinyl bromide,C=C(Br)C,True,,C=C(C)Br,True,2,Alkyl-Alkenyl;Alkenyl-Br,2,Alkyl-Alkenyl;Alkenyl-Br,"[{""compound_id"": ""Alkyl-Alkenyl"", ""count"": 1, ""rank_score"": 407.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 1, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Alkenyl-Br"", ""count"": 1, ""rank_score"": 385.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [0, 1]}], ""undocumented"": false}]",Alkyl-Alkenyl;Alkenyl-Br,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
α-Bromostyrene,BrC(=C)c1ccccc1,electrophile,Suzuki-Miyaura; Sonogashira,Aryl-substituted vinyl bromide,BrC(=C)c1ccccc1,True,,C=C(Br)c1ccccc1,True,2,Ar-Alkenyl;Alkenyl-Br,2,Ar-Alkenyl;Alkenyl-Br,"[{""compound_id"": ""Ar-Alkenyl"", ""count"": 1, ""rank_score"": 419.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 1, ""bond"": [1, 2]}], ""undocumented"": false}, {""compound_id"": ""Alkenyl-Br"", ""count"": 1, ""rank_score"": 385.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [1, 2]}], ""undocumented"": false}]",Ar-Alkenyl;Alkenyl-Br,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
Ethyl bromide,CCBr,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Simple primary alkyl bromide; β-hydride elimination risk,CCBr,True,,CCBr,True,1,RCH2-Br,1,RCH2-Br,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""RCH2-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}]",RCH2-Br,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Ethyl chloride,CCCl,electrophile,Negishi; Kumada; SN2,Primary alkyl chloride,CCCl,True,,CCCl,True,1,RCH2-Cl,1,RCH2-Cl,"[{""alt_compound_ids"": [""Alkyl-Cl""], ""compound_id"": ""RCH2-Cl"", ""count"": 1, ""rank_score"": 362.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}]",RCH2-Cl,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Ethyl iodide,CCI,electrophile,Suzuki-Miyaura; Negishi; Kumada; SN2,Most reactive primary alkyl halide,CCI,True,,CCI,True,1,RCH2-I,1,RCH2-I,"[{""alt_compound_ids"": [""Alkyl-I""], ""compound_id"": ""RCH2-I"", ""count"": 1, ""rank_score"": 369.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 2, ""bond"": [1, 2]}], ""undocumented"": false}]",RCH2-I,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Isopropyl bromide,CC(C)Br,electrophile,Negishi; Kumada,Secondary alkyl bromide; high β-hydride risk,CC(C)Br,True,,CC(C)Br,True,1,R2CH-Br,1,R2CH-Br,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""R2CH-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 3, ""bond"": [1, 3]}], ""undocumented"": false}]",R2CH-Br,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
tert-Butyl bromide,CC(C)(C)Br,electrophile,SN1,Tertiary alkyl bromide; no β-hydride; SN1 mechanism,CC(C)(C)Br,True,,CC(C)(C)Br,True,1,R3C-Br,1,R3C-Br,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""R3C-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 4, ""bond"": [1, 4]}], ""undocumented"": false}]",R3C-Br,1,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
Benzyl bromide,BrCc1ccccc1,electrophile,Suzuki-Miyaura; SN2; Negishi,Benzylic position; activated sp3 halide,BrCc1ccccc1,True,,BrCc1ccccc1,True,1,Bn-Br,1,Bn-Br,"[{""alt_compound_ids"": [""Alkyl-Br"", ""Ar-Alkyl"", ""RCH2-Br""], ""compound_id"": ""Bn-Br"", ""count"": 1, ""rank_score"": 359.0, ""sites"": [{""a_atom_idx"": 1, ""b_atom_idx"": 0, ""bond"": [1, 2]}], ""undocumented"": false}]",Bn-Br,1,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
2-Phenylethyl bromide,C(Br)Cc1ccccc1,electrophile,SN2; Negishi; Kumada,Primary alkyl bromide with aryl substituent,C(Br)Cc1ccccc1,True,,BrCCc1ccccc1,True,2,RCH2-Br;Ar-Alkyl,2,RCH2-Br;Ar-Alkyl,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""RCH2-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 1, ""bond"": [0, 1]}], ""undocumented"": false}, {""compound_id"": ""Ar-Alkyl"", ""count"": 1, ""rank_score"": 274.0, ""sites"": [{""a_atom_idx"": 2, ""b_atom_idx"": 2, ""bond"": [2, 2]}], ""undocumented"": false}]",RCH2-Br;Ar-Alkyl,2,"{""aromatic_ring_count"": 1, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {""6"": 1}, ""ring_sizes"": [6]}"
4-Bromo-1-butene,C=CCCBr,electrophile,SN2; Negishi,Homoallylic bromide,C=CCCBr,True,,C=CCCBr,True,2,RCH2-Br;RCH2-Alkenyl,2,RCH2-Br;RCH2-Alkenyl,"[{""alt_compound_ids"": [""Alkyl-Br""], ""compound_id"": ""RCH2-Br"", ""count"": 1, ""rank_score"": 367.0, ""sites"": [{""a_atom_idx"": 3, ""b_atom_idx"": 4, ""bond"": [3, 4]}], ""undocumented"": false}, {""alt_compound_ids"": [""Alkyl-Alkenyl""], ""compound_id"": ""RCH2-Alkenyl"", ""count"": 1, ""rank_score"": 254.0, ""sites"": [{""a_atom_idx"": 0, ""b_atom_idx"": 1, ""bond"": [0, 1]}], ""undocumented"": false}]",RCH2-Br;RCH2-Alkenyl,2,"{""aromatic_ring_count"": 0, ""hetero_counts"": {""N"": 0, ""O"": 0, ""S"": 0}, ""hetero_ring_sizes"": [], ""heteroaromatic"": false, ""heterocycle_types"": [], ""is_heterocycle"": false, ""ring_size_counts"": {}, ""ring_sizes"": []}"
