name,aliases,roles,mention_count,normalized_identity,possible_cas_no,cas_match_status,cas_confidence,cas_checksum_status,registry_status_before,registry_substance_id,registry_canonical_name,lookup_status,lookup_canonical_name,identity_match_method,identity_match_score,decision,decision_reason,aliases_added_or_planned,source_basis,source_url,match_notes,lookup_sources,lookup_warnings
Jackie CPhos,Jackie CPhos,ligand,298,CPhos–JackiePhos hybrid ligand,1810068-30-4,commercial_product_match,medium,valid,unresolved,,,resolved,"2'-(Bis(3,5-bis(trifluoromethyl)phenyl)phosphanyl)-3',6'-dimethoxyN2,N2,N6,N6-tetramethyl-[1,1'-biphenyl]-2,6-diamine",normalized_name_similarity,0.3509,review,IDENTITY_NOT_CORROBORATED:0.3509<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_1810068-30-4.htm,Interpreted as the commercial CPhos–JackiePhos hybrid ligand.,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-30-4/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-30-4/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/121237780",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Jackie CPhos Pd G4,Jackie CPhos Pd G4,catalyst,298,CPhos–JackiePhos hybrid Pd G4,1810068-35-9,commercial_product_match,high,valid,unresolved,,,resolved,"Methanesulfonato(2-bis(3,5-di(trifluoromethyl)phenylphosphino)-3,6-dimethoxy-2',6'-bis(dimethylamino)-1,1'-biphenyl)(2'-methylamino-1,1'-biphenyl-2-yl)palladium(II) [Palladacycle Gen. 4]",normalized_name_similarity,0.2222,review,IDENTITY_NOT_CORROBORATED:0.2222<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1810068-35-9.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-35-9/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1810068-35-9/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/171042676",MULTIPLE_PUBCHEM_COMPOUNDS_FIRST_SELECTED | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Josiphos SL-J002-1,Josiphos SL-J002-1,ligand,4,Josiphos SL-J002-1,155830-69-6,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_155830-69-6.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
JosiphosSL-J009-1,JosiphosSL-J009-1,ligand,1139,Josiphos SL-J009-1,158923-11-6,normalized_name_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_158923-11-6.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
KOPiv,KOPiv,additive | base,768,Potassium pivalate,19455-20-0,likely_abbreviation,high,valid,unresolved,,,resolved,Potassium isobutyrate,normalized_name_similarity,0.7027,review,IDENTITY_NOT_CORROBORATED:0.7027<0.72,,supplier/registry name match,https://www.chemicalbook.com/CASEN_19455-20-0.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/19455-20-0/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/19455-20-0/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/23677462",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Me3(OMe)-tBuXPhos,Me3(OMe)-tBuXPhos,ligand,375,Me3(OMe)tBuXPhos ligand,1359986-21-2,commercial_product_match,high,valid,unresolved,,,resolved,"Bis(1,1-dimethylethyl)(4-methoxy-3,5,6-trimethyl-2',4',6'-tris(1-methylethyl)(1,1'-biphenyl)-2-yl)phosphine",normalized_name_similarity,0.2727,review,IDENTITY_NOT_CORROBORATED:0.2727<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1359986-21-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1359986-21-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1359986-21-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/101565641",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Me3(OMe)tBuXPhos Pd G3,Me3(OMe)tBuXPhos Pd G3,catalyst,375,Me3(OMe)tBuXPhos Pd G3,,no_defensible_cas_found,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,conflicting supplier metadata,https://www.sigmaaldrich.com/US/en/product/aldrich/804193,"Some reseller metadata assigns 1599466-81-5, but that CAS is independently registered to XPhos Pd G4 with a different formula. No CAS was assigned here pending supplier/SDS confirmation.",,
meCgPPh Pd G3,meCgPPh Pd G3,catalyst,1311,MeCgPPh Pd G3,2230788-58-4,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_2230788-58-4.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
MNBO,MNBO,ligand,236,MNBO ligand,2072108-68-8,commercial_product_match,medium,valid,unresolved,,,resolved,N'-benzyl-N-(2-methylnaphthalen-1-yl)ethanediamide,normalized_name_similarity,0.2667,review,IDENTITY_NOT_CORROBORATED:0.2667<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_2072108-68-8.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2072108-68-8/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2072108-68-8/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/126500423",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
MNFO,MNFO,ligand,20,MNFO ligand,2072109-00-1,commercial_product_match,medium,valid,unresolved,,,resolved,N-[(furan-2-yl)methyl]-N'-(2-methylnaphthalen-1-yl)ethanediamide,normalized_name_similarity,0.1887,review,IDENTITY_NOT_CORROBORATED:0.1887<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_2072109-00-1.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2072109-00-1/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/126500407",PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
MorDalphos Pd G3,MorDalphos Pd G3,catalyst,711,MorDalPhos Pd G3,2222690-89-1,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_2222690-89-1.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
MorDalPhos Pd G6 Br,MorDalPhos Pd G6 Br,catalyst,204,MorDalPhos Pd G6 Br,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
Na2WO4,Na2WO4,additive,28,"Sodium tungstate, anhydrous",13472-45-2,formula_or_abbreviation_match,medium,valid,unresolved,,,resolved,disodium dioxido-dioxotungsten,normalized_name_similarity,0.7692,review,IDENTITY_NOT_CORROBORATED:0.7692<0.82,,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=13472-45-2,Hydrated sodium tungstate has a different CAS number; the input does not state hydration.,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/13472-45-2/synonyms/JSON | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/iupac_name | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/smiles | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/formula | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/mw | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/stdinchiKey | https://cactus.nci.nih.gov/chemical/structure/13472-45-2/names,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError
NBO,NBO,ligand,8,NBO,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
NBu4SCN,NBu4SCN,additive,12,Tetrabutylammonium thiocyanate,2052-46-2,formula_or_abbreviation_match,high,valid,unresolved,,,resolved,"1,4-Benzenediamine, N1,N1-dimethyl-, hydrochloride (1:1)",normalized_name_similarity,0.3774,review,IDENTITY_NOT_CORROBORATED:0.3774<0.72,,CAS Common Chemistry / established registry identity,https://commonchemistry.cas.org/detail?cas_rn=2052-46-2,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2052-46-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2052-46-2/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/7736 | https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7736/JSON?heading=Physical%20Description",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_EXPERIMENTAL_FIELDS_REQUIRE_REVIEW
NFO,NFO,ligand,115,NFO,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
(NHP-DalPhos)NiCl(o-tol),(NHP-DalPhos)NiCl(o-tol),catalyst,8,(NHP-DalPhos)NiCl(o-tolyl),2225857-68-9,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_2225857-68-9.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
P(Cy3) Pd G2,P(Cy3) Pd G2,catalyst,12,PCy3 Pd G2,1353658-81-7,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1353658-81-7.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
P(tBu)3 Pd G6,P(tBu)3 Pd G6,catalyst,224,P(tBu)3 Pd G6 bromide,1071965-73-5,commercial_product_match,medium,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.82,,supplier catalog match,https://www.chemicalbook.com/CASEN_1071965-73-5.htm,Interpreted as the commonly cataloged G6 bromide form; counterion is not explicit in the input.,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
P(tBu)(Cy)2,P(tBu)(Cy)2,ligand,219,P(tBu)(Cy)2,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2)2PdCl2,catalyst,219,"Bis(cyclohexyl-di-tert-butylphosphine?) palladium dichloride, normalized from shorthand",104889-13-6,possible_formula_match,medium,valid,unresolved,,,resolved,bis(tert-butyldicylcohexylphosphine)dichloropalladium(II),normalized_name_similarity,0.5630,review,UNSAFE_MATCH_STATUS:possible_formula_match,,supplier/registry candidate,https://www.chemicalbook.com/CASEN_104889-13-6.htm,Shorthand parentheses are malformed. Confirm the exact phosphine substitution pattern against the source catalog.,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/104889-13-6/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/104889-13-6/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/172916079",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
[Pd(allyl)(Ad-BippyPhos)]OTf,[Pd(allyl)(Ad-BippyPhos)]OTf,catalyst,36,[Pd(allyl)(Ad-BippyPhos)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(Ad-BrettPhos)]OTf,[Pd(allyl)(Ad-BrettPhos)]OTf,catalyst,8,[Pd(allyl)(Ad-BrettPhos)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(AlPhos)]OTf,[Pd(allyl)(AlPhos)]OTf,catalyst,42,[Pd(allyl)(AlPhos)] triflate,3055551-75-9,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_3055551-75-9.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
[Pd(allyl)(cataCXiumPCy)]OTf,[Pd(allyl)(cataCXiumPCy)]OTf,catalyst,18,[Pd(allyl)(cataCXiumPCy)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(cataCXiumPOMeCy)]OTf,[Pd(allyl)(cataCXiumPOMeCy)]OTf,catalyst,17,[Pd(allyl)(cataCXiumPOMeCy)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(CPhos-Hybrid)]OTf,[Pd(allyl)(CPhos-Hybrid)]OTf,catalyst,17,[Pd(allyl)(CPhos-Hybrid)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(Me4-tBu-XPhos)]OTf,[Pd(allyl)(Me4-tBu-XPhos)]OTf,catalyst,341,[Pd(allyl)(Me4-tBuXPhos)] triflate,1798782-29-2,commercial_product_match,high,valid,unresolved,,,resolved,"(Prop-2-en-1-yl)palladio trifluoromethanesulfonate; di-tert-butyl[3,4,5,6-tetramethyl-2',4',6'-tris(propan-2-yl)-[1,1'-biphenyl]-2-yl]phosphane",normalized_name_similarity,0.2388,review,IDENTITY_NOT_CORROBORATED:0.2388<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1798782-29-2.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1798782-29-2/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/178201495",PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
[Pd(allyl)(Ph-DavePhos)]OTf,[Pd(allyl)(Ph-DavePhos)]OTf,catalyst,21,[Pd(allyl)(Ph-DavePhos)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(Ph-SPhos)]OTf,[Pd(allyl)(Ph-SPhos)]OTf,catalyst,17,[Pd(allyl)(Ph-SPhos)]OTf,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
[Pd(allyl)(RockPhos)]OTf,[Pd(allyl)(RockPhos)]OTf,catalyst,177,[Pd(allyl)(RockPhos)] triflate,1798782-31-6,commercial_product_match,high,valid,unresolved,,,resolved,"(Prop-2-en-1-yl)palladio trifluoromethanesulfonate; di-tert-butyl[3-methoxy-6-methyl-2',4',6'-tris(propan-2-yl)-[1,1'-biphenyl]-2-yl]phosphane",normalized_name_similarity,0.2443,review,IDENTITY_NOT_CORROBORATED:0.2443<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1798782-31-6.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1798782-31-6/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/178201389",PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
[Pd(allyl)(XPhos)]OTf,[Pd(allyl)(XPhos)]OTf,catalyst,8,[Pd(allyl)(XPhos)] triflate,1846557-43-4,commercial_product_match,high,valid,unresolved,,,not_found,,no_name_evidence,0.0000,review,IDENTITY_NOT_CORROBORATED:0.0000<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1846557-43-4.htm,,,PUBCHEM_PROPERTY_LOOKUP_FAILED:HTTPError | PUBCHEM_SYNONYM_LOOKUP_FAILED:HTTPError | NCI_FALLBACK_NOT_FOUND | CORE_LOOKUP_RETRIED
Pd/C,Pd/C,catalyst,160,Palladium on carbon,7440-05-3,component_or_parent_only,medium,valid,unresolved,,,resolved,Palladium,exact_normalized_name,1.0000,review,UNSAFE_MATCH_STATUS:component_or_parent_only,,CAS for elemental palladium component,https://commonchemistry.cas.org/detail?cas_rn=7440-05-3,"Pd/C is a supported catalyst formulation with variable Pd loading and carbon support; 7440-05-3 is the CAS for the palladium component, not a unique formulation CAS.","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7440-05-3/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7440-05-3/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/23938",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
[Pd(OTf)2(DPPP)],[Pd(OTf)2(DPPP)],catalyst,14,[Pd(OTf)2(DPPP)],,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
Pd-PEPPSI-IHept Cl 3-chloropyridine,Pd-PEPPSI-IHept Cl 3-chloropyridine,catalyst,326,"Pd-PEPPSI-IHept chloride, 3-chloropyridine complex",1814936-54-3,commercial_product_match,high,valid,unresolved,,,resolved,"3-chloropyridine;4,5-dichloro-1,3-bis[2,6-di(heptan-4-yl)phenyl]-2H-imidazole;dichloropalladium",normalized_name_similarity,0.4179,review,IDENTITY_NOT_CORROBORATED:0.4179<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1814936-54-3.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1814936-54-3/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1814936-54-3/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/166607373",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Pd-PEPPSI-IPent Cl 3-chloropyridine,Pd-PEPPSI-IPent Cl 3-chloropyridine,catalyst,432,"Pd-PEPPSI-IPent chloride, 3-chloropyridine complex",1158652-41-5,commercial_product_match,high,valid,unresolved,,,resolved,"(1,3-bis(2,6-bis(pentan-3-yl)phenyl)-2,3-dihydro-1H-imidazol-2-yl)dichloro(3-chloro-1lambda5-pyridin-1-yl)palladium",normalized_name_similarity,0.6875,review,IDENTITY_NOT_CORROBORATED:0.6875<0.72,,supplier catalog match,https://www.chemicalbook.com/CASEN_1158652-41-5.htm,,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1158652-41-5/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON | https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1158652-41-5/synonyms/JSON | https://pubchem.ncbi.nlm.nih.gov/compound/146050493",PUBCHEM_DENSITY_LOOKUP_FAILED:HTTPError | PUBCHEM_BOILING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_MELTING_POINT_LOOKUP_FAILED:HTTPError | PUBCHEM_PHYSICAL_DESCRIPTION_LOOKUP_FAILED:HTTPError
Pd-PEPPSI-IPent Cl o-picoline,Pd-PEPPSI-IPent Cl o-picoline,catalyst,803,Pd-PEPPSI-IPent Cl o-picoline,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
PEP-K,PEP-K,coupling_reagent,120,PEP-K,,unresolved,low,not_applicable,not_checked,,,not_run,,not_checked,0.0000,review,NO_CAS_SUPPLIED,,insufficiently specific name or no reliable registry match found,,"No defensible CAS assignment was made from the supplied shorthand alone. Confirm structure, supplier catalog number, counterion, solvate, and/or stereochemistry.",,
