Level1 Level2 Level3=SMARTS_RX SMARTS_RX_SMARTS
X X_Heteroaromatic X-Bromide_Het5Phe [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]
X X_Heteroaromatic X-Iodide_Het5Phe [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]
X X_Heteroaromatic X-Triflate_Het5Phe [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(*(aa2)c1c2cccc1)]),$(*[$(*2ac1c(a2)cccc1)])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het5Het5 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het5Het5 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]
X X_Heteroaromatic X-Bromide_Het5Het5 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]
X X_Heteroaromatic X-Iodide_Het5Het5 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]
X X_Heteroaromatic X-Triflate_Het5Het5 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(a1aa(aaa2)a2a1)]),$(*[$(a1a(aaa2)a2aa1)])])]
XF X_Fluoride_Aromatic X-Fluoride_PhePhe [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])]);!$(FC(F)F)]
X X_Aromatic X-Chloride_PhePhe [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]
X X_Aromatic X-Bromide_PhePhe [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]
X X_Aromatic X-Iodide_PhePhe [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]
X X_Aromatic X-Triflate_PhePhe [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het6Phe [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het6Phe [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Bromide_Het6Phe [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Iodide_Het6Phe [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Triflate_Het6Phe [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_PheHet6 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_PheHet6 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])])]
X X_Heteroaromatic X-Bromide_PheHet6 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])])]
X X_Heteroaromatic X-Iodide_PheHet6 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])])]
X X_Heteroaromatic X-Triflate_PheHet6 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)])])])]
XF X_Fluoride_Heteroaromatic X-Fluoride_Het6Het6 [F;$([F][*;$([#6]);!$(*=*)]);$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])]);!$(FC(F)F)]
X X_Heteroaromatic X-Chloride_Het6Het6 [Cl;$([Cl][*;$([#6]);!$(*=*)]);$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Bromide_Het6Het6 [Br;$([Br][*;$([#6]);!$(*=*)]);$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Iodide_Het6Het6 [I;$([I][*;$([#6]);!$(*=*)]);$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
X X_Heteroaromatic X-Triflate_Het6Het6 [O;$(OS(=O)(=O)C(F)(F)F);$([O;$(OS(=O)(=O)C(F)(F)F)][*;$([#6]);!$(*=*)]);$([$(*[$(a(aaa2)a1a2aaaa1)]),$(*[$(a1aa2a(aaaa2)aa1)]);!$([$(*[$(c1cc2c(cccc2)cc1)]),$(*[$(c(ccc2)c1c2cccc1)]),$(*[$(a1ac2c(cccc2)aa1)]),$(*[$(a(aaa2)c1c2cccc1)]),$(*[$(c1cc2c(aaaa2)cc1)]),$(*[$(c(ccc2)c1c2aaaa1)])])])]
Aldehyde Aldehyde_Aliphatic Aldehyde_SaturatedAliphatic [C;$([C;H1,H2]=O);!$(C(=O)[!#6]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Aldehyde Aldehyde_Aliphatic Aldehyde_UnsaturatedAliphatic [C;$([C;H1,H2]=O);!$(C(=O)[!#6]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Aldehyde Aldehyde_Aromatic Aldehyde_Aromatic [C;$([C;D1,D2;H1,H2]=O);!$(C(=O)[!#6]);$([$(*[c;$(c1ccccc1)])])]
Aldehyde Aldehyde_Heteroaromatic Aldehyde_Heteroaromatic [C;$([C;D1,D2;H1,H2]=O);!$(C(=O)[!#6]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Ketone KetoneAromaticCyclic KetoneAromaticCyclic [#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])])]
Ketone KetoneAromaticAcyclic KetoneAromaticAcyclic [#6;!R;$([#6;D3;$([#6](=O)([#6;a])[#6;a])])]
Ketone KetoneAliphaticCyclic KetoneAliphaticCyclic [#6;R;$([#6;D3;$([#6](=O)([#6;A])[#6;A])])]
Ketone KetoneAliphaticAcyclic KetoneAliphaticAcyclic [#6;!R;$([#6;D3;$([#6](=O)([#6;A;!$(*=*)])[#6;A;!$(*=*)])]);!$([#6](=O)[C;D2][F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]
Ketone KetoneMixCyclic KetoneMixCyclic [#6;R;$([#6;D3;$([#6](=O)([#6;a])[#6;A;!$(*=*)])])]
Ketone KetoneMixAcyclic KetoneMixAcyclic [#6;!R;$([#6;D3;$([#6](=O)([#6;a])[#6;A;!$(*=*)])]);!$([#6](=O)[C;D2][F,Cl,Br,I,$(OS(=O)(=O)C(F)(F)F)])]
Ketone Thioketone Thioketone [#6;$([#6;D3;$([#6](=S)([#6;!$(*=*)])[#6;!$(*=*)])])]
Nitrogen_X NitrogenFluorideCyclic NitrogenFluorideCyclic [F;$(F[N;R])]
Nitrogen_X NitrogenFluorideAcyclic NitrogenFluorideAcyclic [F;$(F[N;!R])]
Nitrogen_X NitrogenChlorideCyclic NitrogenChlorideCyclic [Cl;$(Cl[N;R])]
Nitrogen_X NitrogenChlorideAcyclic NitrogenChlorideAcyclic [Cl;$(Cl[N;!R])]
Nitrogen_X NitrogenBromideCyclic NitrogenBromideCyclic [Br;$(Br[N;R])]
Nitrogen_X NitrogenBromideAcyclic NitrogenBromideAcyclic [Br;$(Br[N;!R])]
Nitrogen_X NitrogenIodideCyclic NitrogenIodideCyclic [I;$(I[N;R])]
Nitrogen_X NitrogenIodideAcyclic NitrogenIodideAcyclic [I;$(I[N;!R])]
Nitrogen_X NitrogenTriflateCyclic NitrogenTriflateCyclic [$(OS(=O)(=O)C(F)(F)F);$([$(OS(=O)(=O)C(F)(F)F)][N;R])]
Nitrogen_X NitrogenTriflateAcyclic NitrogenTriflateAcyclic [$(OS(=O)(=O)C(F)(F)F);$([$(OS(=O)(=O)C(F)(F)F)][N;!R])]
Imine AromaticImine AromaticImine [N;D2;$(N([a])=[#6]);!$(N=C*(=*));!$(N~C(~N)~N);!$(N=C*(=*));!$(N=C=*);!$(N=N)]
Imine AliphaticImine AliphaticImine [N;D1,D2;$(N=[#6]);!$(N([a])=[#6]);!$(N=C*(=*));!$(N=C=*);!$(N=N);!$(N=CN);!$(N[!#6])]
Thioester ThioEsterAcyclic ThioEsterAcyclic [S;D2;!R;$(S([#6])[C;D3;!R;$(C([#6])(=[S,O])S)])]
Thioester ThioEsterCyclic ThioEsterCyclic [S;D2;R;$(S([#6])[C;D3;R;$(C([#6])(=[S,O])S)])]
Ester EsterAcyclic EsterAcyclic [O;D2;!R;$(O([#6])[C;D3;!R;$(C([#6])(=O)O[#6])]);!$(OC(=O)C([C;!R])([C;!R])[C;!R]);!$(O(C(=O))C(=O))]
Ester EsterCyclic EsterCyclic [O;D2;R;$(O([#6])[C;D3;R;$(C([#6])(=O)O[#6])]);!$(OC(=O)C([C;!R])([C;!R])[C;!R])]
Ester EsterAromatic EsterAromatic [o;$(o([c;R](=O))c)]
Nitrile Nitrile_Aliphatic Nitrile_SaturatedAliphatic [C;$(C#N);$(C[#6]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Nitrile Nitrile_Aliphatic Nitrile_UnsaturatedAliphatic [C;$(C#N);$(C[#6]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Nitrile Nitrile_Aromatic Nitrile_Aromatic [C;$(C#N);$(C[#6]);$([$(*[c;$(c1ccccc1)])])]
Nitrile Nitrile_Heteroaromatic Nitrile_Heteroaromatic [C;$(C#N);$(C[#6]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
Sulfur Sulfur Sulfur [S;D0]
Sulfonyl Sulfonyl_Aliphatic Sulfonyl-Fluoride_Aliphatic [F;$([F][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonyl_Aliphatic Sulfonyl-Chloride_Aliphatic [Cl;$([Cl][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonyl_Aliphatic Sulfonyl-Bromide_Aliphatic [Br;$([Br][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonyl_Aliphatic Sulfonyl-Iodide_Aliphatic [I;$([I][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonyl_Aliphatic Sulfonyl-Triflate_Aliphatic [O;$(O(S(=O)(=O)C(F)(F)F)S(=O)(=O));$([O;$(OS(=O)(=O)C(F)(F)F);!$(OC(#,=*));!$(O[C;D2][C;D3](=[O,S]));!$(O[C;D2][C;D3](=[O,S]));!$(O[S;D3](=O));!$(O[S;D4](=N)(=O))][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonyl_Aromatic Sulfonyl-Fluoride_Aromatic [F;$([F][S;D4](=O)(=O));$([$(**a)])]
Sulfonyl Sulfonyl_Aromatic Sulfonyl-Chloride_Aromatic [Cl;$([Cl][S;D4](=O)(=O));$([$(**a)])]
Sulfonyl Sulfonyl_Aromatic Sulfonyl-Bromide_Aromatic [Br;$([Br][S;D4](=O)(=O));$([$(**a)])]
Sulfonyl Sulfonyl_Aromatic Sulfonyl-Iodide_Aromatic [I;$([I][S;D4](=O)(=O));$([$(**a)])]
Sulfonyl Sulfonyl_Aromatic Sulfonyl-Triflate_Aromatic [O;$(O(S(=O)(=O)C(F)(F)F)S(=O)(=O));$([O;$(OS(=O)(=O)C(F)(F)F);!$(OC(=*));!$(O[C;D2][C;D3](=[O,S]));!$(O[S;D3](=O));!$(O[S;D4](=N)(=O))][S;D4](=O)(=O));$([$(**a)])]
Sulfonyl Sulfonic_Aliphatic Sulfonic_Aliphatic [O;$([O;D1][S;D4](=O)(=O));$([!$(**a)])]
Sulfonyl Sulfonic_Aromatic Sulfonic_Aromatic [O;$([O;D1][S;D4](=O)(=O));$([$(**a)])]
Sulfinyl Sulfinyl_Aliphatic Sulfinyl-Fluoride_Aliphatic [F;$([F][S;D3](=O));$([!$(**a)])]
Sulfinyl Sulfinyl_Aliphatic Sulfinyl-Chloride_Aliphatic [Cl;$([Cl][S;D3](=O));$([!$(**a)])]
Sulfinyl Sulfinyl_Aliphatic Sulfinyl-Bromide_Aliphatic [Br;$([Br][S;D3](=O));$([!$(**a)])]
Sulfinyl Sulfinyl_Aliphatic Sulfinyl-Iodide_Aliphatic [I;$([I][S;D3](=O));$([!$(**a)])]
Sulfinyl Sulfinyl_Aliphatic Sulfinyl-Triflate_Aliphatic [O;$(O(S(=O)(=O)C(F)(F)F)[S;D3](=O));$([O;$(OS(=O)(=O)C(F)(F)F)][S;D3](=O));$([!$(**a)])]
Sulfinyl Sulfinyl_Aromatic Sulfinyl-Fluoride_Aromatic [F;$([F][S;D3](=O));$([$(**a)])]
Sulfinyl Sulfinyl_Aromatic Sulfinyl-Chloride_Aromatic [Cl;$([Cl][S;D3](=O));$([$(**a)])]
Sulfinyl Sulfinyl_Aromatic Sulfinyl-Bromide_Aromatic [Br;$([Br][S;D3](=O));$([$(**a)])]
Sulfinyl Sulfinyl_Aromatic Sulfinyl-Iodide_Aromatic [I;$([I][S;D3](=O));$([$(**a)])]
Sulfinyl Sulfinyl_Aromatic Sulfinyl-Triflate_Aromatic [O;$(O(S(=O)(=O)C(F)(F)F)[S;D3](=O));$([O;$(OS(=O)(=O)C(F)(F)F)][S;D3](=O));$([$(**a)])]
SulfonylImine SulfonylImine_Aliphatic SulfonylImine-Fluoride_Aliphatic [F;$([F][S;D4](=N)(=O));$([!$(**a)])]
SulfonylImine SulfonylImine_Aliphatic SulfonylImine-Chloride_Aliphatic [Cl;$([Cl][S;D4](=N)(=O));$([!$(**a)])]
SulfonylImine SulfonylImine_Aliphatic SulfonylImine-Bromide_Aliphatic [Br;$([Br][S;D4](=N)(=O));$([!$(**a)])]
SulfonylImine SulfonylImine_Aliphatic SulfonylImine-Iodide_Aliphatic [I;$([I][S;D4](=N)(=O));$([!$(**a)])]
SulfonylImine SulfonylImine_Aliphatic SulfonylImine-Triflate_Aliphatic [O;$(O(S(=O)(=O)C(F)(F)F)[S;D4](=N)(=O));$([O;$(OS(=O)(=O)C(F)(F)F)][S;D4](=N)(=O));$([!$(**a)])]
SulfonylImine SulfonylImine_Aromatic SulfonylImine-Fluoride_Aromatic [F;$([F][S;D4](=N)(=O));$([$(**a)])]
SulfonylImine SulfonylImine_Aromatic SulfonylImine-Chloride_Aromatic [Cl;$([Cl][S;D4](=N)(=O));$([$(**a)])]
SulfonylImine SulfonylImine_Aromatic SulfonylImine-Bromide_Aromatic [Br;$([Br][S;D4](=N)(=O));$([$(**a)])]
SulfonylImine SulfonylImine_Aromatic SulfonylImine-Iodide_Aromatic [I;$([I][S;D4](=N)(=O));$([$(**a)])]
SulfonylImine SulfonylImine_Aromatic SulfonylImine-Triflate_Aromatic [O;$(O(S(=O)(=O)C(F)(F)F)[S;D4](=N)(=O));$([O;$(OS(=O)(=O)C(F)(F)F)][S;D4](=N)(=O));$([$(**a)])]
Nitro Nitro_Aliphatic Nitro_SaturatedAliphatic [N;$([N;+](=O)[O;D1]);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)])]
Nitro Nitro_Aliphatic Nitro_UnsaturatedAliphatic [N;$([N;+](=O)[O;D1]);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)])]
Nitro Nitro_Aromatic Nitro_Aromatic [N;$([N;+](=O)[O;D1]);$([$(*[c;$(c1ccccc1)])])]
Nitro Nitro_Heteroaromatic Nitro_Heteroaromatic [N;$([N;+](=O)[O;D1]);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])])]
PFAS PFAS_Aliphatic CF2_SaturatedAliphatic [C;$(C(F)F);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(C(F)(F)F);!$(C(F)(F)C(F)(F));!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aliphatic CF2_UnsaturatedAliphatic [C;$(C(F)F);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)]);!$(C(F)(F)F);!$(C(F)(F)C(F)(F));!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aromatic CF2_Aromatic [C;$(C(F)F);$([$(*[c;$(c1ccccc1)])]);!$(C(F)(F)F);!$(C(F)(F)C(F)(F));!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Heteroaromatic CF2_Heteroaromatic [C;$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])]);$(C(F)F);!$(C(F)(F)F);!$(C(F)(F)C(F)(F));!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aliphatic CF3_SaturatedAliphatic [C;$(C(F)(F)F);$([!$(*C=C);!$(*C#C);!$(*C#N);!$(*a)]);!$(C(F)(F)(F)C(F)(F));!$(C(F)(F)(F)F);!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aliphatic CF3_UnsaturatedAliphatic [C;$(C(F)(F)F);$([$(*C=C),$(*C#C),$(*C#N);!$(*a)]);!$(C(F)(F)(F)C(F)(F));!$(C(F)(F)(F)F);!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aromatic CF3_Aromatic [C;$(C(F)(F)F);$([$(*[c;$(c1ccccc1)])]);!$(C(F)(F)(F)C(F)(F));!$(C(F)(F)(F)F);!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Heteroaromatic CF3_Heteroaromatic [C;$(C(F)(F)F);$([$(*[a;$(a1aaaaa1)]),$(*[a;$(a1aaaa1)]);!$(*[c;$(c1ccccc1)])]);!$(C(F)(F)(F)C(F)(F));!$(C(F)(F)(F)F);!$(C(F)(F)(F)S(=O)(=O)O)]
PFAS PFAS_Aliphatic PFAS_SaturatedAliphatic [$([*;$([!$(C=C);!$(C#C);!$(C#N);!$(a)]);!$(CF)]C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)]
PFAS PFAS_Aliphatic PFAS_UnsaturatedAliphatic [$([*;$([$(C=C),$(C#C),$(C#N);!$(a)]);!$(CF)]C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)]
PFAS PFAS_Aromatic PFAS_Aromatic [$([*;$([$([c;$(c1ccccc1)])]);!$(CF)]C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F),$([*;!$(CF)]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)]
