source_reaction_type,reactive_site_1_display_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_2_display_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,yield_pct,z_score,condition_recipe_id,condition_display,temperature_c,time_h,concentration_m,atmosphere,condition_identity_uncertainty,procedure_text
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,2,-0.74,RCR1:f29cd0eb0ab3b2d7549a933a4d1f245243ea9992d662817abf4649633af875ba,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; DIPEA [base]; iPrOAc [solvent]; Brij 35 [additive],,,,,true,"2 h at 50 °C, then 3 h at 80 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,30.33,0.5,RCR1:2a4af7b074f4a9b68ac60030541c89bc56df862830e914ec36044ebd6ed92004,CataCXiumA Pd(allyl)Cl [catalyst]; CataCXiumA [ligand]; Na2CO3 [base]; MeOH [solvent],,,,,true,"4.5 h at 50 °C, then 16.5 h at 80 °C"
Suzuki-Miyaura,Ar–I,LG|Ar|I,,,,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,79.2,1.93,RCR1:5f92e59bbb5b2957a75c770fddc450a0571db0c4dd1e5694893f2fa08217d16e,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; Cs2CO3 [base]; DMI [solvent]; TBAB [additive],,,,,true,"3.5 h at 60 °C, then 14.5 h at 80 °C"
CC-Coupling,R–C(O)OR,EC|Acyl|Alkyl|OR|ester,,,,Ar–I,LG|Ar|I,,,,26.35,0.4,RCR1:86d892b99539a9b758a3b2763f657eb43f897ccd7481b43f5bd5adbb9ae16d66,NiBr2-glyme [catalyst]; tBubpyCAMCN [ligand]; DMSO [solvent],25,6.5,,,true,6.5 h at 25 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,Ar–NH₂,XH|N|H2|Ar,primary,,,0,-0.23,RCR1:d9f957c5f4114132c77d94ed5237dd65e1005e9cb32d5ad44031c1a9ee9271a8,MorDalPhos Pd G6 Br [catalyst]; MorDalphos [ligand]; DIPEA [base]; tAmOH [solvent],,,,,true,
CC-Coupling,Ar–Br,LG|Ar|Br,,,,R–C(O)OR,EC|Acyl|Alkyl|OR|ester,,,,3.43,-1.01,RCR1:cf96ace1dd4bdff3545851d435d06ad671ae94bb257828748d8087662892dcf4,NiBr2-glyme [catalyst]; dtbpy [ligand]; DMAc [solvent],25,27,,,true,27 h at 25 °C
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,66.38,1.16,RCR1:c12e94365366b2433f1565fd91fcc8cc97a3f112463958d8474aa601bb0d3817,[Pd(allyl)(JohnPhos)]OTf [catalyst]; JohnPhos [ligand]; KOH [base]; MeCN [solvent],40,5,,,true,5 h at 40 °C
Buchwald-Hartwig,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,Ar–Br,LG|Ar|Br,,,,0,-0.94,RCR1:218f87ad49b30b330c6d033b515b2b7875cb1001688fd5a1c8e184f03ad35672,(R)-BINAP Pd(allyl)Cl [catalyst]; BINAP [ligand]; NaOH [base]; MeTHF [solvent]; water [solvent],,,,,true,
Cyclization,alkyne,PI|Alkyne,,,,Ar–Br,LG|Ar|Br,,,,0,-0.33,RCR1:d563ece31a39c473f46aef53a6a7b20e086dfcf6c989f8223c8d44208e5c2d30,"Ph3P AuCl, XPhos Pd(tBuInd)Cl [catalyst]; XPhos [ligand]; Cs2CO3 [base]; Dioxane [solvent]",,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,42.88,0.66,RCR1:1acef2611aeaf254140d78ad87b1b09d04e3bcb00aa2ebb65940c069a85e08a5,AmPhos2PdCl2 [catalyst]; AmPhos [ligand]; K2CO3 [base]; iPrOAc [solvent]; water [solvent],60,4,,,true,4 h at 60 °C
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Cl,LG|Ar|Cl,,,,0,-0.52,RCR1:9039de7341f830324929ac0402ab099075f64c24263b3956b227bef22dfe91fb,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; KOPiv [base]; PhMe [solvent],,,,,true,
Amide coupling,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,R–C(O)OR,EC|Acyl|Alkyl|OR|ester,,,,17.27,1.23,RCR1:aa50dd6575bf39378692c0c817507aeac201e11ae1586f05f4e003cd2a4567cc,No ligand; DIPEA [base]; KOH [base]; MeCN [solvent]; water [solvent]; CyanuricChloride [coupling_reagent],25,2,,,true,2 h at 25 °C
CN-Coupling,Ar–Br,LG|Ar|Br,,,,R–C(O)–NHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,0,-0.47,RCR1:7da65f10d2134f977d8bee5c0cc02090913931e763a64e2045ff2f85e7910f4e,Cu(MeCN)4BF4 [catalyst]; DL-Proline [ligand]; Cs2CO3 [base]; tAmOH [solvent],,,,,true,
CN-Coupling,Ar–Br,LG|Ar|Br,,,,R–C(O)–NHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,0,-0.18,RCR1:7da65f10d2134f977d8bee5c0cc02090913931e763a64e2045ff2f85e7910f4e,Cu(MeCN)4BF4 [catalyst]; DL-Proline [ligand]; Cs2CO3 [base]; tAmOH [solvent],,,,,true,
CN-Coupling,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,Ar–Br,LG|Ar|Br,,,,0,-0.42,RCR1:dd983e97fde326963634d0df08b6cd7362a36a07e2833bd1e2d42eeff7f68c61,"Cu(MeCN)4BF4 [catalyst]; 4,4-Dimethyl-2,2-bipyridine [ligand]; K3PO4 [base]; anisole [solvent]; water [solvent]",,,,,true,
CN-Coupling,Ar–Br,LG|Ar|Br,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,17.26,1.6,RCR1:28304490aa79656e7221c688631a073f177e80296ca03d70526f92e5e05205ed,CuI [catalyst]; BFMO [ligand]; KHMDS [base]; Dioxane [solvent],80,2,,,false,2 h at 80 °C
Alkylation,Activated alkyl C–H,XH|Csp3,,,,Ar–Br,LG|Ar|Br,,,,0,-0.27,RCR1:acd351917b4fe84bb7edf3d9e2aed679d02dee97c70a526c7494c6d0f4319db3,QPhos Pd(crotyl)Cl [catalyst]; QPhos [ligand]; TMPMgCl.LiCl [base]; Dioxane [solvent]; LiBr [additive],,,,,true,
Suzuki-Miyaura,Ar–Cl,LG|Ar|Cl,,,,R–BF₃K,TM|Alkyl|BF3K,,,,0,-0.87,RCR1:7bdd2a6ff893edbb24a80024430e233e4cedc668fc79a1e2b6e9463f08266307,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; KOH [base]; tAmOH [solvent]; water [solvent],,,,,true,
CN-Coupling,Lactam,,,,,R–B(OH)₂,TM|Alkyl|B(OH)2,,,,2.62,-0.23,RCR1:0f2946f0f8ea20a8a7187797cd1426919b54ef81d7a9705768081abdb65dbb98,Copper(II)acetate [catalyst]; No ligand; DMAP [base]; Na2CO3 [base]; MeCN [solvent],,,,,false,"3 h at 50 °C, then 18 h at 80 °C"
CH-Activation,Ar–I,LG|Ar|I,,,,Ar–H,CH|ArH,,,,0,-0.56,RCR1:d2674dc047face364e929f943dd3aaab99e47b9784e66dbf86b09ba6029ede46,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; KOAc [base]; DMAc [solvent],,,,,true,
CO-Coupling,RCH₂–OH,XH|O|H1|Alkyl,,primary,false,Ar–Br,LG|Ar|Br,,,,0,-0.5,RCR1:31e031f669f29048c410a5dc1fc300df0fc14d294845011e3ba28fd6b5ccd2e4,Cu2O [catalyst]; Me4phen [ligand]; NaOtBu [base]; PhMe [solvent],,,,,true,
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,51.65,0.56,RCR1:9b760f6b1424cc33d199fde7ad98b849dc94594952103f3155a25f3e1fb61e2c,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; K3PO4 [base]; Brij 35 [solvent]; water [solvent],,,,,true,"3 h at 60 °C, then 3 h at 80 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OH)₂,TM|Ar|B(OH)2,,,,32.59,-0.28,RCR1:74c6b31764633f704a318274c54789b7325534389e3a6fa97e571c0429c269b9,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; K3PO4 [base]; Brij 35 [solvent]; water [solvent],60,5.5,,,true,5.5 h at 60 °C
Negishi,Alkyl-M,,,,,Ar–Br,LG|Ar|Br,,,,4.28,0.39,RCR1:61e1a209519459329447ced8e76b8fdd71cdc7f382964341a77c8fb318718da7,AmPhos2PdCl2 [catalyst]; AmPhos [ligand]; Potassium 2-ethylhexanoate [additive],,,,,true,"2.5 h at 50 °C, then 26 h at 80 °C"
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,73.76,0.63,RCR1:c0bce522cd5426b2da177aed407dd1728ecddcb00886430ec632936d50844d63,dppfPdCl2 [catalyst]; dppf [ligand]; Na2CO3 [base]; Dioxane [solvent]; water [solvent],,,,,true,"3 h at 60 °C, then 2.5 h at 80 °C"
Heck,alkene,PI|Alkene,,,,Ar–Br,LG|Ar|Br,,,,0,-0.88,RCR1:331dee9c1fc76ccbc0d2c7d7103dee241ff936895aa7aa549e3036a40925350f,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; K2CO3 [base]; DMI [solvent],,,,,true,
Heck,alkene,PI|Alkene,,,,Ar–Br,LG|Ar|Br,,,,1.27,-0.77,RCR1:8478382b96c090b70c0207a8159c58f508096c19084bedd02f5bd7721a9e0c95,"BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; TBD, TMG [base]; DMI [solvent]",100,3,,,true,3 h at 100 °C
Heck,alkene,PI|Alkene,,,,Ar–Br,LG|Ar|Br,,,,0,-0.88,RCR1:a8da21d82cb9a1428bac13701e4da51dbf8e90ffd3c5b5b8258dc9855a07530c,"BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; N-Methyldicyclohexylamin, TBD [base]; MeTHF [solvent]; TBAB [additive]",,,,,true,
Condensation,Ar–NH₂,XH|N|H2|Ar,primary,,,R–S(O)₂Cl,EC|Sulfonyl|Alkyl|Cl|activated,,,,0,-0.33,RCR1:d140996fca123bce171a01d9d9b5b7c60f8d6f90cc5bd09a2f249a8e7d96f9d3,No ligand; lutidine [base]; THF [solvent],,,,,false,
Suzuki-Miyaura,Alkenyl–B(OR)₂,TM|Alkenyl|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,5.22,-0.67,RCR1:45599920ed9810ab0fdb08516e1a38b2da9edbfe5c57ad6e7c40952c5199abc7,dpppPdCl2 [catalyst]; dppp [ligand]; K2CO3 [base]; iPrOAc [solvent]; water [solvent],,,,,true,"2 h at 60 °C, then 3 h at 80 °C"
Buchwald-Hartwig,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,Ar–Cl,LG|Ar|Cl,,,,0,-1.08,RCR1:ff52f86ef93adf83fed7bc7adeca3bcf310a8a59e26a24acf4c3a5ad99299ec6,P(oTol)3 Pd(crotyl)Cl [catalyst]; P(oTol)3 [ligand]; K2CO3 [base]; MeCN [solvent],,,,,true,
Buchwald-Hartwig,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,Ar–Cl,LG|Ar|Cl,,,,19.23,-0.4,RCR1:34cca7873f9a64ad21b706a508e5c1e2b6d52cf4f74362f46d5d1be59ab90126,BrettPhos Pd(crotyl)OTf [catalyst]; BrettPhos [ligand]; NaOtBu [base]; PhMe [solvent],60,2,,,true,2 h at 60 °C
Buchwald-Hartwig,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,Ar–Cl,LG|Ar|Cl,,,,100,2.41,RCR1:362f5c5a3a93d720a8dfe7112c639c3a165998a093cf4085fc6f0bf366a8d4a8,Pd(Cinnamyl)Cl)2 [catalyst]; Missing [ligand]; TMSOK [base]; MeTHF [solvent],60,1,,,true,1 h at 60 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,13.88,1.58,RCR1:65850e22f8bb562861bec012898a3d346af64f71880abb3f0551aa1a64ce7ec4,Cu(MeCN)4BF4 [catalyst]; No ligand; K3PO4 [base]; DMSO [solvent]; water [solvent],,,,,true,"4 h at 60 °C, then 18 h at 80 °C"
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.31,RCR1:170db3ec2f5ea1ae2f1a4c30c79d4c3a2546b84318c15f4faebf26523f0d0127,PEPPSI-IPENT [catalyst]; IPent [ligand]; K3PO4 [base]; THF [solvent]; water [solvent],,,,,true,
CN-Coupling,Ar–Br,LG|Ar|Br,,,,Ar–OH,XH|O|H1|Ar,,,,2.9,0.32,RCR1:08753f26bfe4083b2671383c5eb57b1be7c2afbda9a409a8800aa52d18a2b466,CuI [catalyst]; Salicylaldoxime [ligand]; K3PO4 [base]; NMP [solvent],,,,,false,"3 h at 60 °C, then 19 h at 100 °C"
CN-Coupling,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,26.97,0.12,RCR1:0f54b2fa01551e0bc8fec3d9b0d5e28dfb399d1837575498a097ea9fd5156ab9,AdBrettPhosPd G6 Br [catalyst]; Ad-BrettPhos [ligand]; K3PO4 [base]; MeTHF [solvent]; water [solvent],,,,,true,"3 h at 40 °C, then 0 h at 60 °C, then 20 h at 80 °C"
CN-Coupling,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,1.13,-0.7,RCR1:ae657086f4a1cb48d6d48fe51c8ff701d10de8a089dfe61b9b7a0d2fe2bc9d80,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],80,3,,,true,3 h at 80 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,2.01,-0.87,RCR1:641d404c3261f5eb2d34ead21397b936ba5dca01689c2ee6622168616b058586,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; KOH [base]; PrOH [solvent]; water [solvent]; LiCl [additive],80,21,,,true,21 h at 80 °C
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,0,-0.96,RCR1:5edf01e11e6d27ac95f0c558a0a4c2662f875be48798899e75461ecb484657fc,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; Na2CO3 [base]; iPrOH [solvent]; water [solvent]; LiCl [additive],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,5.77,-0.71,RCR1:8ac28d1438572b51da60e5a5e5866538e747bda11eaf8852dc412adac8bd883e,tBuBrettPhos Pd(allyl)OTf [catalyst]; tBuBrettPhos [ligand]; Cs2CO3 [base]; 2-BuOH [solvent]; water [solvent]; TBAC [additive],80,23,,,true,23 h at 80 °C
CN-Coupling,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–I,LG|Ar|I,,,,74.52,0.57,RCR1:59f2d5a79930d209af23ffa09d497f5890885c63766d681d64bde3afdc34a731,Cu(MeCN)4BF4 [catalyst]; trans-NN-Dimethylcyclohexane-12-diamine [ligand]; KOH [base]; PhMe [solvent]; water [solvent],,,,,true,"2 h at 60 °C, then 3 h at 80 °C"
"Arylation, acidic C-H",Activated alkyl C–H,XH|Csp3,,,,Ar–Br,LG|Ar|Br,,,,0,-0.55,RCR1:839253539c811a68840f3797a2e72944c0bd8330a6023ff0232c9576ef40139c,BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; KOtBu [base]; THF [solvent],,,,,true,
Reductive Coupling,C-C,,,,,Ar–Br,LG|Ar|Br,,,,2.49,-0.49,RCR1:d22ca7ec6b035c8c7dc579fd7e6e3287024310557b4cf6d30769d7b725e76ad2,"(4,4-dtbbpy)NiCl2 [catalyst]; No ligand; pyridine [base]; DMAc [solvent]; LiI [additive]",,,,,true,"1 h at 25 °C, then 4 h at 45 °C"
Suzuki-Miyaura,Ar–Cl,LG|Ar|Cl,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,8.5,0.56,RCR1:2b5b3fae35bbdc17cbf74cdfae31f3ecbc66edd6b50773dda3534cc1a5e3e6d8,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; K3PO4 [base]; Dioxane [solvent]; water [solvent],,,,,true,"4 h at 60 °C, then 16 h at 80 °C"
Suzuki-Miyaura,Ar–Cl,LG|Ar|Cl,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,3.21,-0.23,RCR1:efe2e604d8747c48d709fa51258b4f97b7452ee0a90a88b7d87bd6e5f5de9f3a,P(tBu)2Ph)2PdCl2 [catalyst]; P(tBu)2Ph [ligand]; K3PO4 [base]; Dioxane [solvent]; water [solvent]; Potassium 2-ethylhexanoate [additive],40,2.5,,,true,2.5 h at 40 °C
Negishi,Alkyl-M,,,,,Ar–Br,LG|Ar|Br,,,,0,-0.54,RCR1:4363f4c435abe0c0def6ae4d0fbefa8623402e99d808858453087af3cbe9b4a7,P(tBu)3 Pd G2 [catalyst]; P(tBu)3 [ligand]; NMI [solvent],,,,,true,
CN-Coupling,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,79.75,0.65,RCR1:414a9003ef1051c9f387d26669a8eaee9dcae0c7678e7d0f65f1f1658171a46d,Cu2O [catalyst]; trans-NN-Dimethylcyclohexane-12-diamine [ligand]; K3PO4 [base]; tAmOH [solvent],60,3.5,,,true,3.5 h at 60 °C
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,2.04,-0.07,RCR1:9a8eae9c1fb015c70a835b448ed665f227a362f6f7685cd1bc0c12e4c115e734,P(tBu)(Cy)2)2PdCl2 [catalyst]; P(tBu)(Cy)2 [ligand]; NaHCO3 [base]; PhMe [solvent]; water [solvent],45,2,,,true,2 h at 45 °C
Buchwald-Hartwig,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–I,LG|Ar|I,,,,0,-0.5,RCR1:47c08697d901b7cc6fda3ea5b775919ec54e617a253f2e942f29a35e87b30de6,rac-BINAP Pd G3 [catalyst]; BINAP [ligand]; K3PO4 [base]; Propionitrile [solvent]; water [solvent],,,,,true,
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,1.07,-0.75,RCR1:d5afc5deb292009223ee77fd71a3e114899c5f3e63c1cd8d8ca7e847d0e743a3,rac-BINAP Pd G3 [catalyst]; BINAP [ligand]; LiOTMS [base]; tAmOH [solvent],80,19,,,true,19 h at 80 °C
CN-Coupling,Lactam,,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,2.82,0.44,RCR1:cd80f4316d723e6986c4e4e03ed7b62a5e9e994d4c66e5c4fe467dc8e3622177,Cu(OTf)2 [catalyst]; No ligand; KOPiv [base]; MeCN [solvent]; MeOH [solvent],,,,,true,"2 h at 45 °C, then 20.5 h at 60 °C"
Alkylation,R–Br,LG|Alkyl|Br,,,,AromN–H,XH|N_aromatic|H1|HeteroAr,,,,25.49,0.78,RCR1:3843bcc2b076c56e176c162c08ce65c118879119d718a095abda6ecb9eafff0b,No ligand; KOtBu [base]; DCM [solvent],45,2.5,,,false,2.5 h at 45 °C
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Cl,LG|Ar|Cl,,,,4.69,-0.3,RCR1:2d4e1ca82afa6dcc097d173a6835b485ffd72714616e48e61a2778860b13565a,Pd-PEPPSI-IPent Cl 3-chloropyridine [catalyst]; IPENT Cl [ligand]; Cs2CO3 [base]; DMSO [solvent]; water [additive],,,,,true,"2 h at 80 °C, then 4 h at 45 °C, then 18 h at 110 °C"
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,38.25,1.67,RCR1:816d5428c5734ab2d8428ab57c1cd984b47c566557f4fc323e48887d97f89b01,P(tBu)(Cy)2)2PdCl2 [catalyst]; P(tBu)(Cy)2 [ligand]; K3PO4 [base]; Dioxane [solvent]; water [solvent],,,,,true,"5.5 h at 40 °C, then 15 h at 60 °C"
Amide coupling,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,Ar–NH–R,"XH|N|H1|Ar,Alkyl",secondary,,,35.95,0.95,RCR1:b22dd04377100bbb2ae91c6479f5d3607e10fe1914f119e02c25d8936bd7a32a,No ligand; NMM [base]; EtOAc [solvent]; BOP-Cl [coupling_reagent],,,,,true,"5 h at 28 °C, then 19 h at 40 °C"
Amide coupling,R–C(O)OH,EC|Acyl|Alkyl|OH|latent,,,,Ar–NH–R,"XH|N|H1|Ar,Alkyl",secondary,,,63.24,2.31,RCR1:1a3cdf24d7cb7656598a38fd9f06f844747b8c0a15d0163ff5bcdb7f1a27f8d3,No ligand; lutidine [base]; MeTHF [solvent]; PyClOP [coupling_reagent],,,,,false,"1 h at 25 °C, then 4.5 h at 40 °C"
"Negishi, in-situ",Ar–Br,LG|Ar|Br,,,,R–I,LG|Alkyl|I,,,,0,-1.22,RCR1:04f3af61d8349cfb861092221c3e568e1010cff6743a22eeb6bc9e8dfc21b484,AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; DMF [solvent]; PhMe [solvent]; LiCl [additive],,,,,true,
"Negishi, in-situ",Ar–Br,LG|Ar|Br,,,,R–I,LG|Alkyl|I,,,,45.93,0.89,RCR1:54ffe3b37a955d2014b8f48953e8f41d194f708df6635678a33ed6a794097e23,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; DMF [solvent]; TMSCl [additive],50,4,,,true,4 h at 50 °C
CO-Coupling,Ar–Br,LG|Ar|Br,,,,RCH₂–OH,XH|O|H1|Alkyl,,primary,false,14.3,1.15,RCR1:81ce0b24ee76ab55c99a826a0362057fa99970c63b727209913bc5d65f006a47,RockPhos Pd G6 Br [catalyst]; RockPhos [ligand]; K3PO4 [base]; tAmOH [solvent],,,,,true,"3 h at 90 °C, then 4 h at 11 °C"
CN-Coupling,Lactam,,,,,Ar–Br,LG|Ar|Br,,,,73.26,1.9,RCR1:3703553b3770b179ccd81b0a6d9278a62fc0e98ee6e00fce3054f94bd97bddee,RockPhos Pd G6 Br [catalyst]; RockPhos [ligand]; K3PO4 [base]; tAmOH [solvent],,,,,true,"3 h at 90 °C, then 18 h at 110 °C"
CN-Coupling,Lactam,,,,,Ar–Br,LG|Ar|Br,,,,18.57,-0.15,RCR1:dd977b19a11f651d0611b82f36bf502bbab4285fc2f1c796c0fb2db58be43557,RockPhos Pd G3 [catalyst]; RockPhos [ligand]; K3PO4 [base]; tAmOH [solvent],,,,,true,"3 h at 60 °C, then 4 h at 90 °C"
CO-Coupling,RCH₂–OH,XH|O|H1|Alkyl,,primary,false,Ar–Br,LG|Ar|Br,,,,0,-0.52,RCR1:62245de9ab70b2410101449fdcaf42f1dd244843b6c4147c1ac28131f3703680,Pd-PEPPSI-IPent Cl o-picoline [catalyst]; IPENT Cl [ligand]; Cs2CO3 [base]; Dioxane [solvent],,,,,true,
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,0,-1.1,RCR1:b71fee12858b40f83d915f87767244d2c1b08f92f1e107613fd799042100f163,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; DMI [solvent]; water [solvent]; KOPiv [additive],,,,,true,
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,0,-1.1,RCR1:0ad3829172af5b7473a3e7a3815a85f568bb395e83793588c10543598d2f6157,XPhos Pd G2 [catalyst]; XPhos [ligand]; K2CO3 [base]; anisole [solvent]; KOPiv [additive],,,,,true,
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,29.34,-0.17,RCR1:ed987d80de1062e6dac56465b34607117a44cadf5a5197b5f1051f5c5f95f3ea,Pd(OAc)2 [catalyst]; Missing [ligand]; K2CO3 [base]; NMI [base]; anisole [solvent]; KOAc [additive],25,45,,,true,45 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,71.71,1.17,RCR1:a7544e0f624546c07f50791fa0b0cfc1cf858416afb4f5ff4439273100a0bc86,"XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; anisole [solvent]; KOPiv, water [additive]",25,47,,,true,47 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,75.71,1.3,RCR1:e9b2a3a060932a263ea086cd60eb8c38a4a1dfe6f57623f0f7cc532f79fa9349,XantPhosPdCl2 [catalyst]; Xantphos [ligand]; XantPhos [ligand]; K2CO3 [base]; anisole [solvent]; KOPiv [additive],25,45,,,true,45 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,45.12,-0.25,RCR1:6db9cac89a1e961a7d464690192f733471e81095c97f29c35521bd6602e5c18e,dppf Pd G3 [catalyst]; dppf [ligand]; K3PO4 [base]; iPrOAc [solvent]; water [solvent],25,24,,,true,24 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,91.8,1.29,RCR1:87dacb28eeb68183d5bd30c7f54eeea52eb624c4d72e3ee25adf215c70c61580,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; K3PO4 [base]; EtOH [solvent]; water [solvent],25,3,,,true,3 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,57.39,0.15,RCR1:a42ec546afc60e3add815426ba9faa981b1eb4fcce910e9cbf97cb7c429acb72,P(Cy)3 Pd(crotyl)Cl [catalyst]; P(Cy)3 [ligand]; Na2CO3 [base]; THF [solvent]; water [solvent],25,24,,,true,24 h at 25 °C
Buchwald-Hartwig,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,3.16,-0.5,RCR1:45906bc2e205912dffe3687a549fa0e84d074a4ef5bc117d3fa84e47636af74c,[Pd(allyl)(XPhos)]OTf [catalyst]; XPhos [ligand]; K2CO3 [base]; tAmOH [solvent],,,,,true,unknown time/temp
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.65,RCR1:90c8773862048a27b612b906fee5a0c2e87b4b1c41ab00f88048034d341a55e7,dtbpfPdCl2 [catalyst]; dtbpf [ligand]; Cs2CO3 [base]; tAmOH [solvent],,,,,true,
