name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,role_1_original,qc_flags
4-Pyridineboronic acid,,1692-15-5,OB(O)c1ccncc1,C5H6BNO2,liquid,,122.918,330.7,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"2(1H)-pyrimidinethione, tetrahydro-4-hydroxy-4,6,6-trimethyl-",,937735,CC1(C)NC(=S)NC1(C)O,C7H14N2OS,liquid,,174.264,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Ammonium hexafluorophosphate,,16941-11-0,[NH4+].[PF6-],F6H4NP,powder,2.18,163.0026,,198.0,0.0,0.0,other_reagent,,,,,,,smiles_invalid
2-fluoroethanesulfonyl chloride,,762689,FCCS(=O)(=O)Cl,C2H4ClFO2S,liquid,1.474,146.568,190.3,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
N-ethyl-D-cysteine,,2139900,,C5H11NO2S,liquid,1.157,149.211,245.9,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"butyl 4-aminobenzoate 2,4,6-trinitrophenol",,577486,CCCCOC(=O)c1ccc(N)cc1,C28H33N5O11,liquid,,615.5885,303.6,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Sodium,,7440-23-5,,Na,powder,,22.99771,883.0,98.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
"Benzene-1,4-diboronic acid",,4612-26-4,OB(O)c1ccc(B(O)O)cc1,C6H8B2O4,liquid,1.33,165.747,420.1,350.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
1R-(-)-camphorsulfonic acid,camphorsulfonic acid,35963-20-3,CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,C10H16O4S,powder,1.0,232.297,467.7,198.0,0.0,0.0,organic_compound,,,,,,,abbreviation_duplicate
Bromoform,,75-25-2,BrC(Br)Br,CHBr3,liquid,2.974,252.731,149.2,5.0,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
nickel(II) acetylacetonate,,3264-82-8,[Ni+2].CC(=O)C(=C(C)C(=O)C)C(=O)C,C10H16NiO4,powder,,258.925,187.6,230.0,0.0,0.0,metal_catalyst,,,,,,,cas_checksum_invalid
2-Phenoxyethanol,,122-99-5,,C8H10O2,liquid,1.084,138.1638,245.199,11.0,0.0,0.0,organic_compound,,,,,,,cas_checksum_invalid;smiles_missing
"(1S,6R)-6-methylcyclohex-3-ene-1-carboxylic acid",,5406-30-9,O=C(O)[C@@H]1[C@H](CC[C@@H](C)C1)C,C8H12O2,liquid,1.062,140.1797,246.0,,0.0,0.0,organic_compound,,,,,,,cas_checksum_invalid
D(+)-10-Camphorsulfonic acid,Camphorsulfonic acid,3144-16-9,CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,C10H16O4S,powder,1.0,232.297,,195.0,0.0,0.0,organic_compound,,,,,,,abbreviation_duplicate
2-Ethylbenzoic acid-in-Tol-10%,,612-19-1,CCc1ccccc1C(=O)O,,liquid,1.0,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
2-Methyl-5-nitroaniline,,99-55-4,Cc1ccc(N)cc1[N+](=O)[O-],C7H8N2O2,powder,,152.1506,,104.0,0.0,0.0,organic_compound,,,,,,,cas_checksum_invalid
3-Methylstyrene,,100-80-1,C=Cc1cccc(C)c1,C9H10,liquid,170.0,118.1757,171.0,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
sodium 4-methylbenzenesulfonate,,657-84-1,,C7H7NaO3S,liquid,,194.183,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Aluminum nitride,,24304-00-5,[Al+3],AlN,liquid,3.26,40.9882,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
4-hydroxy-1-methyl-2-oxopyridine-3-carbonitrile,,520785,CN1C(=O)C(=C(O)C1)C#N,C7H6N2O2,liquid,1.39,150.1347,237.1,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
2-amino-6-bromopurine,,82499-03-4,Nc1nc(Br)c2[nH]cnc2n1,C5H4BrN5,liquid,2.14,214.023,642.5,350.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"benzene, (diethoxyfluorosilyl)-",,310399,c1ccccc1[Si](F)(OCC)OCC,C10H15FO2Si,liquid,1.024,214.3088,206.869,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
1-(3-aminopropyl)-4-methylpiperazine,,975995,CN1CCN(CC1)CCCN,C8H19N3,liquid,,157.2566,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Ammonium tetrathiotungstate (VI),,13862-78-7,S.S.[S-2].[S-2].[W+4],H8N2S4W,liquid,2.71,348.18,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
"3,6-bis((E)-(2-Arsonophenyl)diazenyl)-4,5-dihydroxynaphthalene-2,7-disulfonic acid",,1668-00-4,O=S(=O)(O)c1cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3[As](=O)(O)O)c(O)c2c(O)c1N=Nc1ccccc1[As](=O)(O)O,C22H18As2N4O14S2,liquid,,776.37,,320.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
5-Bromo-3-iodo-pyridin-2-ol,,381233-75-6,O=c1[nH]cc(Br)cc1I,C5H3BrINO,liquid,2.513,299.892,316.348,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Carnauba wax No. 3 yellow,,8015-86-9,CCS(=O)(=O)Cc1nc2ccccc2nc1C,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Tryptone,,91079-40-2,CC1(C)OC(=O)C(=CC=CC=CC2=C([O-])OC3(CCC4(CC3)OC(=O)C(C=CC=CC=C3C(=O)OC(C)(C)OC3=O)=C([O-])O4)OC2=O)C(=O)O1.CC1CCC(C)C2(C1)OC(=O)C(C=CC=CC=C1C(=O)OC3(CCC4(CC3)OC(=O)C(=CC=CC=CC3=C([O-])OC5(CC(C)CCC5C)OC3=O)C(=O)O4)OC1=O)=C([O-])O2.CCC1(C)OC(=O)C(C=CC=CC=C2C(=O)OC3(CCC4(CC3)OC(=O)C(=CC=CC=CC3=C([O-])OC(C)(CC)OC3=O)C(=O)O4)OC2=O)=C([O-])O1.O=C1OC2(CCCCC2)OC(=O)C1=CC=CC=CC1=C([O-])OC2(CCC3(CC2)OC(=O)C(C=CC=CC=C2C(=O)OC4(CCCCC4)OC2=O)=C([O-])O3)OC1=O.Oc1ccc(-[n+]2ccc(-c3cc[n+](-c4ccc(O)c(-c5ccccc5)c4)cc3)cc2)cc1-c1ccccc1.Oc1ccc(-[n+]2ccc(-c3cc[n+](-c4ccc(O)c(-c5ccccc5)c4)cc3)cc2)cc1-c1ccccc1.Oc1ccc(-[n+]2ccc(-c3cc[n+](-c4ccc(O)c(-c5ccccc5)c4)cc3)cc2)cc1-c1ccccc1.Oc1ccc(-[n+]2ccc(-c3cc[n+](-c4ccc(O)c(-c5ccccc5)c4)cc3)cc2)cc1-c1ccccc1,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Celite,Celite,68855-54-9,O=C([O-])[O-],,powder,0.42,60.08,,,0.0,0.0,organic_compound,,,,,,,formula_missing;abbreviation_duplicate
4-fluoro-3-nitrobenzamide,,349025,O=C(N)c1ccc(F)c([N+](=O)[O-])c1,C7H5FN2O3,liquid,1.483,184.1246,293.313,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
N-{4-[bis(2-bromoethyl)amino]phenyl}acetamide,,2045177,CC(=O)Nc1ccc(N(CCCBr)CCCBr)cc1,C12H16Br2N2O,liquid,1.655,364.076,493.4,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
Anisonitrile,,874909,COc1ccc(cc1)C#N,C8H7NO,powder,1.08,133.1473,256.5,57.0,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
2-(chloromercurio)ethanol,,2090535,Cl[Hg]CCO,C2H5ClHgO,liquid,,281.1,,,0.0,0.0,metal_catalyst,,,,,,,cas_bad_format;cas_checksum_invalid
"benzene, 2-butyl-1,4-dimethyl-",,1601718,CCCc1c(C)ccc(C)c1,C12H18,liquid,,162.2713,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid
"1-Chloro-1,2,2-trifluorocyclobutane",,661-71-2,FC1(F)CCC1(F)Cl,C4H4ClF3,liquid,81.0,144.523,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"1,5-Diaminoanthraquinone",,129-44-2,Nc1cccc2c1C(=O)c1cccc(N)c1C2=O,C14H10N2O2,liquid,1.456,238.2414,551.9,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"1,2-Dibromo-1-iodotrifluoroethane",,216394-01-3,FC(F)(Br)C(F)(Br)I,C2Br2F3I,liquid,2.985,367.729,148.6,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"2,3-Dichlorobenzoyl chloride",,2905-60-4,O=C(Cl)c1cccc(Cl)c1Cl,C7H3Cl3O,liquid,14014.0,209.457,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Levofloxacin Carboxylic Acid,,100986-89-8,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23,C13H9F2NO4,liquid,1.61,281.2117,459.2,280.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
peptone,,73049-73-7,c1nc[nH]n1,,liquid,,0.0,,,0.0,0.0,organic_compound,,,,,,,formula_missing;mw_zero
"(6alpha,16alpha)-6-fluoro-17,21-dihydroxy-16-methylpregna-4,9(11)-diene-3,20-dione",,378610,,C22H29FO4,liquid,1.26,376.4617,544.6,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Rubeanic Acid,,79-40-3,NC(=S)C(N)=S,C2H4N2S2,liquid,1.523,120.197,252.1,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
1-bromo-2-(chloromethyl)benzene,,578517,,C7H6BrCl,liquid,1.541,205.48,240.2,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Dowex 50WX2 50-100 (H),,12612-37-2,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
erucic acid,,112-86-7,CCCCCCCCC=CCCCCCCCCCCCC(=O)O,C22H42O2,liquid,26515.0,338.5677,358.0,28.0,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
5-ethyluracil,,4212-49-1,CCc1c[nH]c(=O)[nH]c1=O,C6H8N2O2,liquid,1.164,140.1399,,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"octadeca-9,12,15-trienoic acid",,1955334,,C18H30O2,liquid,0.924,278.4296,443.4,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
p-Fluoro-D-phenylalanine,,18125-46-7,NC(Cc1ccc(F)cc1)C(=O)O,C9H10FNO2,liquid,,183.1796,,245.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
galden ht70,,69991-67-9,FC(F)=C(F)C(F)(F)F,C4H4F8O4,liquid,,0.0,252.0,,0.0,0.0,organic_compound,,,,,,,mw_zero
Formaldoxime trimer hydrochloride,,6286-29-9,ON1CN(O)CN(O)C1,,powder,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
(R)-(-)-2-HEXYL ISOTHIOCYANATE,,737000-95-2,CCCCC(C)N=C=S,C7H13NS,liquid,0.0,143.24982,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
(S)-(+)-2-HEXYL ISOTHIOCYANATE,,737000-96-3,CCCCC(C)N=C=S,C7H13NS,liquid,0.0,143.24982,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
2-(pyrrolidin-2-yl)acetic acid hydrochloride,,71985-79-0,O=C(O)CC1CCCN1,C6H12ClNO2,liquid,170.0,165.618,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
humic acid,,1415-93-6,,HK,liquid,,40.1062,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
inulin,,9005-80-5,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,C17H11N5,liquid,1.21,0.0,563.5,,0.0,0.0,organic_compound,,,,,,,mw_zero
2-Iodo-2-methylpropane,,558-17-8,CC(C)(C)I,C4H9I,liquid,1.622,184.0187,98.1,38.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
4-Isopropylbiphenyl,,7116-95-2,CC(C)c1ccc(-c2ccccc2)cc1,C15H16,liquid,110.0,196.2875,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Lithium hexafluorostannate(IV),,17029-16-2,,F6Li2Sn,liquid,,246.58,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
"2,2'-[[3-acetamido-4-[(4-nitrophenyl)azo]phenyl]imino]diethyl diacetate",,1533748,,C22H25N5O7,liquid,1.3,471.4632,686.4,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
(Ethylenediamine)palladium(II) chloride,,15020-99-2,NCCN.[Pd+2],C2H8Cl2N2Pd,liquid,,237.42,119.7,278.0,0.0,0.0,metal_catalyst,,,,,,,type_mp_inconsistent
"diethyl[3-(2-hydroxymethyl-2-phenylacetoxy)]-2,2-dimethylpropylammonium phosphate",,134536,,C18H32NO7P,liquid,,405.4229,415.3,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Dicyclohexylamine,,101-83-7,,C12H23N,liquid,0.912,181.3177,256.1,-2.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
"Di-[3-((R)-2,2'-dihydroxy-1,1'-binaphthylmethyl)]ether, lanthanum(III) salt, tetrahydrofuran adduct, SCT-(R)-BINOL, 95%",,321837-08-5,C1CCOC1.Oc1ccc2ccccc2c1-c1c(O)c(COCc2cc3ccccc3c(-c3c(O)ccc4ccccc34)c2O)cc2ccccc12.[La],C42H27LaO5 C4H8O,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_suspect
didihydroxybinaphtylmethyletherlanthanum,,293293-33-1,[H+].[La+3].[O-]c1ccc2ccccc2c1-c1c([O-])c(COCc2cc3ccccc3c(-c3c([O-])ccc4ccccc34)c2[O-])cc2ccccc12,C41H28LaO4,liquid,,0.0,,,0.0,0.0,organic_compound,,,,,,,mw_zero
"4,7-Dihydroxy-1,10-phenanthroline",,3922-40-5,O=c1cc[nH]c2c1ccc1c(=O)cc[nH]c12,C12H8N2O2,liquid,1.371,212.2041,417.9,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"3,5-Diiodo4-hydroxybenzaldehyde",,1948-40-9,O=Cc1cc(I)c(O)c(I)c1,C7H4I2O2,liquid,2.602,373.9144,284.1,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"4-Hydroxy-3,5-diiodobenzoic acid",,618-76-8,O=C(O)c1cc(I)c(O)c(I)c1,C7H4I2O3,liquid,2.697,389.9138,346.4,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
"2,6-dimethoxyphenol",,33512,,C8H10O3,powder,1.134,154.1632,264.5,50.0,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"N,N-dimethylamino-3-chloropropane hydrochloride",,1281001,,C5H13Cl2N,powder,,158.069,130.7,139.0,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"[1,2-ethenedithiolato(2-)-kS,kS']mercury",,288761,,,liquid,,0.0,,,0.0,0.0,metal_catalyst,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing;formula_missing;mw_zero
Ellagic acid hydrate,,476-66-4,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,C14H6O8,liquid,2.066,302.1926,796.5,360.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"2-[bis(2-chloroethyl)amino]-1,3,2��?-benzodioxaphosphol-2-one",,2091021,,C10H12Cl2NO3P,liquid,1.44,296.087,389.8,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
"2,4-Pentanedione, 3-fluoro- (6CI,8CI,9CI)",,759-02-4,CC(=O)C(F)C(C)=O,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
(R)-(-)-2-HEPTYL ISOTHIOCYANATE,,737000-93-0,CCCCCC(C)N=C=S,C8H15NS,liquid,0.0,157.2764,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
(S)-(+)-2-HEPTYL ISOTHIOCYANATE,,737000-94-1,CCCCCC(C)N=C=S,C8H15NS,liquid,0.0,157.2764,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
N-(thiophen-2-ylmethyl)pyridin-2-amine,,140199,,C10H10N2S,liquid,1.249,190.265,326.7,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Hydroiodic acid,,10034-85-2,,HI,powder,1.701,127.91241,127.0,133.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
"3'-Hydroxy-6-methylflavone, 97",,468060-75-5,Cc1ccc2oc(-c3cccc(O)c3)cc(=O)c2c1,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Lithium nitrate,,7790-69-4,,LiNO3,powder,2.38,68.946,83.0,251.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Lithium nitride,,26134-62-3,,H2Li3N,liquid,,36.844,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
Lithium oxalate,,30903-87-8,,C2Li2O4,liquid,,101.901,365.1,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Lithium oxide,,12057-24-8,,HLi2O,powder,2.013,30.889,,1427.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
trimagnesium(2+) ion pentahydrate diphosphate,,10233-87-1,,H10Mg3O13P2,liquid,,352.934,158.0,,0.0,0.0,other_reagent,,,,,,,smiles_missing
potassium magnesium chloride chloride,,12015-61-1,,Cl3KMg,liquid,,169.762,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Magnesium acetate tetrahydrate,,16674-78-5,,C4H14MgO8,powder,1.454,214.454,117.1,72.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
Metanilic acid,,121-47-1,Nc1cccc(S(=O)(=O)O)c1,C6H7NO3S,liquid,1.69,173.19,,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"1H-isoindole-1,3(2H)-dione, 2-[(dichlorofluoromethyl)thio]-3a,4,7,7a-tetrahydro-",,1082581,,C9H8Cl2FNO2S,liquid,,284.135,,,0.0,0.0,organic_compound,,,,,,,cas_bad_format;cas_checksum_invalid;smiles_missing
Amberlite ira 400,,9002-24-8,CC1CC2=C(C=NC2)C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1CC2=C(N=CC2)C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2c[nH]nc2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2cc[nH]c2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2ccsc2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2cscc2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2ncoc2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C.CC1Cc2sccc2C(C=Cc2ccc(-c3ccccc3C#N)cn2)C1C,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Amberlite(R) IRA-410,,9002-26-0,CCC(c1cc(-c2c(F)cccc2F)nnc1C(C)c1ccnc(-c2cnc(C(C)(C)O)nc2)n1)C(C)(C)C,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Phosphorus tribromide,,7789-60-8,BrP(Br)Br,Br3P,liquid,2.88,270.686,172.9,-40.0,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Antimony (III) bromide,,7789-61-9,[Br][Sb]([Br])[Br],Br3Sb,liquid,4.15,361.47,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Barium zirconate,,12009-21-1,[Ba+2].[Zr+4],BaO3Zr,liquid,5.52,276.549,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Calcium nitride,,12013-82-0,,Ca3N2,liquid,,148.247,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
��2-cobalt(2+) ion disilicide(1-),,12017-12-8,,CoSi2,liquid,,115.1042,,,0.0,0.0,metal_catalyst,,,,,,,smiles_missing
Iodine(V) oxide,,12029-98-0,[O-][I+2]([O-])O[I+2]([O-])[O-],I2O5,liquid,5.0,333.8059,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
"AmberliteIRC-76,IonExchangeResin",,11098-83-2,,Acrylic-DVB  Weakly acidic gel type cation resin,liquid,,,,,0.0,0.0,metal_catalyst,,,,,,,smiles_missing;formula_suspect
M116951,,11113-61-4,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
Dowex 50WX8 50-100 (H),,11119-67-8,O=C(O)Cc1c[nH]c2ccccc12,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Amberlite IRN 77,,11128-94-2,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
"Amberlite« IRN-78 ion-exchange resin, OH-form",,11128-95-3,,,liquid,,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
dipotassium aluminium oxide ��?-silanedione oxidandiuide,,12001-26-2,F.F.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3],Al2H4K2O6Si,liquid,2.77,260.2733,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Ruthenium(IV) oxide,,12036-10-1,[Ru+4],O2Ru,liquid,6.97,133.07,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Ammonium bromide,,12124-97-9,,BrH4N,powder,2.429,97.942,49.2,452.0,0.0,0.0,organic_compound,,,,,,,smiles_missing
Chromium(III) telluride,,12053-39-3,[Cr+2].[Cr+2].[Te-2].[Te-2].[Te],Cr2Te3,liquid,7.0,486.8,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Hydroxyapatite,,12167-74-7,,Ca5HO13P3,powder,,502.311,,1670.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
zirconium carbide,,12070-14-3,[C-4].[Zr+5],CH4Zr,liquid,6.73,107.266,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Sodium phosphate monobasic dihydrate,NaH2PO4,13472-35-0,,H6NaO6P,powder,,156.0076,,60.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Manganese(II) bromide,,13446-03-2,O=C(NCO)N(CO)CO,Br2Mn,liquid,4.385,214.746,,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Calcium nitrate tetrahydrate,,13477-34-4,,CaH8N2O10,powder,1.86,236.149,132.0,45.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
magnesium nitrate hexahydrate,,13446-18-9,,H12MgN2O12,powder,1.63,256.406,330.0,89.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
magnesium(2+) ion amine hexahydrate hydrogen phosphate,,13478-16-5,,H16MgNO10P,liquid,,245.407,,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Lithium phosphate monobasic,,13453-80-0,,H2LiO4P,liquid,,103.928,,,0.0,0.0,other_reagent,,,,,,,smiles_missing
Sulfuric acid-d2,,13813-19-9,,H2O4S,liquid,2.245,100.091,330.0,,0.0,0.0,organic_compound,,,,,,,smiles_missing
Indium(III) sulfate hydrate,,13464-82-9,[In+3].[In+3],In2O12S3,liquid,3.438,517.824,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Gadolinium(III) isopropoxide,,14532-05-9,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Gd+3],C9H21GdO3,liquid,,334.51,,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
sodium deuteroxide,,14014-06-3,,HNaO,liquid,,41.0033,100.0,,0.0,0.0,other_reagent,,,,,,,smiles_missing
"silver(I) 2,4-pentanedionate",,15525-64-1,CC(=O)CC(C)=O.[Ag],C5H7AgO2,powder,,0.0,187.6,100.0,0.0,0.0,metal_catalyst,,,,,,,mw_zero
aluminium hexafluoroacetylacetonate,,15306-18-0,O=C(CC(=O)C(F)(F)F)C(F)(F)F.O=C(CC(=O)C(F)(F)F)C(F)(F)F.O=C(CC(=O)C(F)(F)F)C(F)(F)F.[Al],C15H3AlF18O6,liquid,,0.0,70.0,,0.0,0.0,organic_compound,,,,,,,mw_zero
2-Hydroxyquinoline-4-carboxylic acid,,15733-89-8,O=C(O)c1cc(=O)[nH]c2ccccc12,C10H7NO3,liquid,,189.1675,403.6,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Sodium hexafluoroantimonate(V),,16925-25-0,[F][Sb-]([F])([F])([F])([F])[F],F6NaSb,liquid,3.38,258.74,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
ammonium hexachloroiridate(IV),,16940-92-4,[Ir+6],Cl6H8IrN2,liquid,2.85,441.012,,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
Potassium hexafluorophosphate,,17084-13-8,,F6KP,powder,1.838,184.0625,100.9,575.0,0.0,0.0,other_reagent,,,,,,,smiles_missing
Potassium hexafluorosilicate,,16871-90-2,F[Si-2](F)(F)(F)(F)F,F6K2Si,liquid,2.665,220.2725,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Sodium fluorosilicate,,16893-85-9,F[Si-2](F)(F)(F)(F)F,F6Na2Si,liquid,2.68,188.0555,,,0.0,0.0,other_reagent,,,,,,,density_outlier_for_liquid
Neodymium(Iii) Isopropoxide,,19236-15-8,CC(C)[O-].CC(C)[O-].CC(C)[O-].[Nd+3],C9H21NdO3,liquid,,321.503,73.0,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
"2,4,4,6-Tetrabromo-2,5-cyclohexadienone",,20244-61-5,O=C1C(Br)=CC(Br)(Br)C=C1Br,C6H2Br4O,liquid,2.897,409.695,365.8,,0.0,0.0,organic_compound,,,,,,,density_outlier_for_liquid
Cobalt Hydroxide,,21041-93-0,[Co+2],CoH2O2,liquid,3.597,92.9479,100.0,,0.0,0.0,metal_catalyst,,,,,,,density_outlier_for_liquid
"5-Bromo-4-methyl-1H-1,2,3-triazole hydrochloride",,25233-30-1,COc1ccccc1O,C3H5BrClN3,liquid,,198.449,,330.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Azetidine hydrochloride,,36520-39-5,C1CNC1,C3H8ClN,liquid,,93.555,,300.0,0.0,0.0,organic_compound,,,,,,,type_mp_inconsistent
Amberlite® XAD4,,37380-42-0,O=c1c(Cl)c(Oc2ccc(CCCCOc3ccc(C4c5ccc(OCc6ccccc6)cc5CCC4c4ccc(F)cc4)cc3)nc2)cnn1C1CCCCO1,,liquid,,,,,0.0,0.0,organic_compound,,,,,,,formula_missing
Amberlite Xad-7,,37380-43-1,,,liquid,0.65,,,,0.0,0.0,other_reagent,,,,,,,smiles_missing;formula_missing
